Geotek MSCL 7.9 - TN336_BB16-18.out created at 9:50:14 on 1/22/2016.										
										
										
Processing Parameters										
										
CT	RCT=11.45	W=1.27								
PWAmp	A=1	B=0								
PWVel	PTO=26.51									
Den1	A=7.0444E-04	B=-.096532	C=9.8575							
MS1	A=1	B=0	Den=0	LD=14						
FP	MGD=2.75	WD=1.026								
RES	A=833.1719	B=-1.166733	p=0							
										
										
SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m
										
-0.637	cal sect	0	10.928	0						260.3604
-0.577	cal sect	6	10.167	0.0429	1454.298	1.1866	-0.9846		0.9068	14.3731
-0.517	cal sect	12	9.955	0.0356	1435.679	1.1568	0	1660.77	0.9241	13.9999
-0.457	cal sect	18	9.98	0.0245	1433.908	1.1844	0	1698.251	0.9081	13.4865
-0.397	cal sect	24	10.221	0.0013	1447.939	1.1978	0	1734.381	0.9003	17.288
-0.337	cal sect	30	10.375	0.011	1454.099	1.1696	0	1700.782	0.9167	2.3133
-0.277	cal sect	36	10.297	0.0034	1469.53	1.2042	0	1769.537	0.8967	0.835
-0.217	cal sect	42	9.956	0.0034	1460.252	1.2076	0	1763.361	0.8947	0.526
-0.157	cal sect	48	9.892	0.0153	1452.57	1.2139	0	1763.207	0.891	0.5268
-0.097	cal sect	54	10.072	0.0044	1457.598	1.1957	0	1742.905	0.9015	0.5292
-0.037	cal sect	60	10.153	0.0147	1467.409	1.2024	2.9656	1764.444	0.8977	0.9955
0.003	1	0.3	10.383	0	106.7672	0.9469	11.1206	101.0987	1.0459	171.8038
0.013	1	1.3	10.368	0.0001	1306.122	1.4577	13.9587	1903.917	0.7496	6.0063
0.023	1	2.3	10.346	0.0027	1470.438	1.487	15.9169	2186.506	0.7326	2.1083
0.033	1	3.3	10.295	0.0034	1460.491	1.5172	18.9943	2215.839	0.7151	1.2865
0.043	1	4.3	10.218	0.0002	1452.452	1.4851	19.4099	2157.018	0.7337	0.9881
0.053	1	5.3	10.004	0.0033	1466.432	1.5557	21.6656	2281.367	0.6927	0.8631
0.063	1	6.3	9.972	0.0068	1450.895	1.5469	22.9087	2244.458	0.6978	0.8179
0.073	1	7.3	9.962	0.007	1445.444	1.53	24.0197	2211.472	0.7077	0.7876
0.083	1	8.3	9.995	0.0071	1446.873	1.534	23.7909	2219.472	0.7053	0.7868
0.093	1	9.3	10.033	0.0077	1447.346	1.552	24.5542	2246.316	0.6949	0.788
0.103	1	10.3	10.034	0.0089	1448.326	1.539	25.57	2228.914	0.7025	0.7932
0.113	1	11.3	10.28	0.0015	1457.329	1.5275	23.8428	2226.056	0.7091	0.8051
0.123	1	12.3	10.285	0.0001	1429.068	1.5215	23.8094	2174.362	0.7126	0.8238
0.133	1	13.3	10.28	0.0001	1453.414	1.5455	22.8891	2246.188	0.6987	0.8569
0.143	1	14.3	10.291	0.0003	1436.889	1.5532	22.8187	2231.723	0.6942	0.9197
0.153	1	15.3	10.262	0.0002	1462.24	1.5107	23.005	2208.967	0.7189	1.0535
0.163	1	16.3	10.249	0.0021	1463.516	1.5128	24.0513	2214.076	0.7176	1.3643
0.173	1	17.3	10.273	0.0035	1463.807	1.5343	23.8897	2245.939	0.7052	2.3442
0.183	1	18.3	10.402	0.0025	1472.328	1.5114	22.1245	2225.26	0.7185	9.2945
0.193	1	19.3	10.601	0	109.0088	1.2722	20.9523	138.6834	0.8572	24.4925
0.203	2	0.2	10.591	0	108.906	1.0814	21.0091	117.7679	0.9679	18.6223
0.213	2	1.2	10.605	0	109.05	1.533	20.9296	167.1786	0.7059	16.032
0.223	2	2.2	10.585	0	108.8443	1.5681	21.0433	170.6736	0.6856	3.1572
0.233	2	3.2	10.533	0	108.3096	1.5524	21.3428	168.145	0.6946	1.6445
0.243	2	4.2	10.479	0	107.7543	1.5114	21.6603	162.8612	0.7184	1.191
0.253	2	5.2	10.066	0.0032	1457.995	1.5525	23.3088	2263.538	0.6946	0.9994
0.263	2	6.2	9.988	0.0067	1440.023	1.5617	23.8392	2248.86	0.6893	0.9044
0.273	2	7.2	9.966	0.0091	1441.215	1.5683	23.9918	2260.324	0.6854	0.8491
0.283	2	8.2	9.932	0.0064	1443.185	1.5748	24.2303	2272.718	0.6817	0.8161
0.293	2	9.2	9.921	0.0054	1438.243	1.5738	24.3082	2263.57	0.6822	0.7945
0.303	2	10.3	9.915	0.0065	1434.462	1.5485	24.3508	2221.201	0.697	0.7878
0.313	2	11.3	9.915	0.0141	1437.373	1.567	23.2921	2252.384	0.6862	0.7768
0.323	2	12.3	9.915	0.0174	1436.748	1.5726	23.2921	2259.494	0.6829	0.7663
0.333	2	13.3	9.915	0.0169	1439.251	1.5678	23.2921	2256.481	0.6857	0.7602
0.343	2	14.3	9.915	0.022	1441.553	1.5675	23.2921	2259.704	0.6859	0.7553
0.353	2	15.3	9.915	0.0204	1437.79	1.5705	23.2921	2258.043	0.6842	0.755
0.363	2	16.3	9.915	0.0198	1438.625	1.5692	23.2921	2257.425	0.6849	0.7619
0.373	2	17.3	9.92	0.0222	1440.395	1.5799	22.2009	2275.74	0.6787	0.7695
0.383	2	18.3	9.915	0.016	1438.625	1.5881	22.2334	2284.645	0.674	0.7736
0.393	2	19.3	9.915	0.0145	1439.251	1.571	22.2334	2261.11	0.6839	0.7772
0.403	2	20.3	9.921	0.016	1441.377	1.6262	22.1945	2344.022	0.6518	0.7739
0.413	2	21.3	9.926	0.0126	1443.992	1.6203	22.1621	2339.769	0.6553	0.7742
0.423	2	22.3	9.921	0.0131	1447.054	1.6164	22.1945	2339.009	0.6575	0.7773
0.433	2	23.3	9.93	0.0146	1443.944	1.6107	22.1363	2325.819	0.6608	0.7828
0.443	2	24.3	9.931	0.0124	1439.484	1.5872	21.076	2284.68	0.6745	0.7891
0.453	2	25.3	9.936	0.0127	1436.669	1.6023	21.0453	2301.939	0.6657	0.7903
0.463	2	26.3	9.939	0.0096	1436.064	1.6093	22.0783	2311.033	0.6617	0.788
0.473	2	27.3	9.941	0.0089	1436.976	1.6062	22.0654	2308.041	0.6635	0.7857
0.483	2	28.3	9.948	0.0142	1439.444	1.6073	22.0205	2313.576	0.6628	0.783
0.493	2	29.3	9.951	0.0164	1439.046	1.5913	22.0013	2290.001	0.6721	0.7863
0.503	2	30.3	9.958	0.0151	1440.266	1.6065	21.9565	2313.773	0.6633	0.7878
0.513	2	31.3	9.966	0.015	1439.549	1.5964	21.9055	2298.024	0.6692	0.8119
0.523	2	32.3	9.967	0.0123	1437.825	1.5885	21.8992	2283.992	0.6737	0.8209
0.533	2	33.3	9.972	0.0142	1440.832	1.579	21.8674	2275.072	0.6792	0.8303
0.543	2	34.3	9.977	0.0173	1438.645	1.5728	21.8357	2262.701	0.6828	0.8409
0.553	2	35.3	9.967	0.0144	1436.374	1.5885	21.8992	2281.688	0.6737	0.8637
0.563	2	36.3	9.972	0.0096	1440.208	1.5899	21.8674	2289.784	0.6729	0.8888
0.573	2	37.3	9.981	0.014	1441.092	1.5695	21.8104	2261.763	0.6848	0.9094
0.583	2	38.3	9.977	0.0145	1438.437	1.5875	21.8357	2283.461	0.6743	0.9328
0.593	2	39.3	9.977	0.0145	1440.93	1.607	21.8357	2315.637	0.663	0.9481
0.603	2	40.3	9.972	0.0183	1440.416	1.597	21.8674	2300.405	0.6688	0.9626
0.613	2	41.3	9.972	0.0136	1441.249	1.6134	21.8674	2325.358	0.6593	0.9725
0.623	2	42.3	9.967	0.0188	1442.194	1.6123	21.8992	2325.225	0.6599	0.9809
0.633	2	43.3	9.967	0.0138	1439.902	1.6039	21.8992	2309.5	0.6648	0.9907
0.643	2	44.3	9.967	0.0174	1442.194	1.605	21.8992	2314.778	0.6641	1.0001
0.653	2	45.3	9.967	0.0257	1443.656	1.5882	21.8992	2292.861	0.6739	1.0135
0.663	2	46.3	9.967	0.0166	1438.655	1.6112	21.8992	2317.911	0.6606	1.0252
0.673	2	47.3	9.967	0.0128	1439.902	1.5918	20.8564	2292.024	0.6718	1.0408
0.683	2	48.3	9.973	0.0113	1440.144	1.5856	21.8611	2283.548	0.6754	1.0579
0.693	2	49.3	9.975	0.0088	1439.394	1.5922	21.8484	2291.747	0.6716	1.0677
0.703	2	50.3	9.976	0.0126	1441.619	1.5937	20.8019	2297.435	0.6707	1.0682
0.713	2	51.3	9.974	0.0137	1441.538	1.5975	21.8547	2302.928	0.6685	1.061
0.723	2	52.3	9.974	0.0155	1442.58	1.5929	20.814	2297.843	0.6712	1.0479
0.733	2	53.3	9.978	0.0119	1443.994	1.6189	20.7899	2337.706	0.6561	1.0226
0.743	2	54.3	9.988	0.0197	1447.956	1.5975	21.7662	2313.133	0.6685	1.011
0.753	2	55.3	9.999	0.0219	1448.501	1.5834	21.697	2293.588	0.6767	1.002
0.763	2	56.3	9.998	0.0357	1450.036	1.5912	21.7033	2307.356	0.6721	0.9947
0.773	2	57.3	9.99	0.032	1446.149	1.5898	21.7536	2299.046	0.673	0.993
0.783	2	58.3	9.983	0.0261	1444.509	1.5978	21.7978	2307.984	0.6684	0.991
0.793	2	59.3	9.978	0.0229	1443.785	1.5854	22.8689	2288.962	0.6755	0.9882
0.803	2	60.3	9.971	0.0228	1444.863	1.6044	22.9154	2318.132	0.6645	0.9923
0.813	2	61.3	9.962	0.0229	1447.334	1.6272	21.931	2355.057	0.6513	0.9972
0.823	2	62.3	9.963	0.04	1449.585	1.606	21.9246	2327.979	0.6636	1.0082
0.833	2	63.3	9.956	0.0474	1447.093	1.5996	21.9693	2314.783	0.6673	1.0145
0.843	2	64.3	9.948	0.0432	1445.09	1.6103	23.0691	2327.076	0.6611	1.011
0.853	2	65.3	9.943	0.0465	1444.574	1.6031	22.0526	2315.772	0.6653	1.0052
0.863	2	66.3	9.944	0.0351	1444.509	1.6046	23.096	2317.837	0.6644	1.0005
0.873	2	67.3	9.944	0.0382	1442.205	1.5925	23.096	2296.644	0.6714	1.0065
0.883	2	68.3	9.939	0.0309	1440.853	1.6018	23.1296	2307.946	0.666	1.0221
0.893	2	69.3	9.935	0.0367	1441.526	1.6074	22.104	2317.148	0.6627	1.0481
0.903	2	70.3	9.936	0.0338	1440.835	1.5957	23.1498	2299.081	0.6696	1.0739
0.913	2	71.3	9.924	0.0317	1442.023	1.6039	22.175	2312.912	0.6648	1.0928
0.923	2	72.3	9.925	0.0348	1441.749	1.6121	23.2242	2324.258	0.66	1.1027
0.933	2	73.3	9.922	0.0326	1441.942	1.6001	22.188	2307.271	0.667	1.1011
0.943	2	74.3	9.92	0.0235	1438.932	1.6113	22.2009	2318.479	0.6605	1.0983
0.953	2	75.3	9.921	0.0196	1439.078	1.6033	22.1945	2307.293	0.6651	1.0953
0.963	2	76.3	9.921	0.0191	1438.869	1.6175	23.2513	2327.391	0.6569	1.0825
0.973	2	77.3	9.921	0.0161	1440.54	1.6061	23.2513	2313.628	0.6635	1.0749
0.983	2	78.3	9.926	0.0134	1442.523	1.626	23.2174	2345.519	0.652	1.0695
0.993	2	79.3	9.927	0.0205	1444.768	1.6318	23.2107	2357.527	0.6486	1.0664
1.003	2	80.3	9.934	0.0372	1444.315	1.6012	23.1633	2312.661	0.6663	1.0512
1.013	2	81.3	9.932	0.0313	1443.395	1.6261	23.1768	2347.15	0.6519	1.0444
1.023	2	82.3	9.932	0.0145	1442.556	1.6264	23.1768	2346.194	0.6517	1.0376
1.033	2	83.3	9.954	0.0161	1443.655	1.6223	23.0288	2341.977	0.6541	1.0279
1.043	2	84.3	9.96	0.016	1446.203	1.6346	22.9887	2363.97	0.647	1.024
1.053	2	85.3	9.96	0.0274	1449.149	1.6216	21.9438	2349.882	0.6545	1.0199
1.063	2	86.3	9.965	0.0369	1446.929	1.6253	21.9119	2351.641	0.6524	1.0155
1.073	2	87.3	9.971	0.0286	1450.116	1.6234	22.9154	2354.173	0.6535	1.0221
1.083	2	88.3	9.974	0.0412	1449.92	1.6269	22.8954	2358.89	0.6514	1.0223
1.093	2	89.3	9.99	0.0489	1451.613	1.6274	21.7536	2362.388	0.6511	1.0328
1.103	2	90.3	10.001	0.0383	1450.471	1.622	21.6844	2352.597	0.6543	1.039
1.113	2	91.3	9.995	0.0506	1446.454	1.6198	22.7565	2342.998	0.6556	1.0426
1.123	2	92.3	10.001	0.0462	1450.892	1.6339	21.6844	2370.593	0.6474	1.0498
1.133	2	93.3	9.996	0.0495	1446.39	1.6488	21.7158	2384.81	0.6387	1.0532
1.143	2	94.3	9.99	0.0385	1448.666	1.6206	21.7536	2347.754	0.6551	1.0569
1.153	2	95.3	9.979	0.0272	1447.701	1.6452	21.823	2381.825	0.6408	1.0624
1.163	2	96.3	9.974	0.0382	1453.089	1.6292	20.814	2367.344	0.6501	1.0715
1.173	2	97.3	9.96	0.0376	1443.897	1.6449	19.8539	2375.1	0.641	1.0841
1.183	2	98.3	9.955	0.0249	1448.211	1.626	19.8828	2354.858	0.6519	1.0877
1.193	2	99.3	9.954	0.0305	1447.644	1.6161	18.8418	2339.494	0.6577	1.0954
1.203	2	100.3	9.954	0.0221	1447.644	1.6256	17.795	2353.354	0.6522	1.1098
1.213	2	101.3	9.928	0.0321	1447.019	1.608	17.9303	2326.813	0.6624	1.1352
1.223	2	102.3	9.925	0.0341	1445.318	1.5917	17.946	2300.46	0.6719	1.1702
1.233	2	103.3	9.925	0.033	1447.848	1.5906	16.8903	2302.903	0.6725	1.2126
1.243	2	104.3	9.924	0.0225	1443.911	1.5877	17.9512	2292.535	0.6742	1.2579
1.253	2	105.3	9.93	0.0225	1445.625	1.5802	17.9198	2284.442	0.6785	1.2945
1.263	2	106.3	9.935	0.028	1445.722	1.6035	18.9463	2318.278	0.665	1.3221
1.273	2	107.3	9.941	0.0221	1451.029	1.6547	18.9132	2401.054	0.6353	1.3452
1.283	2	108.3	9.94	0.0253	1462.41	1.7463	21.0208	2553.823	0.5822	1.373
1.293	2	109.3	9.951	0.0171	1470.736	1.7738	20.9536	2608.77	0.5662	1.4523
1.303	2	110.3	9.959	0.0148	1475.845	1.7949	21.9501	2649.028	0.554	1.5039
1.313	2	111.3	9.965	0.0198	1475.422	1.7584	21.9119	2594.427	0.5752	1.5367
1.323	2	112.3	9.973	0.0171	1474.641	1.7816	21.8611	2627.177	0.5617	1.5527
1.333	2	113.3	9.977	0.0159	1476.543	1.7672	22.8755	2609.385	0.5701	1.5733
1.343	2	114.3	9.985	0.0187	1475.979	1.7843	21.7851	2633.64	0.5601	1.6017
1.353	2	115.3	9.992	0.0295	1484.034	1.7727	22.7763	2630.678	0.5669	1.613
1.363	2	116.3	9.996	0.0151	1483.967	1.7889	21.7158	2654.724	0.5575	1.6349
1.373	2	117.3	9.995	0.0215	1485.803	1.7974	22.7565	2670.557	0.5526	1.767
1.383	2	118.3	9.998	0.0129	1485.366	1.7318	22.7367	2572.35	0.5906	2.1675
1.393	2	119.3	9.988	0.0146	1485.204	1.7769	22.8027	2639.118	0.5644	2.2778
1.403	2	120.3	9.999	0.0199	1486.177	1.8103	22.7302	2690.499	0.545	2.3464
1.413	2	121.3	10.006	0.0217	1490.319	1.7842	22.6842	2659.016	0.5602	2.4434
1.423	2	122.3	10.011	0.0199	1491.063	1.7998	22.6514	2683.651	0.5511	2.489
1.433	2	123.3	10.021	0.0192	1494.333	1.8	22.5861	2689.838	0.551	2.5111
1.443	2	124.3	10.031	0.0218	1493.153	1.7999	23.5447	2687.52	0.5511	2.5537
1.453	2	125.3	10.036	0.0177	1491.677	1.8114	22.4886	2702.021	0.5444	2.5803
1.463	2	126.3	10.051	0.009	1494.35	1.8165	22.3917	2714.431	0.5415	2.5614
1.473	2	127.3	10.076	0.0083	1495.621	1.8045	22.2314	2698.913	0.5484	2.5481
1.483	2	128.3	10.124	0.0031	1493.656	1.8013	21.9282	2690.594	0.5503	2.5884
1.493	2	129.3	10.413	0.0001	1428.591	1.7566	20.2192	2509.45	0.5762	2.5871
1.503	2	130.3	10.5	0.0002	1522.622	1.7594	18.844	2678.94	0.5746	2.6117
1.513	2	131.3	10.484	0	107.8057	1.7704	18.0255	190.8622	0.5682	2.6882
1.523	2	132.3	10.448	0.0009	1519.488	1.79	18.2046	2719.911	0.5568	2.9301
1.533	2	133.3	10.387	0.001	1504.272	1.7992	17.5881	2706.435	0.5515	3.5749
1.543	2	134.3	10.363	0	106.5615	1.6986	16.7737	181.0064	0.6099	5.4156
1.553	2	135.3	10.313	0.0008	1489.887	1.7487	17.009	2605.419	0.5808	19.0144
1.563	2	136.3	10.217	0.0013	1503.827	1.7707	18.4446	2662.88	0.568	9.7944
1.573	2	137.3	10.524	0	108.2171	1.6939	15.155	183.3068	0.6126	3.5052
1.583	2	138.3	10.685	0	109.8726	0.6256	13.6558	68.7394	1.2322	2.8476
1.593	3	0.9	10.716	0	110.1914	1.6617	13.543	183.1049	0.6313	3.634
1.603	3	1.9	10.78	0.0001	1361.799	1.7218	12.482	2344.765	0.5964	9.6223
1.613	3	2.9	10.754	0.0004	1531.909	1.7221	11.7306	2638.066	0.5962	34.1901
1.623	3	3.9	10.701	0.0008	1521.541	1.7064	11.8977	2596.427	0.6053	7.1214
1.633	3	4.9	10.441	0	107.3636	1.7187	12.7678	184.5258	0.5982	4.5281
1.643	3	5.9	10.188	0.0002	1267.637	1.7494	13.7027	2217.634	0.5804	3.6088
1.653	3	6.9	10.019	0.0001	992.9633	1.7845	13.354	1771.946	0.56	3.0265
1.663	3	7.9	9.917	0.0008	1254.364	1.8243	13.7555	2288.339	0.5369	2.784
1.673	3	8.9	9.921	0.0009	1273.883	1.8297	13.7394	2330.787	0.5338	2.7197
1.683	3	9.9	9.915	0.0008	1283.661	1.8075	13.7635	2320.274	0.5467	2.746
1.693	3	10.9	9.916	0.0008	1262.22	1.8057	12.7011	2279.187	0.5477	2.7973
1.703	3	11.9	9.915	0.001	1083.133	1.7793	12.7048	1927.166	0.5631	2.8108
1.713	3	12.9	9.921	0.001	1084.974	1.7736	12.6826	1924.353	0.5663	2.7954
1.723	3	13.9	9.921	0.0009	1087.233	1.7857	12.6826	1941.435	0.5594	2.6955
1.733	3	14.9	9.921	0.0006	1089.262	1.7795	12.6826	1938.314	0.563	2.5924
1.743	3	15.9	9.925	0.0005	1083.397	1.7869	12.6678	1935.932	0.5586	2.4857
1.753	3	16.9	9.925	0.0006	1084.225	1.8061	11.6121	1958.172	0.5475	2.3868
1.763	3	17.9	9.924	0.0004	1084.709	1.7953	12.6715	1947.38	0.5538	2.3001
1.773	3	18.9	9.928	0.0004	1084.435	1.7685	11.602	1917.844	0.5693	2.2567
1.783	3	19.9	9.934	0.0005	1277.192	1.7755	12.6345	2267.685	0.5652	2.2534
1.793	3	20.9	9.934	0.0009	1272.937	1.7863	11.5817	2273.811	0.559	2.2565
1.803	3	21.9	9.938	0.0007	1122.811	1.7524	11.5682	1967.571	0.5787	2.2304
1.813	3	22.9	9.944	0.001	1258.097	1.8367	12.5978	2310.739	0.5298	2.2405
1.823	3	23.9	9.948	0.0018	1402.312	1.8473	12.5831	2590.518	0.5236	2.2264
1.833	3	24.9	9.953	0.0063	1511.007	1.8289	12.5648	2763.458	0.5343	2.2597
1.843	3	25.9	9.953	0.0065	1509.174	1.8492	12.5648	2790.707	0.5225	2.2404
1.853	3	26.9	9.958	0.0078	1516.139	1.8636	12.5466	2825.465	0.5142	2.2665
1.863	3	27.9	9.967	0.0077	1511.297	1.8497	12.5138	2795.425	0.5222	2.3122
1.873	3	28.9	9.969	0.0077	1519.433	1.8954	12.5066	2879.938	0.4957	2.3607
1.883	3	29.9	9.973	0.0062	1529.601	1.9045	12.492	2913.057	0.4905	2.4371
1.893	3	30.9	9.969	0.0105	1521.752	1.9019	12.5066	2894.278	0.4919	2.4902
1.903	3	31.9	9.968	0.0106	1516.738	1.8859	12.5102	2860.357	0.5012	2.518
1.913	3	32.9	9.968	0.0108	1525.792	1.9168	12.5102	2924.622	0.4833	2.5235
1.923	3	33.9	9.969	0.019	1528.519	1.9056	11.4643	2912.721	0.4898	2.5552
1.933	3	34.9	9.969	0.012	1529.222	1.9122	12.5066	2924.147	0.486	2.6301
1.943	3	35.9	9.97	0.0091	1531.49	1.9422	12.5029	2974.386	0.4686	2.7515
1.953	3	36.9	9.978	0.0079	1537.916	1.9171	10.3949	2948.312	0.4831	3.051
1.963	3	37.9	9.971	0.009	1538.023	1.9344	12.4993	2975.203	0.4731	3.3461
1.973	3	38.9	9.977	0.0155	1529.98	1.9092	12.4776	2921.004	0.4877	3.6845
1.983	3	39.9	9.971	0.011	1522.755	1.8796	12.4993	2862.123	0.5049	3.9526
1.993	3	40.9	9.968	0.013	1512.824	1.8826	12.5102	2848.098	0.5031	4.1977
2.003	3	41.9	9.964	0.0085	1511.529	1.8569	12.5247	2806.705	0.5181	4.4193
2.013	3	42.9	9.966	0.0082	1512.75	1.8639	12.5175	2819.547	0.514	4.5739
2.023	3	43.9	9.967	0.0049	1520.519	1.857	12.5138	2823.61	0.518	4.6534
2.033	3	44.9	9.96	0.0045	1522.237	1.8552	12.5393	2824.002	0.519	4.6694
2.043	3	45.9	9.961	0.0036	1520.067	1.862	12.5357	2830.332	0.5151	4.6926
2.053	3	46.9	9.959	0.0029	1406.241	1.8567	12.5429	2611.035	0.5181	4.679
2.063	3	47.9	9.965	0.0025	1525.8	1.8418	12.5211	2810.144	0.5268	4.539
2.073	3	48.9	9.966	0.0036	1518.744	1.8416	12.5175	2796.869	0.5269	4.3554
2.083	3	49.9	9.967	0.0038	1515.893	1.8345	12.5138	2780.919	0.531	4.0864
2.093	3	50.9	9.966	0.0091	1510	1.8596	12.5175	2808.058	0.5164	3.8589
2.103	3	51.9	9.966	0.0088	1507.944	1.845	12.5175	2782.186	0.5249	3.7089
2.113	3	52.9	9.976	0.0028	1501.957	1.8349	11.4411	2755.955	0.5308	3.5914
2.123	3	53.9	9.981	0.0019	1260.546	1.8695	12.4631	2356.609	0.5107	3.5291
2.133	3	54.9	9.98	0.0026	1294.255	1.8865	12.4667	2441.567	0.5009	3.6396
2.143	3	55.9	9.999	0.0029	1285.88	1.8249	12.3983	2346.585	0.5366	3.6631
2.153	3	56.9	10.004	0.0022	1273.746	1.7944	11.3487	2285.66	0.5543	3.6533
2.163	3	57.9	10.012	0.0017	1259.213	1.7585	12.3518	2214.301	0.5751	3.6935
2.173	3	58.9	10.016	0.0023	1366.253	1.7203	12.3375	2350.351	0.5973	3.6416
2.183	3	59.9	10.011	0.0063	1491.952	1.7661	12.3553	2634.872	0.5707	3.5965
2.193	3	60.9	10.01	0.0191	1496.934	1.7601	12.3589	2634.777	0.5742	3.6028
2.203	3	61.9	10.006	0.0102	1494.548	1.7991	12.3732	2688.78	0.5516	3.6263
