Geotek MSCL 7.9 - TN336_BB17-19_massMS.out created at 11:30:29 on 1/22/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.15
Den1	A=5.9246E-04	B=-.091753	C=9.804
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=505.0359	B=-1.084619	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.639	before cal		10.548	0.0						100.267
-0.579	cal sect	6.0	10.417	0.019	1473.617	1.1493			0.9285	18.1924
-0.519	cal sect	12.0	10.159	0.0649	1468.913	1.1447	-1.7243	1681.417	0.9312	16.2872
-0.459	cal sect	18.0	10.217	0.0486	1468.171	1.1356	-0.8549	1667.21	0.9364	15.4518
-0.399	cal sect	24.0	10.403	0.0189	1471.22	1.1359	-1.6227	1671.127	0.9363	11.7549
-0.339	cal sect	30.0	10.618	0.0361	1485.451	1.1331	-1.5338	1683.182	0.9379	3.7469
-0.279	cal sect	36.0	10.414	0.0891	1501.658	1.1612	-1.5825	1743.722	0.9216	0.5062
-0.219	cal sect	42.0	10.178	0.0278	1495.885	1.1284	-0.8698	1688.011	0.9406	0.3825
-0.159	cal sect	48.0	10.141	0.0784	1488.478	1.1744	-0.8446	1748.094	0.9139	0.3711
-0.099	cal sect	54.0	10.362	0.0176	1488.793	1.1331	-0.8226	1686.981	0.9379	0.3773
-0.039	cal sect	60.0	10.413	0.0122	1501.947	1.1695	0.7858	1756.579	0.9167	0.5308
0.001	 1	0.1	10.732	0.0023	1514.322	0.8274	9.1679	1252.937	1.1152	1.2655
0.011	 1	1.1	10.681	0.0	109.7908	1.3427	6.9994	147.4209	0.8163	1.0647
0.021	 1	2.1	10.647	0.0	109.4413	1.3651	8.2115	149.3929	0.8033	0.8542
0.031	 1	3.1	10.594	0.0	108.8965	1.3773	8.891	149.981	0.7962	0.6823
0.041	 1	4.1	10.519	0.0	108.1256	1.373	10.403	148.4532	0.7987	0.5886
0.051	 1	5.1	10.335	0.0003	1525.011	1.4416	11.0747	2198.525	0.7589	0.5323
0.061	 1	6.1	10.232	0.0034	1502.276	1.5536	10.5775	2333.966	0.694	0.5053
0.071	 1	7.1	10.157	0.0033	1505.633	1.5877	11.8165	2390.467	0.6742	0.4923
0.081	 1	8.1	10.157	0.012	1500.295	1.5424	12.1633	2314.076	0.7005	0.4872
0.091	 1	9.1	10.157	0.0224	1491.702	1.5648	12.6202	2334.24	0.6875	0.4887
0.101	 1	10.1	10.197	0.0231	1489.483	1.5412	12.6688	2295.625	0.7011	0.4891
0.111	 1	11.1	10.208	0.0121	1485.448	1.5288	12.7321	2270.958	0.7084	0.4876
0.121	 1	12.1	10.236	0.0059	1497.367	1.5319	12.6067	2293.744	0.7066	0.4845
0.131	 1	13.1	10.52	0.006	1496.657	1.5267	11.6914	2284.885	0.7096	0.4805
0.141	 1	14.1	10.55	0.0033	1501.138	1.4615	12.1131	2193.95	0.7474	0.4767
0.151	 1	15.1	10.579	0.0005	1496.534	1.5128	12.1914	2263.927	0.7176	0.4775
0.161	 1	16.1	10.571	0.0028	1523.638	1.5014	12.3103	2287.609	0.7242	0.489
0.171	 1	17.1	10.559	0.0038	1516.662	1.4997	12.3648	2274.508	0.7252	0.5207
0.181	 1	18.1	10.495	0.0067	1515.086	1.5709	12.012	2380.061	0.6839	0.5813
0.191	 1	19.1	10.476	0.0138	1517.381	1.6067	11.8058	2437.966	0.6632	0.6987
0.201	 1	20.1	10.573	0.0149	1513.022	1.5677	11.7832	2372.02	0.6858	0.9375
0.211	 1	21.1	10.808	0.0	111.0963	1.5447	11.229	171.6138	0.6991	1.3385
0.221	 2	0.0	10.84	0.0	111.4252	1.063	16.9511	118.4437	0.9785	1.617
0.231	 2	1.0	10.84	0.0	111.4252	1.5111	11.924	168.3795	0.7186	1.3794
0.241	 2	2.0	10.825	0.0	111.271	1.5238	11.8715	169.559	0.7112	0.9786
0.251	 2	3.0	10.822	0.0003	1288.487	1.4912	12.693	1921.365	0.7302	0.7374
0.261	 2	4.0	10.785	0.0002	1130.74	1.4968	12.7695	1692.522	0.7269	0.6332
0.271	 2	5.0	10.424	0.0	107.1491	1.4605	14.4291	156.4953	0.7479	0.5824
0.281	 2	6.0	10.226	0.0013	1246.921	1.5026	14.8218	1873.609	0.7236	0.5571
0.291	 2	7.0	10.162	0.0011	1250.862	1.5076	15.6968	1885.784	0.7207	0.5428
0.301	 2	8.0	10.107	0.0016	1253.659	1.4638	16.4216	1835.123	0.746	0.5338
0.311	 2	9.0	10.101	0.0015	1260.734	1.449	15.9261	1826.745	0.7547	0.5292
0.321	 2	10.0	10.097	0.0022	1267.83	1.462	15.802	1853.565	0.7471	0.529
0.331	 2	11.0	10.096	0.0024	1193.099	1.4517	15.9192	1731.97	0.7531	0.5312
0.341	 2	12.0	10.097	0.0027	1200.452	1.4533	15.2059	1744.561	0.7522	0.5346
0.351	 2	13.0	10.097	0.0034	1252.108	1.5084	15.3163	1888.632	0.7202	0.5374
0.361	 2	14.0	10.1	0.0037	1254.035	1.4777	14.9412	1853.126	0.738	0.5411
0.371	 2	15.0	10.104	0.0028	1263.948	1.5429	14.9433	1950.168	0.7002	0.5417
0.381	 2	16.0	10.109	0.0042	1269.496	1.4889	15.4629	1890.209	0.7315	0.5367
0.391	 2	17.0	10.116	0.0036	1272.453	1.5079	14.5757	1918.708	0.7205	0.5301
0.401	 2	18.0	10.121	0.0041	1207.036	1.4736	14.893	1778.748	0.7403	0.5225
0.411	 2	19.0	10.126	0.0033	1205.763	1.527	13.0476	1841.171	0.7094	0.5172
0.421	 2	20.0	10.126	0.0023	1133.55	1.5534	12.8257	1760.848	0.6941	0.5097
0.431	 2	21.0	10.131	0.002	1206.933	1.5167	13.1175	1830.53	0.7154	0.5001
0.441	 2	22.0	10.13	0.0015	1131.591	1.4267	12.5542	1614.401	0.7676	0.4892
0.451	 2	23.0	10.135	0.002	1132.276	1.4141	12.6475	1601.173	0.7749	0.4826
0.461	 2	24.0	10.141	0.0022	1131.051	1.4371	11.7339	1625.413	0.7616	0.4782
0.471	 2	25.0	10.141	0.0014	1128.533	1.4467	11.6559	1632.65	0.756	0.4761
0.481	 2	26.0	10.146	0.002	1132.745	1.4487	11.6232	1641.025	0.7548	0.4746
0.491	 2	27.0	10.156	0.0014	1131.588	1.4538	11.55	1645.05	0.7519	0.4721
0.501	 2	28.0	10.161	0.0012	1129.251	1.4384	10.9708	1624.346	0.7608	0.4691
0.511	 2	29.0	10.161	0.0013	1125.498	1.4235	11.7785	1602.175	0.7694	0.4646
0.521	 2	30.0	10.166	0.001	1124.184	1.4223	11.0791	1598.972	0.7701	0.4643
0.531	 2	31.0	10.17	0.0014	1128.12	1.4655	10.7403	1653.304	0.745	0.4698
0.541	 2	32.0	10.176	0.002	1125.539	1.4326	9.5973	1612.48	0.7641	0.4774
0.551	 2	33.0	10.181	0.0008	1119.406	1.4193	11.0559	1588.747	0.7719	0.4861
0.561	 2	34.0	10.176	0.001	1122.931	1.429	10.9965	1604.627	0.7663	0.4997
0.571	 2	35.0	10.181	0.0008	1083.085	1.4341	10.2575	1553.285	0.7633	0.5137
0.581	 2	36.0	10.179	0.0008	1121.529	1.4171	11.0788	1589.363	0.7731	0.526
0.591	 2	37.0	10.176	0.0016	1126.037	1.4484	10.8489	1630.964	0.755	0.5354
0.601	 2	38.0	10.171	0.0016	1127.855	1.4402	10.9261	1624.352	0.7597	0.5439
0.611	 2	39.0	10.166	0.0018	1125.304	1.4474	11.5681	1628.711	0.7556	0.553
0.621	 2	40.0	10.162	0.0015	1078.998	1.4314	11.0213	1544.5	0.7648	0.5658
