Geotek MSCL 7.9 - TN336_BB25-28_MSmass.out created at 18:41:00 on 1/23/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.15
Den1	A=5.9246E-04	B=-.091753	C=9.804
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=536.0255	B=-1.092736	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.639	before cal		10.802	0.0						67.3959
-0.579	cal sect	6.0	10.519	0.0215	1495.876	1.149			0.9286	14.7139
-0.519	cal sect	12.0	10.249	0.0245	1472.769	1.1092	-1.7347	1633.532	0.9518	14.9634
-0.459	cal sect	18.0	10.309	0.016	1474.821	1.1278	-1.6776	1663.345	0.9409	14.3628
-0.399	cal sect	24.0	10.553	0.0014	1491.801	1.1112	-0.796	1657.624	0.9506	10.7646
-0.339	cal sect	30.0	10.719	0.006	1497.067	1.099	-1.5392	1645.232	0.9577	3.7667
-0.279	cal sect	36.0	10.679	0.0174	1518.197	1.1246	-1.5203	1707.38	0.9428	0.4861
-0.219	cal sect	42.0	10.309	0.0173	1501.675	1.1591	-0.8162	1740.546	0.9228	0.3618
-0.159	cal sect	48.0	10.253	0.0368	1497.226	1.1544	-0.8325	1728.373	0.9255	0.3693
-0.099	cal sect	54.0	10.404	0.007	1498.056	1.146	-0.8039	1716.836	0.9304	0.3758
-0.039	cal sect	60.0	10.461	0.006	1511.705	1.1501	1.5772	1738.64	0.928	0.5259
0.001	 1	0.1	10.913	0.0	112.1756	0.8281	13.5833	92.8978	1.1148	1.2093
0.011	 1	1.1	10.914	0.0	112.1858	1.4425	9.4668	161.8284	0.7584	1.0095
0.021	 1	2.1	10.878	0.003	1539.267	1.4478	10.6418	2228.528	0.7553	0.769
0.031	 1	3.1	10.867	0.0043	1528.841	1.4503	12.3365	2217.231	0.7539	0.6125
0.041	 1	4.1	10.822	0.0013	1515.686	1.4378	12.5921	2179.226	0.7611	0.5305
0.051	 1	5.1	10.395	0.0009	1517.961	1.5108	14.0612	2293.344	0.7188	0.4824
0.061	 1	6.1	10.322	0.0048	1507.742	1.5143	14.3163	2283.178	0.7168	0.4558
0.071	 1	7.1	10.306	0.0103	1508.489	1.51	15.0481	2277.868	0.7192	0.4429
0.081	 1	8.1	10.273	0.0091	1500.803	1.5128	14.5287	2270.364	0.7177	0.4383
0.091	 1	9.1	10.27	0.0067	1497.958	1.5159	14.5113	2270.688	0.7159	0.4388
0.101	 1	10.1	10.248	0.0081	1492.355	1.5258	14.5064	2276.994	0.7101	0.4399
0.111	 1	11.1	10.243	0.0082	1495.765	1.5411	15.0081	2305.058	0.7012	0.4416
0.121	 1	12.1	10.243	0.012	1493.149	1.5473	14.9475	2310.361	0.6976	0.4428
0.131	 1	13.1	10.243	0.0114	1489.025	1.5432	14.987	2297.902	0.7	0.4469
0.141	 1	14.1	10.243	0.01	1491.192	1.5616	14.8109	2328.608	0.6893	0.4504
0.151	 1	15.1	10.243	0.0103	1489.458	1.5654	15.3898	2331.668	0.6871	0.4519
0.161	 1	16.1	10.242	0.0063	1490.179	1.5728	15.3219	2343.8	0.6828	0.4518
0.171	 1	17.1	10.238	0.0198	1495.69	1.5579	14.8665	2330.174	0.6915	0.4513
0.181	 1	18.1	10.237	0.0194	1491.404	1.5675	14.7801	2337.739	0.6859	0.4504
0.191	 1	19.1	10.214	0.0183	1496.776	1.5422	15.1204	2308.29	0.7006	0.45
0.201	 1	20.1	10.214	0.0318	1495.461	1.5387	15.1549	2301.002	0.7026	0.4512
0.211	 1	21.1	10.214	0.0224	1493.712	1.5602	14.9456	2330.501	0.6901	0.4539
0.221	 1	22.1	10.209	0.0364	1496.482	1.5489	15.0759	2317.917	0.6967	0.4553
0.231	 1	23.1	10.213	0.0257	1493.347	1.5823	14.7407	2362.99	0.6773	0.4539
0.241	 1	24.1	10.215	0.0217	1493.421	1.5789	14.764	2358.034	0.6793	0.4502
0.251	 1	25.1	10.217	0.0217	1495.463	1.575	14.1763	2355.357	0.6816	0.4461
0.261	 1	26.1	10.22	0.0258	1495.464	1.5779	14.753	2359.686	0.6799	0.4452
0.271	 1	27.1	10.224	0.0289	1496.487	1.5837	14.0703	2370.039	0.6765	0.4482
0.281	 1	28.1	10.253	0.0277	1491.78	1.5695	14.6949	2341.307	0.6848	0.4526
0.291	 1	29.1	10.256	0.018	1491.131	1.5841	14.5466	2362.16	0.6763	0.4528
0.301	 1	30.1	10.258	0.0126	1490.338	1.5824	13.9478	2358.344	0.6772	0.4492
0.311	 1	31.1	10.261	0.0185	1492.509	1.587	14.4996	2368.67	0.6746	0.457
0.321	 1	32.1	10.263	0.0189	1493.017	1.5704	14.6446	2344.706	0.6842	0.4588
0.331	 1	33.1	10.263	0.019	1488.47	1.5918	14.4479	2369.394	0.6718	0.4621
0.341	 1	34.1	10.263	0.0196	1491.932	1.5484	14.8533	2310.079	0.697	0.4668
0.351	 1	35.1	10.263	0.022	1491.498	1.5657	15.3008	2335.271	0.6869	0.4653
0.361	 1	36.1	10.259	0.0194	1493.957	1.5736	14.632	2350.848	0.6824	0.4685
0.371	 1	37.1	10.258	0.0223	1489.04	1.5508	14.8512	2309.168	0.6956	0.4708
0.381	 1	38.1	10.262	0.0158	1492.22	1.5625	15.3362	2331.668	0.6888	0.4767
0.391	 1	39.1	10.259	0.0228	1494.174	1.5789	15.1903	2359.142	0.6793	0.4848
0.401	 1	40.1	10.259	0.0282	1493.304	1.5956	14.4301	2382.692	0.6696	0.4954
0.411	 1	41.1	10.259	0.0221	1494.392	1.5905	15.0797	2376.778	0.6726	0.5026
0.421	 1	42.1	10.252	0.0344	1499.488	1.605	14.3739	2406.644	0.6642	0.5053
0.431	 1	43.1	10.254	0.0275	1499.781	1.613	14.2941	2419.189	0.6595	0.5061
0.441	 1	44.1	10.248	0.0407	1499.561	1.601	15.0268	2400.816	0.6665	0.5078
0.451	 1	45.1	10.248	0.0301	1496.277	1.6137	14.3125	2414.517	0.6591	0.5121
0.461	 1	46.1	10.25	0.0305	1498.538	1.605	14.3818	2405.157	0.6642	0.5181
0.471	 1	47.1	10.243	0.03	1494.456	1.5802	15.2458	2361.592	0.6785	0.5221
0.481	 1	48.1	10.248	0.0255	1493.878	1.599	15.0456	2388.725	0.6676	0.5248
0.491	 1	49.1	10.267	0.0398	1501.023	1.6012	14.3472	2403.435	0.6664	0.5284
0.501	 1	50.1	10.254	0.0343	1499.342	1.6064	13.7552	2408.526	0.6633	0.5298
0.511	 1	51.1	10.254	0.0314	1494.317	1.6015	13.7971	2393.159	0.6662	0.5304
0.521	 1	52.1	10.259	0.0205	1495.481	1.6149	13.0698	2414.978	0.6584	0.5277
0.531	 1	53.1	10.258	0.0217	1493.376	1.5881	13.2939	2371.584	0.674	0.5235
0.541	 1	54.1	10.259	0.0286	1493.739	1.5797	13.3603	2359.713	0.6788	0.5195
0.551	 1	55.1	10.263	0.0313	1492.366	1.5704	13.4242	2343.683	0.6842	0.5159
0.561	 1	56.1	10.254	0.0205	1490.624	1.5727	13.4393	2344.249	0.6829	0.5182
0.571	 1	57.1	10.249	0.0174	1490.98	1.516	13.9608	2260.391	0.7158	0.5276
0.581	 1	58.1	10.245	0.0191	1491.266	1.5771	13.4352	2351.909	0.6803	0.5403
0.591	 1	59.1	10.244	0.0227	1492.207	1.5936	13.2997	2378.05	0.6707	0.5534
0.601	 1	60.1	10.239	0.0216	1493.219	1.6027	13.8451	2393.191	0.6655	0.5642
0.611	 1	61.1	10.234	0.0196	1489.665	1.6078	13.8207	2395.083	0.6625	0.5719
0.621	 1	62.1	10.239	0.0171	1492.348	1.6148	14.3387	2409.861	0.6585	0.5768
