Geotek MSCL 7.9 - TN336_BB29-33.raw created at 12:36:34 on 1/24/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_BB29-33.out created at 12:37:32 on 1/24/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,µsec,,cps,SI x 10^-5,¡C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.002,1,0.2,6.68,103.08,0.0002,5638,21,18.76,124.8,,0.002,1,0.2,10.848,0.0002,1410.113,1.2885,17.1636,13.3209,1816.889,0.8478,2.7457
0.012,1,1.2,6.67,92.83,0.0008,3820,26,18.76,153.5,,0.012,1,1.2,10.847,0.0008,1626.725,1.7871,21.2558,11.8939,2907.159,0.5585,2.1903
0.022,1,2.2,7.18,94.01,0.0059,3713,29,18.76,221.5,,0.022,1,2.2,10.898,0.0059,1605.953,1.8168,23.393,12.876,2917.692,0.5413,1.4667
0.032,1,3.2,6.91,94.33,0.0008,3787,32,18.76,278.8,,0.032,1,3.2,10.871,0.0008,1594.456,1.7948,25.9964,14.4843,2861.721,0.5541,1.1406
0.042,1,4.2,6.03,93.9,0.0002,3852,32,18.76,313.6,,0.042,1,4.2,10.783,0.0002,1591.587,1.7865,26.6072,14.8935,2843.363,0.5589,1.0029
0.052,1,5.2,1.75,91.48,0.0009,3862,34,18.76,334.3,,0.052,1,5.2,10.355,0.0009,1585.03,1.8567,31.7543,17.1025,2942.933,0.5182,0.9353
0.062,1,6.2,0.69,91.31,0.0029,3884,34,18.75,346.3,,0.062,1,6.2,10.249,0.0029,1572.897,1.8679,32.7098,17.5118,2937.981,0.5117,0.9001
0.072,1,7.2,0.42,90.55,0.0052,3843,33,18.79,353.9,,0.072,1,7.2,10.222,0.0052,1587.267,1.8879,31.9902,16.9452,2996.542,0.5001,0.8788
0.082,1,8.2,0.27,89.79,0.0103,3670,33,18.8,356.8,,0.082,1,8.2,10.207,0.0103,1603.865,1.9565,32.126,16.4199,3138.008,0.4603,0.8712
0.092,1,9.2,0.25,89.24,0.0097,3658,33,18.8,355.7,,0.092,1,9.2,10.205,0.0097,1617.531,1.9616,32.1442,16.3865,3172.991,0.4573,0.8739
0.102,1,10.2,0.25,88.45,0.0252,3616,33,18.8,354.5,,0.102,1,10.2,10.205,0.0252,1638.042,1.9783,32.1442,16.2485,3240.513,0.4476,0.8774
0.112,1,11.2,0.35,88.66,0.0222,3600,33,18.8,355.8,,0.112,1,11.2,10.215,0.0222,1634.138,1.9828,32.0535,16.1662,3240.091,0.445,0.8737
0.122,1,12.2,0.3,88.84,0.013,3612,33,18.8,357.3,,0.122,1,12.2,10.21,0.013,1628.649,1.9789,32.0988,16.2204,3222.957,0.4473,0.8698
0.132,1,13.2,0.3,88.57,0.0119,3574,33,18.8,359.2,,0.132,1,13.2,10.21,0.0119,1635.694,1.9942,32.0988,16.096,3261.918,0.4384,0.8648
0.142,1,14.2,0.4,88.55,0.0183,3577,34,18.8,360.3,,0.142,1,14.2,10.22,0.0183,1637.82,1.991,32.9782,16.5633,3260.975,0.4402,0.862
0.152,1,15.2,0.4,88.96,0.014,3637,35,18.79,357.9,,0.152,1,15.2,10.22,0.014,1627.13,1.967,33.9482,17.2586,3200.619,0.4542,0.8681
0.162,1,16.2,0.5,89.23,0.0107,3777,36,19.06,353.9,,0.162,1,16.2,10.23,0.0107,1621.75,1.911,34.8198,18.2205,3099.2,0.4866,0.8789
0.172,1,17.2,0.6,90.88,0.0077,4030,37,18.74,350.4,,0.172,1,17.2,10.24,0.0077,1581.956,1.8176,35.6863,19.6339,2875.336,0.5408,0.8885
0.182,1,18.2,0.66,92.45,0.0154,4063,38,18.4,351.1,,0.182,1,18.2,10.246,0.0154,1545.4,1.8051,36.5889,20.2696,2789.617,0.5481,0.8865
0.192,1,19.2,0.64,92.67,0.0124,4004,39,18.18,354.1,,0.192,1,19.2,10.244,0.0124,1539.988,1.8259,37.5729,20.5772,2811.934,0.536,0.8783
0.202,1,20.2,0.72,92.65,0.0106,3979,39,18.08,356.6,,0.202,1,20.2,10.252,0.0106,1541.654,1.8333,37.4884,20.4485,2826.325,0.5317,0.8715
0.212,1,21.2,0.82,92.6,0.0114,3990,38,18,363.8,,0.212,1,21.2,10.262,0.0114,1544.319,1.8277,36.4246,19.9298,2822.474,0.535,0.8528
0.222,1,22.2,0.92,92.63,0.0137,3996,38,17.86,368.6,,0.222,1,22.2,10.272,0.0137,1545.126,1.8238,36.3225,19.9162,2817.95,0.5373,0.8407
