<PWAVE-TN336_BB30-34-0>
<PWAVE SAMPLE POINT>
Depth In Core=0.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_BB30-34
Section Number=cal
Section Length=63.80
Comments=Core TN336_BB30-34 logged at 13:56:36 on 01-24-2016
TOT=0.00
TX Level (Volts)=255
P-Wave Amp Gain=1443.00
Delay=80.00
Gate=52.00
Date=1/24/2016
Time=13:59:16
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,-0.005
0.08,-0.005
0.16,-0.004
0.24,-0.004
0.32,-0.004
0.40,-0.003
0.48,-0.006
0.56,0.037
0.64,0.003
0.72,-0.022
0.80,-0.030
0.88,-0.006
0.96,-0.002
1.04,-0.016
1.12,-0.041
1.20,-0.103
1.28,-0.264
1.36,-0.346
1.44,-0.346
1.52,-0.346
1.60,-0.346
1.68,-0.346
1.76,-0.346
1.84,-0.346
1.92,-0.346
2.00,-0.346
2.08,-0.346
2.16,-0.346
2.24,-0.346
2.32,-0.346
2.40,-0.346
2.48,-0.346
2.56,-0.346
2.64,-0.346
2.72,-0.307
2.80,-0.222
2.88,-0.172
2.96,-0.153
3.04,-0.151
3.12,-0.155
3.20,-0.152
3.28,-0.133
3.36,-0.096
3.44,-0.043
3.52,0.040
3.60,0.127
3.68,0.245
3.76,0.342
3.84,0.344
3.92,0.344
4.00,0.344
4.08,0.344
4.16,0.344
4.24,0.344
4.32,0.344
4.40,0.344
4.48,0.344
4.56,0.344
4.64,0.344
4.72,0.344
4.80,0.344
4.88,0.344
4.96,0.344
5.04,0.344
5.12,0.344
5.20,0.344
5.28,0.344
5.36,0.344
5.44,0.344
5.52,0.344
5.60,0.344
5.68,0.344
5.76,0.344
5.84,0.344
5.92,0.344
6.00,0.344
6.08,0.344
6.16,0.344
6.24,0.344
6.32,0.344
6.40,0.342
6.48,0.328
6.56,0.308
6.64,0.289
6.72,0.270
6.80,0.254
6.88,0.238
6.96,0.223
7.04,0.209
7.12,0.195
7.20,0.183
7.28,0.171
7.36,0.160
7.44,0.150
7.52,0.140
7.60,0.132
7.68,0.123
7.76,0.116
7.84,0.107
7.92,0.099
8.00,0.091
8.08,0.083
8.16,0.076
8.24,0.069
8.32,0.061
8.40,0.055
8.48,0.048
8.56,0.042
8.64,0.036
8.72,0.031
8.80,0.026
8.88,0.021
8.96,0.017
9.04,0.013
9.12,0.009
9.20,0.005
9.28,0.002
9.36,-0.002
9.44,-0.005
9.52,-0.008
9.60,-0.011
9.68,-0.014
9.76,-0.016
9.84,-0.019
9.92,-0.021
10.00,-0.024
10.08,-0.026
10.16,-0.028
10.24,-0.030
10.32,-0.031
10.40,-0.033
10.48,-0.035
10.56,-0.036
10.64,-0.037
10.72,-0.039
10.80,-0.040
10.88,-0.041
10.96,-0.042
11.04,-0.043
11.12,-0.043
11.20,-0.044
11.28,-0.044
11.36,-0.045
11.44,-0.046
11.52,-0.046
11.60,-0.046
11.68,-0.047
11.76,-0.047
11.84,-0.048
11.92,-0.048
12.00,-0.049
12.08,-0.049
12.16,-0.049
12.24,-0.049
12.32,-0.049
12.40,-0.050
12.48,-0.049
12.56,-0.049
12.64,-0.049
12.72,-0.050
12.80,-0.049
12.88,-0.049
12.96,-0.049
13.04,-0.049
13.12,-0.049
13.20,-0.049
13.28,-0.049
13.36,-0.050
13.44,-0.050
13.52,-0.050
13.60,-0.050
13.68,-0.050
13.76,-0.049
13.84,-0.049
13.92,-0.049
14.00,-0.048
14.08,-0.048
14.16,-0.047
14.24,-0.047
14.32,-0.046
14.40,-0.046
14.48,-0.046
14.56,-0.045
14.64,-0.045
14.72,-0.045
14.80,-0.044
14.88,-0.044
14.96,-0.044
15.04,-0.044
15.12,-0.043
15.20,-0.043
15.28,-0.043
15.36,-0.043
15.44,-0.042
15.52,-0.042
15.60,-0.042
15.68,-0.041
15.76,-0.041
15.84,-0.041
15.92,-0.041
16.00,-0.041
16.08,-0.041
16.16,-0.041
16.24,-0.040
16.32,-0.040
16.40,-0.040
16.48,-0.040
16.56,-0.039
16.64,-0.039
16.72,-0.039
16.80,-0.039
16.88,-0.038
16.96,-0.037
17.04,-0.037
17.12,-0.037
17.20,-0.037
17.28,-0.036
17.36,-0.036
17.44,-0.036
17.52,-0.036
17.60,-0.035
17.68,-0.035
17.76,-0.035
17.84,-0.034
17.92,-0.034
18.00,-0.034
18.08,-0.034
18.16,-0.034
18.24,-0.033
18.32,-0.034
18.40,-0.033
18.48,-0.033
18.56,-0.033
18.64,-0.033
18.72,-0.033
18.80,-0.033
18.88,-0.032
18.96,-0.032
19.04,-0.032
19.12,-0.031
19.20,-0.031
19.28,-0.031
19.36,-0.030
19.44,-0.030
19.52,-0.030
19.60,-0.030
19.68,-0.030
19.76,-0.030
19.84,-0.029
19.92,-0.030
20.00,-0.029
20.08,-0.029
20.16,-0.029
20.24,-0.029
20.32,-0.029
20.40,-0.028
20.48,-0.028
20.56,-0.028
20.64,-0.027
20.72,-0.027
20.80,-0.027
20.88,-0.026
20.96,-0.026
21.04,-0.026
21.12,-0.025
21.20,-0.025
21.28,-0.025
21.36,-0.025
21.44,-0.025
21.52,-0.025
21.60,-0.025
21.68,-0.025
21.76,-0.025
21.84,-0.025
21.92,-0.025
22.00,-0.025
22.08,-0.024
22.16,-0.024
22.24,-0.024
22.32,-0.024
22.40,-0.024
22.48,-0.024
22.56,-0.024
22.64,-0.023
22.72,-0.023
22.80,-0.023
22.88,-0.023
22.96,-0.023
23.04,-0.023
23.12,-0.023
23.20,-0.023
23.28,-0.023
23.36,-0.022
23.44,-0.022
23.52,-0.022
23.60,-0.022
23.68,-0.022
23.76,-0.022
23.84,-0.022
23.92,-0.022
24.00,-0.022
24.08,-0.022
24.16,-0.022
24.24,-0.021
24.32,-0.021
24.40,-0.021
24.48,-0.021
24.56,-0.021
24.64,-0.020
24.72,-0.020
24.80,-0.020
24.88,-0.020
24.96,-0.019
25.04,-0.019
25.12,-0.019
25.20,-0.019
25.28,-0.019
25.36,-0.019
25.44,-0.018
25.52,-0.019
25.60,-0.019
25.68,-0.018
25.76,-0.018
25.84,-0.018
25.92,-0.018
26.00,-0.018
26.08,-0.018
26.16,-0.018
26.24,-0.018
26.32,-0.018
26.40,-0.017
26.48,-0.017
26.56,-0.017
26.64,-0.017
26.72,-0.016
26.80,-0.016
26.88,-0.016
26.96,-0.016
27.04,-0.015
27.12,-0.015
27.20,-0.015
27.28,-0.015
27.36,-0.015
27.44,-0.014
27.52,-0.014
27.60,-0.014
27.68,-0.014
27.76,-0.014
27.84,-0.014
27.92,-0.014
28.00,-0.013
28.08,-0.013
28.16,-0.014
28.24,-0.014
28.32,-0.014
28.40,-0.013
28.48,-0.014
28.56,-0.014
28.64,-0.014
28.72,-0.014
28.80,-0.013
28.88,-0.013
28.96,-0.013
29.04,-0.013
29.12,-0.013
29.20,-0.013
29.28,-0.013
29.36,-0.013
29.44,-0.013
29.52,-0.013
29.60,-0.014
29.68,-0.014
29.76,-0.013
29.84,-0.014
29.92,-0.014
30.00,-0.013
30.08,-0.013
30.16,-0.014
30.24,-0.014
30.32,-0.014
30.40,-0.013
30.48,-0.013
30.56,-0.013
30.64,-0.013
30.72,-0.013
30.80,-0.013
30.88,-0.013
30.96,-0.012
31.04,-0.012
31.12,-0.012
31.20,-0.012
31.28,-0.012
31.36,-0.012
31.44,-0.012
31.52,-0.012
31.60,-0.012
31.68,-0.012
31.76,-0.011
31.84,-0.011
31.92,-0.011
32.00,-0.011
32.08,-0.011
32.16,-0.010
32.24,-0.010
32.32,-0.010
32.40,-0.010
32.48,-0.009
32.56,-0.009
32.64,-0.009
32.72,-0.009
32.80,-0.009
32.88,-0.009
32.96,-0.008
33.04,-0.008
33.12,-0.008
33.20,-0.008
33.28,-0.009
33.36,-0.009
33.44,-0.009
33.52,-0.009
33.60,-0.009
33.68,-0.009
33.76,-0.009
33.84,-0.009
33.92,-0.010
34.00,-0.009
34.08,-0.009
34.16,-0.010
34.24,-0.009
34.32,-0.009
34.40,-0.009
34.48,-0.009
34.56,-0.009
34.64,-0.009
34.72,-0.009
34.80,-0.009
34.88,-0.010
34.96,-0.010
35.04,-0.010
35.12,-0.009
35.20,-0.009
35.28,-0.009
35.36,-0.009
35.44,-0.009
35.52,-0.009
35.60,-0.009
35.68,-0.009
35.76,-0.009
35.84,-0.009
35.92,-0.009
36.00,-0.009
36.08,-0.009
36.16,-0.009
36.24,-0.009
36.32,-0.009
36.40,-0.009
36.48,-0.009
36.56,-0.009
36.64,-0.009
36.72,-0.009
36.80,-0.008
36.88,-0.008
36.96,-0.008
37.04,-0.008
37.12,-0.007
37.20,-0.007
37.28,-0.007
37.36,-0.007
37.44,-0.007
37.52,-0.006
37.60,-0.006
37.68,-0.006
37.76,-0.006
37.84,-0.007
37.92,-0.007
38.00,-0.006
38.08,-0.007
38.16,-0.006
38.24,-0.006
38.32,-0.006
38.40,-0.007
38.48,-0.007
38.56,-0.007
38.64,-0.007
38.72,-0.007
38.80,-0.007
38.88,-0.007
38.96,-0.007
39.04,-0.007
39.12,-0.007
39.20,-0.006
39.28,-0.006
39.36,-0.006
39.44,-0.006
39.52,-0.006
39.60,-0.006
39.68,-0.006
39.76,-0.006
39.84,-0.006
39.92,-0.007
40.00,-0.007
40.08,-0.007
40.16,-0.007
40.24,-0.007
40.32,-0.007
40.40,-0.007
40.48,-0.007
40.56,-0.007
40.64,-0.007
40.72,-0.007
40.80,-0.007
40.88,-0.006
40.96,-0.006
41.04,-0.006
41.12,-0.007
41.20,-0.007
41.28,-0.007
41.36,-0.007
41.44,-0.007
41.52,-0.007
41.60,-0.007
41.68,-0.007
41.76,-0.007
41.84,-0.007
41.92,-0.006
42.00,-0.006
42.08,-0.006
42.16,-0.006
42.24,-0.006
42.32,-0.006
42.40,-0.005
42.48,-0.005
42.56,-0.005
42.64,-0.005
42.72,-0.005
42.80,-0.005
42.88,-0.005
42.96,-0.005
43.04,-0.005
43.12,-0.005
43.20,-0.005
43.28,-0.005
43.36,-0.005
43.44,-0.005
43.52,-0.005
43.60,-0.005
43.68,-0.005
43.76,-0.005
43.84,-0.005
43.92,-0.005
44.00,-0.005
44.08,-0.005
44.16,-0.005
44.24,-0.005
