Geotek MSCL 7.9 - TN336_JPC32-36_MSmass.out created at 18:50:20 on 1/24/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.43
Den1	A=7.1605E-04	B=-.096198	C=9.839
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=513.1992	B=-1.077428	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.637	cal sect	0.0	10.743	0.0003						50.2643
-0.577	cal sect	6.0	10.418	0.0138	1500.937	1.1436			0.9318	21.156
-0.517	cal sect	12.0	10.189	0.0144	1469.85	1.1559	-0.8465	1698.96	0.9247	18.8794
-0.457	cal sect	18.0	10.229	0.0116	1473.707	1.1562	-0.8368	1703.853	0.9245	17.9572
-0.397	cal sect	24.0	10.496	0.0013	1494.518	1.1452	-0.7844	1711.526	0.9309	12.9874
-0.337	cal sect	30.0	10.717	0.0057	1496.788	1.101	-0.7686	1648.03	0.9565	4.5429
-0.277	cal sect	36.0	10.618	0.0047	1503.54	1.1031	-0.7878	1658.615	0.9553	0.5033
-0.217	cal sect	42.0	10.288	0.0073	1494.263	1.1356	-0.8379	1696.896	0.9364	0.3819
-0.157	cal sect	48.0	10.229	0.0203	1490.456	1.1551	-0.8376	1721.559	0.9251	0.3823
-0.097	cal sect	54.0	10.433	0.0064	1496.844	1.1354	0.0	1699.491	0.9366	0.3904
-0.037	cal sect	60.0	10.507	0.0066	1510.277	1.146	2.3445	1730.826	0.9304	0.5603
0.003	 1	0.3	10.896	0.0	112.0331	1.08	9.7148	120.9964	0.9687	1.3162
0.013	 1	1.3	10.884	0.0001	1443.119	1.4253	9.0885	2056.896	0.7684	1.0638
0.023	 1	2.3	10.946	0.0005	1534.343	1.4364	10.537	2203.944	0.7619	0.7937
0.033	 1	3.3	10.912	0.001	1529.362	1.4579	11.5766	2229.7	0.7495	0.6436
0.043	 1	4.3	10.849	0.0003	1513.532	1.4595	12.877	2208.926	0.7486	0.5695
0.053	 1	5.3	10.411	0.0011	1523.19	1.5631	14.7074	2380.89	0.6885	0.5298
0.063	 1	6.3	10.324	0.0036	1492.123	1.5867	14.8429	2367.549	0.6748	0.509
0.073	 1	7.3	10.238	0.0019	1510.252	1.624	15.45	2452.665	0.6531	0.4978
0.083	 1	8.3	10.194	0.0062	1512.912	1.6449	16.0385	2488.597	0.641	0.4961
0.093	 1	9.3	10.194	0.0123	1500.662	1.5941	16.5497	2392.204	0.6705	0.4977
0.103	 1	10.3	10.199	0.0227	1494.797	1.5851	16.0042	2369.45	0.6757	0.4995
0.113	 1	11.3	10.198	0.0185	1497.064	1.5977	15.8825	2391.908	0.6684	0.4988
0.123	 1	12.3	10.205	0.0182	1497.432	1.5772	15.4398	2361.747	0.6803	0.4993
0.133	 1	13.3	10.209	0.0199	1491.454	1.5771	14.1891	2352.228	0.6803	0.5006
0.143	 1	14.3	10.219	0.0206	1491.825	1.5801	14.7369	2357.183	0.6786	0.504
0.153	 1	15.3	10.219	0.0214	1489.433	1.5546	14.3542	2315.484	0.6934	0.5065
0.163	 1	16.3	10.225	0.016	1488.139	1.5515	14.3585	2308.864	0.6952	0.5073
0.173	 1	17.3	10.224	0.0161	1492.337	1.5422	13.8214	2301.424	0.7006	0.5097
0.183	 1	18.3	10.225	0.0205	1487.273	1.5355	14.5078	2283.774	0.7044	0.5112
0.193	 1	19.3	10.229	0.0167	1486.341	1.5655	13.5966	2326.795	0.6871	0.5117
0.203	 1	20.3	10.234	0.0138	1487.5	1.5553	14.2869	2313.563	0.693	0.5143
0.213	 1	21.3	10.235	0.0174	1492.635	1.5566	14.2717	2323.368	0.6923	0.5136
0.223	 1	22.3	10.235	0.0163	1492.417	1.5596	14.244	2327.535	0.6905	0.5113
0.233	 1	23.3	10.243	0.015	1490.541	1.5733	14.088	2345.061	0.6825	0.5089
0.243	 1	24.3	10.247	0.0185	1488.74	1.5935	13.8938	2372.302	0.6708	0.5066
0.253	 1	25.3	10.248	0.0129	1486.295	1.595	13.8764	2370.708	0.6699	0.5051
0.263	 1	26.3	10.261	0.0145	1490.125	1.5753	13.9993	2347.355	0.6814	0.5029
0.273	 1	27.3	10.259	0.024	1495.917	1.5905	12.6667	2379.252	0.6726	0.5022
0.283	 1	28.3	10.264	0.0171	1493.815	1.6025	13.1516	2393.911	0.6656	0.502
0.293	 1	29.3	10.269	0.0073	1490.421	1.6211	13.5726	2416.195	0.6548	0.5012
0.303	 1	30.3	10.269	0.005	1489.772	1.6069	13.6926	2393.975	0.663	0.504
0.313	 1	31.3	10.277	0.0041	1492.448	1.6031	13.0992	2392.548	0.6653	0.5106
0.323	 1	32.3	10.282	0.0057	1494.911	1.6101	13.024	2406.956	0.6612	0.5156
0.333	 1	33.3	10.277	0.0076	1498.979	1.6014	13.1133	2400.437	0.6663	0.5242
0.343	 1	34.3	10.281	0.0077	1493.897	1.6236	12.919	2425.551	0.6533	0.5429
0.353	 1	35.3	10.282	0.0088	1494.042	1.6009	12.5035	2391.796	0.6665	0.5561
0.363	 1	36.3	10.282	0.0059	1497.088	1.6055	12.4677	2403.551	0.6639	0.5704
0.373	 1	37.3	10.288	0.0056	1492.529	1.5846	12.6108	2365.063	0.676	0.5791
0.383	 1	38.3	10.282	0.0056	1490.361	1.5915	11.9786	2371.871	0.672	0.5841
0.393	 1	39.3	10.283	0.0059	1494.405	1.6233	11.7402	2425.904	0.6535	0.5909
0.403	 1	40.3	10.282	0.0071	1496.216	1.6104	11.246	2409.49	0.661	0.5956
0.413	 1	41.3	10.277	0.0072	1491.366	1.5922	11.9895	2374.625	0.6715	0.6043
0.423	 1	42.3	10.275	0.0055	1483.54	1.5818	12.0754	2346.683	0.6776	0.6068
0.433	 1	43.3	10.28	0.0068	1484.048	1.6145	11.8146	2395.949	0.6587	0.6087
0.443	 1	44.3	10.28	0.0073	1485.764	1.5978	11.3412	2373.904	0.6683	0.6117
0.453	 1	45.3	10.281	0.0076	1484.835	1.5865	11.4183	2355.734	0.6749	0.6125
0.463	 1	46.3	10.275	0.0082	1482.47	1.5875	12.0325	2353.354	0.6743	0.6106
0.473	 1	47.3	10.281	0.0046	1482.694	1.5976	11.9359	2368.768	0.6684	0.6128
0.483	 1	48.3	10.281	0.0041	1483.122	1.5837	12.0407	2348.828	0.6765	0.6141
0.493	 1	49.3	10.288	0.0058	1483.704	1.5849	12.0082	2351.498	0.6758	0.615
0.503	 1	50.3	10.293	0.0074	1486.568	1.5952	11.3183	2371.341	0.6699	0.6128
0.513	 1	51.3	10.3	0.0081	1485.648	1.5967	11.8796	2372.078	0.669	0.6101
0.523	 1	52.3	10.307	0.0074	1490.528	1.6313	11.6047	2431.487	0.6489	0.605
0.533	 1	53.3	10.32	0.0085	1491.976	1.6039	11.7602	2392.955	0.6648	0.602
0.543	 1	54.3	10.332	0.0084	1492.417	1.5787	11.9079	2356.073	0.6794	0.5985
0.553	 1	55.3	10.332	0.0079	1484.483	1.5829	11.8761	2349.825	0.677	0.5934
0.563	 1	56.3	10.327	0.0061	1484.191	1.5812	11.906	2346.73	0.678	0.5896
0.573	 1	57.3	10.332	0.008	1489.619	1.5725	12.5524	2342.467	0.683	0.5848
0.583	 1	58.3	10.327	0.0101	1487.397	1.5865	12.459	2359.787	0.6749	0.5828
0.593	 1	59.3	10.301	0.0126	1486.436	1.6141	12.3355	2399.223	0.6589	0.5826
0.603	 1	60.3	10.296	0.0086	1484.857	1.6004	12.4582	2376.411	0.6668	0.5835
0.613	 1	61.3	10.291	0.009	1486.709	1.6116	12.3893	2395.956	0.6603	0.5859
0.623	 1	62.3	10.293	0.0128	1486.998	1.6023	13.0469	2382.664	0.6657	0.5879
