Geotek MSCL 7.9 - TN336_BB36-41_MSmass_redo.out created at 14:12:53 on 1/25/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.43
Den1	A=7.1605E-04	B=-.096198	C=9.839
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=513.1992	B=-1.077428	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.638	cal sect	0.0	10.53	0.0055						90.6142
-0.578	cal sect	6.0	10.415	0.0063	1471.045	1.164			0.92	12.9828
-0.518	cal sect	12.0	10.15	0.0206	1466.339	1.1948	-1.6562	1751.954	0.9021	11.5941
-0.458	cal sect	18.0	10.149	0.0135	1466.83	1.1273	-0.8779	1653.521	0.9413	11.6499
-0.398	cal sect	24.0	10.431	0.0012	1480.204	1.1477	-0.7968	1698.849	0.9294	9.081
-0.338	cal sect	30.0	10.71	0.0005	1483.174	1.114	-0.761	1652.323	0.9489	3.9008
-0.278	cal sect	36.0	10.521	0.0117	1497.651	1.1416	-0.7816	1709.662	0.933	0.5204
-0.218	cal sect	42.0	10.188	0.0071	1494.061	1.1273	-0.8683	1684.22	0.9413	0.3835
-0.158	cal sect	48.0	10.15	0.043	1483.267	1.156	0.0	1714.718	0.9246	0.3888
-0.098	cal sect	54.0	10.324	0.0052	1486.537	1.15	-0.8192	1709.449	0.9281	0.3926
-0.038	cal sect	60.0	10.41	0.0096	1495.475	1.1646	2.3695	1741.577	0.9196	0.555
0.002	 1	0.2	10.819	0.0	111.2414	1.0215	12.0941	113.6306	1.0026	1.2801
0.012	 1	1.2	10.778	0.0	110.8198	1.275	11.7538	141.2983	0.8556	1.0561
0.022	 1	2.2	10.757	0.0	110.6039	1.2962	13.5646	143.3606	0.8433	0.8088
0.032	 1	3.2	10.728	0.0001	1015.717	1.3101	14.168	1330.727	0.8352	0.6562
0.042	 1	4.2	10.659	0.0	109.5962	1.2826	16.0817	140.5729	0.8511	0.5795
0.052	 1	5.2	10.189	0.0001	1137.927	1.3544	17.3394	1541.154	0.8095	0.5388
0.062	 1	6.2	10.159	0.0001	1128.026	1.3574	18.1748	1531.236	0.8077	0.5196
0.072	 1	7.2	10.157	0.0002	1128.932	1.3577	18.1815	1532.768	0.8076	0.5119
0.082	 1	8.2	10.151	0.0001	1133.304	1.3662	18.0991	1548.354	0.8027	0.5056
0.092	 1	9.2	10.15	0.0002	1276.89	1.36	18.187	1736.582	0.8063	0.504
0.102	 1	10.2	10.127	0.0004	1274.157	1.3812	18.0261	1759.831	0.794	0.5027
0.112	 1	11.2	10.117	0.001	1274.342	1.4221	17.5574	1812.233	0.7702	0.4992
0.122	 1	12.2	10.116	0.0008	1261.347	1.3973	17.8736	1762.523	0.7846	0.499
0.132	 1	13.2	10.116	0.0007	1198.578	1.3682	17.5238	1639.918	0.8015	0.5007
0.142	 1	14.2	10.105	0.0009	1203.836	1.3649	16.8871	1643.151	0.8034	0.5031
0.152	 1	15.2	10.111	0.001	1255.713	1.354	17.7337	1700.181	0.8098	0.5028
0.162	 1	16.2	10.111	0.0008	1130.605	1.3426	17.8843	1517.904	0.8164	0.5032
0.172	 1	17.2	10.107	0.0005	1267.494	1.3241	17.3973	1678.342	0.8271	0.5034
0.182	 1	18.2	10.116	0.0005	1263.868	1.3057	17.5983	1650.18	0.8378	0.5036
0.192	 1	19.2	10.11	0.0005	1131.125	1.3577	16.9529	1535.721	0.8076	0.5017
0.202	 1	20.2	10.116	0.0004	1129.27	1.3669	16.8104	1543.546	0.8023	0.5027
0.212	 1	21.2	10.116	0.0004	1079.155	1.3657	16.8244	1473.819	0.8029	0.5019
0.222	 1	22.2	10.13	0.0002	1083.075	1.3534	16.9094	1465.875	0.8101	0.5001
0.232	 1	23.2	10.132	0.0003	1136.639	1.4005	16.3316	1591.889	0.7828	0.4991
0.242	 1	24.2	10.131	0.0004	1208.517	1.4103	15.5171	1704.431	0.7771	0.5
0.252	 1	25.2	10.132	0.0007	1261.297	1.4212	16.0941	1792.538	0.7708	0.5028
0.262	 1	26.2	10.134	0.0004	1257.476	1.4159	15.4432	1780.438	0.7739	0.505
0.272	 1	27.2	10.137	0.0006	1133.259	1.4238	16.0411	1613.588	0.7692	0.5055
0.282	 1	28.2	10.146	0.0007	1132.366	1.4214	16.0278	1609.527	0.7707	0.5033
0.292	 1	29.2	10.145	0.0006	1133.266	1.4186	16.0633	1607.705	0.7722	0.5
0.302	 1	30.2	10.146	0.0006	1129.467	1.4313	15.9171	1616.575	0.7649	0.5025
0.312	 1	31.2	10.144	0.0004	1128.114	1.4474	15.7484	1632.865	0.7556	0.515
0.322	 1	32.2	10.146	0.0005	1132.998	1.4432	15.7854	1635.16	0.758	0.5257
0.332	 1	33.2	10.141	0.0005	1123.283	1.4334	16.6077	1610.152	0.7637	0.5399
0.342	 1	34.2	10.137	0.0005	1189.091	1.4236	16.0439	1692.798	0.7694	0.5536
0.352	 1	35.2	10.141	0.0003	1125.277	1.4293	16.6556	1608.375	0.7661	0.5648
0.362	 1	36.2	10.147	0.0003	1082.809	1.4401	16.5022	1559.391	0.7598	0.5722
0.372	 1	37.2	10.146	0.0003	1132.872	1.4496	17.0824	1642.219	0.7543	0.5786
0.382	 1	38.2	10.146	0.0008	1134.519	1.516	15.6805	1719.97	0.7158	0.5884
0.392	 1	39.2	10.141	0.0007	1124.279	1.5186	15.6761	1707.358	0.7143	0.597
0.402	 1	40.2	10.147	0.0005	1085.009	1.4764	16.0964	1601.952	0.7387	0.6052
0.412	 1	41.2	10.15	0.0004	1131.55	1.4629	16.2312	1655.382	0.7466	0.6112
0.422	 1	42.2	10.159	0.0004	1133.564	1.4453	16.3873	1638.331	0.7568	0.6175
0.432	 1	43.2	10.159	0.0005	1128.903	1.4294	16.569	1613.7	0.766	0.6161
0.442	 1	44.2	10.164	0.0007	1128.456	1.4363	16.4669	1620.76	0.762	0.6197
0.452	 1	45.2	10.168	0.0007	1128.399	1.4681	16.0915	1656.605	0.7436	0.622
0.462	 1	46.2	10.166	0.0006	1125.429	1.4374	16.4441	1617.741	0.7613	0.6221
0.472	 1	47.2	10.17	0.0005	1125.249	1.4359	16.443	1615.749	0.7622	0.62
0.482	 1	48.2	10.17	0.0007	1125.373	1.4561	16.2152	1638.628	0.7505	0.6166
0.492	 1	49.2	10.178	0.0005	1124.02	1.4421	16.3352	1620.953	0.7586	0.6137
0.502	 1	50.2	10.161	0.0004	1126.497	1.4253	17.2998	1605.59	0.7684	0.6086
0.512	 1	51.2	10.166	0.0004	1127.176	1.4396	16.419	1622.73	0.7601	0.6044
0.522	 1	52.2	10.171	0.0005	1128.106	1.4429	16.3592	1627.688	0.7582	0.6016
0.532	 1	53.2	10.176	0.0004	1130.918	1.4382	16.3885	1626.517	0.7609	0.6001
0.542	 1	54.2	10.167	0.0008	1131.804	1.4419	16.388	1632.003	0.7587	0.6006
0.552	 1	55.2	10.17	0.0006	1198.303	1.4335	16.4709	1717.732	0.7636	0.6009
0.562	 1	56.2	10.165	0.0008	1201.679	1.4322	15.8207	1721.082	0.7644	0.6044
0.572	 1	57.2	10.164	0.0006	1128.957	1.436	16.4697	1621.205	0.7622	0.6089
0.582	 1	58.2	10.164	0.0008	1129.961	1.4285	15.8666	1614.145	0.7665	0.6126
0.592	 1	59.2	10.154	0.0008	1130.232	1.4421	15.7619	1629.882	0.7587	0.6148
0.602	 1	60.2	10.155	0.0012	1134.003	1.4622	16.2161	1658.154	0.747	0.6137
0.612	 1	61.2	10.151	0.0012	1211.626	1.4482	16.3922	1754.621	0.7551	0.6139
0.622	 1	62.2	10.153	0.0009	1258.116	1.4538	16.3193	1829.045	0.7519	0.6103
