<PWAVE-TN336_BB36-41_Sec3-0>
<PWAVE SAMPLE POINT>
Depth In Core=0.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_BB36-41_Sec3
Section Number=1
Section Length=142.60
Comments=Core TN336_BB36-41_Sec3 logged at 11:30:12 on 01-25-2016
TOT=0.00
TX Level (Volts)=255
P-Wave Amp Gain=1443.00
Delay=80.00
Gate=52.00
Date=1/25/2016
Time=11:32:45
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,-0.003
0.08,-0.003
0.16,-0.003
0.24,-0.003
0.32,-0.003
0.40,-0.003
0.48,-0.006
0.56,0.038
0.64,0.002
0.72,-0.023
0.80,-0.029
0.88,-0.006
0.96,-0.003
1.04,-0.016
1.12,-0.043
1.20,-0.116
1.28,-0.309
1.36,-0.346
1.44,-0.346
1.52,-0.346
1.60,-0.346
1.68,-0.346
1.76,-0.346
1.84,-0.346
1.92,-0.346
2.00,-0.346
2.08,-0.346
2.16,-0.346
2.24,-0.346
2.32,-0.346
2.40,-0.346
2.48,-0.346
2.56,-0.346
2.64,-0.346
2.72,-0.346
2.80,-0.280
2.88,-0.206
2.96,-0.176
3.04,-0.168
3.12,-0.167
3.20,-0.160
3.28,-0.134
3.36,-0.081
3.44,-0.005
3.52,0.113
3.60,0.236
3.68,0.337
3.76,0.343
3.84,0.344
3.92,0.344
4.00,0.344
4.08,0.344
4.16,0.344
4.24,0.344
4.32,0.344
4.40,0.344
4.48,0.344
4.56,0.344
4.64,0.344
4.72,0.344
4.80,0.344
4.88,0.344
4.96,0.344
5.04,0.344
5.12,0.344
5.20,0.344
5.28,0.344
5.36,0.344
5.44,0.344
5.52,0.344
5.60,0.344
5.68,0.344
5.76,0.344
5.84,0.344
5.92,0.344
6.00,0.344
6.08,0.344
6.16,0.344
6.24,0.344
6.32,0.344
6.40,0.344
6.48,0.344
6.56,0.344
6.64,0.344
6.72,0.342
6.80,0.329
6.88,0.309
6.96,0.288
7.04,0.270
7.12,0.253
7.20,0.236
7.28,0.220
7.36,0.206
7.44,0.192
7.52,0.179
7.60,0.166
7.68,0.155
7.76,0.144
7.84,0.134
7.92,0.125
8.00,0.116
8.08,0.107
8.16,0.098
8.24,0.089
8.32,0.080
8.40,0.072
8.48,0.063
8.56,0.055
8.64,0.047
8.72,0.040
8.80,0.034
8.88,0.027
8.96,0.021
9.04,0.016
9.12,0.010
9.20,0.005
9.28,0.000
9.36,-0.005
9.44,-0.009
9.52,-0.013
9.60,-0.017
9.68,-0.020
9.76,-0.024
9.84,-0.027
9.92,-0.029
10.00,-0.032
10.08,-0.035
10.16,-0.038
10.24,-0.040
10.32,-0.042
10.40,-0.044
10.48,-0.046
10.56,-0.048
10.64,-0.050
10.72,-0.052
10.80,-0.053
10.88,-0.054
10.96,-0.055
11.04,-0.056
11.12,-0.056
11.20,-0.057
11.28,-0.058
11.36,-0.058
11.44,-0.059
11.52,-0.060
11.60,-0.060
11.68,-0.061
11.76,-0.061
11.84,-0.062
11.92,-0.062
12.00,-0.062
12.08,-0.063
12.16,-0.063
12.24,-0.063
12.32,-0.063
12.40,-0.064
12.48,-0.063
12.56,-0.063
12.64,-0.064
12.72,-0.064
12.80,-0.064
12.88,-0.064
12.96,-0.064
13.04,-0.064
13.12,-0.065
13.20,-0.065
13.28,-0.065
13.36,-0.065
13.44,-0.065
13.52,-0.064
13.60,-0.064
13.68,-0.064
13.76,-0.064
13.84,-0.063
13.92,-0.063
14.00,-0.063
14.08,-0.063
14.16,-0.062
14.24,-0.062
14.32,-0.062
14.40,-0.062
14.48,-0.061
14.56,-0.061
14.64,-0.061
14.72,-0.061
14.80,-0.061
14.88,-0.061
14.96,-0.060
15.04,-0.060
15.12,-0.060
15.20,-0.059
15.28,-0.059
15.36,-0.059
15.44,-0.058
15.52,-0.058
15.60,-0.057
15.68,-0.057
15.76,-0.056
15.84,-0.056
15.92,-0.055
16.00,-0.054
16.08,-0.054
16.16,-0.053
16.24,-0.052
16.32,-0.052
16.40,-0.052
16.48,-0.051
16.56,-0.051
16.64,-0.050
16.72,-0.050
16.80,-0.049
16.88,-0.049
16.96,-0.049
17.04,-0.049
17.12,-0.048
17.20,-0.048
17.28,-0.048
17.36,-0.047
17.44,-0.047
17.52,-0.047
17.60,-0.046
17.68,-0.046
17.76,-0.046
17.84,-0.045
17.92,-0.045
18.00,-0.045
18.08,-0.045
18.16,-0.045
18.24,-0.044
18.32,-0.044
18.40,-0.044
18.48,-0.044
18.56,-0.043
18.64,-0.043
18.72,-0.043
18.80,-0.042
18.88,-0.042
18.96,-0.041
19.04,-0.041
19.12,-0.041
19.20,-0.040
19.28,-0.039
19.36,-0.039
19.44,-0.039
19.52,-0.039
19.60,-0.038
19.68,-0.038
19.76,-0.038
19.84,-0.038
19.92,-0.038
20.00,-0.038
20.08,-0.038
20.16,-0.038
20.24,-0.037
20.32,-0.037
20.40,-0.037
20.48,-0.037
20.56,-0.036
20.64,-0.036
20.72,-0.036
20.80,-0.035
20.88,-0.035
20.96,-0.035
21.04,-0.034
21.12,-0.034
21.20,-0.033
21.28,-0.033
21.36,-0.032
21.44,-0.032
21.52,-0.032
21.60,-0.032
21.68,-0.032
21.76,-0.032
21.84,-0.032
21.92,-0.032
22.00,-0.032
22.08,-0.032
22.16,-0.032
22.24,-0.032
22.32,-0.032
22.40,-0.032
22.48,-0.031
22.56,-0.031
22.64,-0.030
22.72,-0.029
22.80,-0.029
22.88,-0.029
22.96,-0.028
23.04,-0.028
23.12,-0.028
23.20,-0.027
23.28,-0.027
23.36,-0.027
23.44,-0.027
23.52,-0.027
23.60,-0.026
23.68,-0.026
23.76,-0.027
23.84,-0.026
23.92,-0.026
24.00,-0.026
24.08,-0.026
24.16,-0.025
24.24,-0.025
24.32,-0.025
24.40,-0.025
24.48,-0.024
24.56,-0.024
24.64,-0.024
24.72,-0.024
24.80,-0.024
24.88,-0.024
24.96,-0.023
25.04,-0.023
25.12,-0.023
25.20,-0.023
25.28,-0.023
25.36,-0.023
25.44,-0.023
25.52,-0.023
25.60,-0.023
25.68,-0.023
25.76,-0.023
25.84,-0.022
25.92,-0.022
26.00,-0.022
26.08,-0.021
26.16,-0.021
26.24,-0.021
26.32,-0.021
26.40,-0.021
26.48,-0.020
26.56,-0.020
26.64,-0.021
26.72,-0.021
26.80,-0.021
26.88,-0.021
