Geotek MSCL 7.9 - TN336_BB37-42.out created at 14:10:36 on 1/25/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.56
Den1	A=7.1605E-04	B=-.096198	C=9.8396
MS1	A=1	B=0	Den=0	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=409.6482	B=-1.051803	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m

-0.638	cal sect	0.0	10.647	0.0						76.8298
-0.578	cal sect	6.0	10.429	0.0181	1502.305	1.1531	-1.83		0.9263	14.0705
-0.518	cal sect	12.0	10.207	0.0418	1479.49	1.1489	-0.9735	1699.714	0.9287	12.609
-0.458	cal sect	18.0	10.224	0.0302	1477.457	1.1517	-0.9689	1701.634	0.9271	13.1334
-0.398	cal sect	24.0	10.489	0.001	1495.864	1.1171	-1.8001	1670.983	0.9472	9.2273
-0.338	cal sect	30.0	10.724	0.0014	1499.021	1.0893	-1.6893	1632.838	0.9633	3.6621
-0.278	cal sect	36.0	10.611	0.0101	1514.343	1.1324	-0.8707	1714.862	0.9383	0.4824
-0.218	cal sect	42.0	10.271	0.0079	1502.707	1.1379	-1.9122	1709.866	0.9351	0.3658
-0.158	cal sect	48.0	10.246	0.0384	1496.859	1.1357	-1.9257	1700.002	0.9364	0.3775
-0.098	cal sect	54.0	10.365	0.0077	1497.4	1.1717	-1.8627	1754.467	0.9155	0.3802
-0.038	cal sect	60.0	10.428	0.0059	1510.21	1.1784	0.9153	1779.624	0.9116	0.529
0.002	 1	0.2	10.919	0.0	112.2846	0.8727	11.2313	97.9908	1.0889	1.1274
0.012	 1	1.2	10.923	0.0	112.3257	1.3827	14.4252	155.3111	0.7931	0.9358
0.022	 1	2.2	10.911	0.0004	1523.032	1.3911	16.0783	2118.733	0.7882	0.7185
0.032	 1	3.2	10.885	0.001	1515.173	1.3921	18.6164	2109.2	0.7877	0.5777
0.042	 1	4.2	10.816	0.0002	1500.555	1.3863	20.6061	2080.274	0.791	0.4988
0.052	 1	5.2	10.288	0.0004	1492.962	1.4605	24.741	2180.451	0.748	0.4542
0.062	 1	6.2	10.23	0.0052	1494.085	1.4627	25.1476	2185.458	0.7467	0.4311
0.072	 1	7.2	10.223	0.0042	1496.779	1.4645	26.1664	2192.023	0.7457	0.4159
0.082	 1	8.2	10.221	0.0073	1486.691	1.4738	26.1812	2191.158	0.7402	0.4096
0.092	 1	9.2	10.219	0.0074	1496.193	1.4703	25.2258	2199.925	0.7423	0.4075
0.102	 1	10.2	10.201	0.014	1489.414	1.476	26.3296	2198.343	0.739	0.4062
0.112	 1	11.2	10.201	0.0088	1485.294	1.4677	26.3296	2179.895	0.7438	0.4054
