<PWAVE-TN336_BB8-08--640>
<PWAVE SAMPLE POINT>
Depth In Core=-64.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_BB8-08
Section Number=cal
Section Length=64.00
Comments=Core TN336_BB8-08 logged at 15:12:46 on 01-20-2016
TOT=101.76
TX Level (Volts)=159
P-Wave Amp Gain=75.00
Delay=80.00
Gate=52.00
Date=1/20/2016
Time=15:15:31
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,0.041
0.08,0.041
0.16,0.041
0.24,0.039
0.32,0.039
0.40,0.052
0.48,0.027
0.56,0.155
0.64,0.060
0.72,-0.068
0.80,-0.076
0.88,0.042
0.96,0.037
1.04,0.015
1.12,0.016
1.20,-0.008
1.28,-0.142
1.36,-0.278
1.44,-0.455
1.52,-0.672
1.60,-0.877
1.68,-1.080
1.76,-1.217
1.84,-1.308
1.92,-1.316
2.00,-1.243
2.08,-1.181
2.16,-1.094
2.24,-0.916
2.32,-0.749
2.40,-0.566
2.48,-0.405
2.56,-0.275
2.64,-0.161
2.72,-0.066
2.80,-0.042
2.88,-0.085
2.96,-0.170
3.04,-0.269
3.12,-0.359
3.20,-0.412
3.28,-0.432
3.36,-0.415
3.44,-0.362
3.52,-0.281
3.60,-0.186
3.68,-0.054
3.76,0.079
3.84,0.220
3.92,0.362
4.00,0.494
4.08,0.605
4.16,0.695
4.24,0.759
4.32,0.805
4.40,0.849
4.48,0.870
4.56,0.878
4.64,0.873
4.72,0.855
4.80,0.833
4.88,0.807
4.96,0.781
5.04,0.753
5.12,0.726
5.20,0.698
5.28,0.664
5.36,0.632
5.44,0.596
5.52,0.566
5.60,0.534
5.68,0.503
5.76,0.481
5.84,0.457
5.92,0.427
6.00,0.401
6.08,0.376
6.16,0.354
6.24,0.329
6.32,0.312
6.40,0.301
6.48,0.283
6.56,0.269
6.64,0.254
6.72,0.237
6.80,0.226
6.88,0.214
6.96,0.201
7.04,0.192
7.12,0.180
7.20,0.170
7.28,0.161
7.36,0.154
7.44,0.145
7.52,0.138
7.60,0.130
7.68,0.122
7.76,0.117
7.84,0.107
7.92,0.102
8.00,0.096
8.08,0.090
8.16,0.085
8.24,0.080
8.32,0.072
8.40,0.069
8.48,0.066
8.56,0.061
8.64,0.060
8.72,0.058
8.80,0.055
8.88,0.052
8.96,0.050
9.04,0.047
9.12,0.046
9.20,0.045
9.28,0.044
9.36,0.041
9.44,0.038
9.52,0.037
9.60,0.036
9.68,0.032
9.76,0.032
9.84,0.031
9.92,0.029
10.00,0.026
10.08,0.027
10.16,0.026
10.24,0.024
10.32,0.025
10.40,0.023
10.48,0.023
10.56,0.020
10.64,0.023
10.72,0.022
10.80,0.021
10.88,0.020
10.96,0.021
11.04,0.018
11.12,0.020
11.20,0.020
11.28,0.017
11.36,0.017
11.44,0.015
11.52,0.014
11.60,0.011
11.68,0.015
11.76,0.015
11.84,0.011
11.92,0.011
12.00,0.014
12.08,0.014
12.16,0.012
12.24,0.014
12.32,0.012
12.40,0.013
12.48,0.012
12.56,0.012
12.64,0.011
12.72,0.010
12.80,0.008
12.88,0.013
12.96,0.013
13.04,0.011
13.12,0.012
13.20,0.014
13.28,0.011
13.36,0.011
13.44,0.010
13.52,0.013
13.60,0.012
13.68,0.009
13.76,0.011
13.84,0.011
13.92,0.008
14.00,0.012
14.08,0.013
14.16,0.011
14.24,0.013
14.32,0.012
14.40,0.014
14.48,0.011
14.56,0.013
14.64,0.014
14.72,0.011
14.80,0.017
14.88,0.015
14.96,0.014
15.04,0.017
15.12,0.013
15.20,0.016
15.28,0.016
15.36,0.012
15.44,0.013
15.52,0.012
15.60,0.017
15.68,0.014
15.76,0.018
15.84,0.017
15.92,0.017
16.00,0.019
16.08,0.019
16.16,0.018
16.24,0.019
16.32,0.021
16.40,0.018
16.48,0.017
16.56,0.020
16.64,0.021
16.72,0.018
16.80,0.022
16.88,0.021
16.96,0.018
17.04,0.019
17.12,0.022
17.20,0.021
17.28,0.020
17.36,0.018
17.44,0.017
17.52,0.018
17.60,0.020
17.68,0.018
17.76,0.022
17.84,0.020
17.92,0.018
18.00,0.020
18.08,0.019
18.16,0.020
18.24,0.016
18.32,0.022
18.40,0.019
18.48,0.019
18.56,0.020
18.64,0.022
18.72,0.022
18.80,0.021
18.88,0.021
18.96,0.023
19.04,0.023
19.12,0.023
19.20,0.024
19.28,0.024
