Geotek MSCL 7.9 - TN336_JPC10_10MSmass.out created at 21:56:41 on 1/20/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.74
Den1	A=7.0444E-04	B=-.096532	C=9.8575
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=687.8304	B=-1.135412	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.639	before cal		10.506	0.0062						78.8154
-0.579	cal sect	6.0	10.448	0.0128	1488.319	1.1687			0.9173	10.7516
-0.519	cal sect	12.0	10.128	0.0262	1471.024	1.1729	-0.8488	1725.416	0.9148	10.0571
-0.459	cal sect	18.0	10.188	0.0376	1479.309	1.1591	-1.6889	1714.633	0.9228	9.7251
-0.399	cal sect	24.0	10.463	0.0005	1463.766	1.1453	-1.583	1676.392	0.9308	7.8894
-0.339	cal sect	30.0	10.577	0.0367	1497.31	1.1559	-0.7602	1730.687	0.9247	3.3589
-0.279	cal sect	36.0	10.597	0.0058	1509.329	1.1491	-1.5211	1734.417	0.9286	0.4576
-0.219	cal sect	42.0	10.253	0.0058	1500.293	1.1669	-1.6471	1750.656	0.9183	0.3414
-0.159	cal sect	48.0	10.192	0.0221	1493.552	1.1524	-1.6967	1721.239	0.9267	0.343
-0.099	cal sect	54.0	10.394	0.0034	1498.774	1.1581	-1.5955	1735.801	0.9233	0.3487
-0.039	cal sect	60.0	10.436	0.0058	1513.78	1.1571	0.7892	1751.643	0.9239	0.4944
0.001	 1	0.1	10.905	0.0	112.1614	1.0572	6.8547	118.5734	0.9819	1.2114
0.011	 1	1.1	10.923	0.0	112.3465	1.4383	6.6862	161.5893	0.7608	1.0554
0.021	 1	2.1	10.879	0.0001	1448.602	1.4634	7.2017	2119.868	0.7463	0.8616
0.031	 1	3.1	10.825	0.0003	1535.025	1.4891	7.7307	2285.862	0.7314	0.7258
0.041	 1	4.1	10.76	0.0	110.67	1.488	7.8707	164.681	0.732	0.6568
0.051	 1	5.1	10.289	0.0012	1541.192	1.6061	8.2925	2475.274	0.6635	0.6246
0.061	 1	6.1	10.192	0.0026	1514.863	1.6199	9.0527	2453.985	0.6555	0.6121
0.071	 1	7.1	10.205	0.0012	1421.903	1.7392	7.8411	2472.909	0.5863	0.6118
0.081	 1	8.1	10.202	0.0003	1440.96	1.7829	7.6551	2569.117	0.561	0.6236
0.091	 1	9.1	10.201	0.0004	1432.121	1.7791	7.6737	2547.915	0.5632	0.6411
0.101	 1	10.1	10.198	0.0006	1547.027	1.7242	7.3587	2667.393	0.595	0.6527
0.111	 1	11.1	10.194	0.001	1531.09	1.7019	6.8896	2605.726	0.608	0.6621
0.121	 1	12.1	10.193	0.001	1532.782	1.7431	6.1678	2671.82	0.584	0.658
0.131	 1	13.1	10.195	0.0013	1539.333	1.7329	6.2006	2667.532	0.59	0.6623
0.141	 1	14.1	10.192	0.0024	1533.785	1.7334	5.64	2658.701	0.5897	0.6619
0.151	 1	15.1	10.195	0.0026	1532.852	1.7457	5.5958	2675.832	0.5826	0.6552
0.161	 1	16.1	10.194	0.0018	1534.317	1.7401	5.6153	2669.825	0.5858	0.6522
0.171	 1	17.1	10.187	0.0006	1543.017	1.7691	4.9808	2729.683	0.569	0.6473
0.181	 1	18.1	10.194	0.0003	1457.327	1.7692	5.523	2578.229	0.5689	0.6401
0.191	 1	19.1	10.193	0.0008	1562.146	1.7576	5.0048	2745.624	0.5756	0.634
0.201	 1	20.1	10.187	0.0012	1557.884	1.7538	5.0242	2732.188	0.5779	0.6255
0.211	 1	21.1	10.187	0.0025	1547.471	1.7324	5.6514	2680.802	0.5903	0.6203
0.221	 1	22.1	10.188	0.0019	1546.683	1.7275	5.6659	2671.851	0.5931	0.6102
0.231	 1	23.1	10.185	0.002	1535.736	1.7362	5.078	2666.348	0.588	0.6028
0.241	 1	24.1	10.182	0.0032	1528.37	1.6729	5.2745	2556.845	0.6248	0.5965
0.251	 1	25.1	10.182	0.0042	1520.609	1.6847	5.2378	2561.702	0.6179	0.589
0.261	 1	26.1	10.183	0.0041	1516.456	1.6866	5.2302	2557.667	0.6168	0.5813
0.271	 1	27.1	10.187	0.0034	1517.277	1.6763	5.2565	2543.407	0.6228	0.5731
0.281	 1	28.1	10.192	0.0047	1520.513	1.7246	5.102	2622.266	0.5948	0.5665
0.291	 1	29.1	10.197	0.0058	1525.812	1.7357	5.6245	2648.421	0.5883	0.5564
0.301	 1	30.1	10.203	0.0057	1523.746	1.7475	5.5772	2662.735	0.5815	0.5557
0.311	 1	31.1	10.203	0.0057	1517.852	1.7193	5.6687	2609.624	0.5979	0.5936
0.321	 1	32.1	10.213	0.0084	1512.813	1.721	5.647	2603.622	0.5968	0.6045
0.331	 1	33.1	10.211	0.0083	1512.517	1.7139	5.6738	2592.28	0.601	0.6104
0.341	 1	34.1	10.218	0.0128	1511.986	1.7056	5.6901	2578.81	0.6058	0.616
0.351	 1	35.1	10.223	0.0134	1508.484	1.6912	5.7303	2551.204	0.6141	0.621
0.361	 1	36.1	10.228	0.0131	1509.222	1.7005	5.691	2566.462	0.6087	0.6208
0.371	 1	37.1	10.237	0.0115	1511.889	1.6993	5.6805	2569.201	0.6094	0.6241
0.381	 1	38.1	10.238	0.0116	1514.945	1.7358	6.1157	2629.603	0.5883	0.6294
0.391	 1	39.1	10.237	0.0125	1512.336	1.7217	5.6067	2603.809	0.5965	0.6276
0.401	 1	40.1	10.248	0.0104	1510.836	1.7472	6.0586	2639.73	0.5817	0.6335
0.411	 1	41.1	10.233	0.0081	1508.402	1.743	5.5444	2629.161	0.5841	0.66
0.421	 1	42.1	10.237	0.0074	1508.992	1.7208	6.1707	2596.63	0.597	0.6621
0.431	 1	43.1	10.238	0.0076	1507.14	1.7234	5.5995	2597.452	0.5955	0.6562
0.441	 1	44.1	10.231	0.0058	1508.33	1.7096	5.656	2578.644	0.6035	0.6581
0.451	 1	45.1	10.217	0.0046	1509.381	1.711	5.6737	2582.57	0.6027	0.6588
0.461	 1	46.1	10.207	0.0048	1504.791	1.6976	5.7348	2554.474	0.6105	0.6634
0.471	 1	47.1	10.197	0.0049	1504.204	1.7029	5.733	2561.531	0.6074	0.6624
0.481	 1	48.1	10.187	0.0042	1502.729	1.7321	5.0872	2602.817	0.5905	0.6612
0.491	 1	49.1	10.213	0.0022	1507.454	1.7092	5.6861	2576.54	0.6037	0.6569
0.501	 1	50.1	10.234	0.0021	1518.398	1.7197	5.0562	2611.2	0.5976	0.654
0.511	 1	51.1	10.25	0.0113	1530.765	1.7299	5.0037	2648.122	0.5917	0.647
0.521	 1	52.1	10.459	0.0077	1527.084	1.6615	5.462	2537.185	0.6314	0.6445
0.531	 1	53.1	10.49	0.0031	1528.709	1.6423	4.9311	2510.539	0.6425	0.6436
0.541	 1	54.1	10.523	0.0003	1531.955	1.6673	4.8134	2554.241	0.628	0.6524
0.551	 1	55.1	10.535	0.0033	1529.471	1.654	4.8364	2529.68	0.6358	0.6677
0.561	 1	56.1	10.547	0.0026	1538.809	1.6533	4.8226	2544.073	0.6362	0.7016
0.571	 1	57.1	10.544	0.004	1529.446	1.6634	4.2642	2544.052	0.6303	0.7661
0.581	 1	58.1	10.535	0.0027	1524.823	1.616	4.4	2464.115	0.6578	0.9173
0.591	 1	59.1	10.471	0.0069	1516.437	1.6476	4.3918	2498.502	0.6394	1.217
0.601	 1	60.1	10.803	0.0	111.1123	1.6039	3.6097	178.2137	0.6648	1.6502
0.611	 1	61.1	10.807	0.0	111.1534	1.1461	4.3255	127.3876	0.9304	1.926
0.621	 2	0.9	10.766	0.0	110.7317	0.3276	15.2977	36.2748	1.4051	1.9103
