Geotek MSCL 7.9 - TN336_JPC14-15.out created at 18:17:19 on 1/21/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.51
Den1	A=7.0444E-04	B=-.096532	C=9.8575
MS1	A=1	B=0	Den=0	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=833.1719	B=-1.166733	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m

-0.638	cal sect	0.0	10.658	0.0034						73.8479
-0.578	cal sect	6.0	10.379	0.0214	1497.475	1.1662	-0.9277		0.9187	15.9689
-0.518	cal sect	12.1	10.177	0.0224	1468.967	1.1491	-1.9636	1687.96	0.9286	14.9799
-0.458	cal sect	18.1	10.191	0.0143	1466.964	1.1679	-0.9779	1713.251	0.9177	13.8008
-0.398	cal sect	24.1	10.492	0.0009	1491.188	1.155	-1.7986	1722.263	0.9252	11.0698
-0.338	cal sect	30.1	10.59	0.0178	1492.6	1.1523	-0.8756	1719.858	0.9268	3.8468
-0.278	cal sect	36.1	10.49	0.0089	1507.834	1.1475	-1.7996	1730.311	0.9295	0.4975
-0.218	cal sect	42.1	10.246	0.0037	1502.567	1.1633	-1.9257	1747.886	0.9204	0.35
-0.158	cal sect	48.1	10.195	0.017	1487.67	1.1722	-0.9768	1743.878	0.9152	0.349
-0.098	cal sect	54.1	10.284	0.0085	1486.557	1.1735	-0.9526	1744.464	0.9144	0.3451
-0.038	cal sect	60.1	10.455	0.0071	1511.493	1.164	0.9085	1759.382	0.92	0.4707
0.002	 1	0.2	10.884	0.0	111.9189	0.6956	8.0962	77.854	1.1916	1.5843
0.012	 1	1.2	10.935	0.0	112.4433	1.4922	10.3856	167.7926	0.7296	1.2796
0.022	 1	2.2	10.935	0.0	112.4433	1.5235	11.9834	171.3073	0.7114	0.9535
0.032	 1	3.2	10.894	0.0	112.0217	1.5963	12.92	178.8169	0.6692	0.7756
0.042	 1	4.2	10.839	0.0009	1533.965	1.6626	14.7466	2550.434	0.6307	0.6908
0.052	 1	5.2	10.439	0.0006	1572.849	1.8042	17.3373	2837.742	0.5486	0.652
0.062	 1	6.2	10.325	0.0034	1547.976	1.836	18.8357	2842.096	0.5302	0.6421
0.072	 1	7.2	10.2	0.0033	1553.457	1.8297	21.4598	2842.395	0.5338	0.6516
0.082	 1	8.2	10.179	0.0076	1541.339	1.8468	22.5691	2846.497	0.5239	0.6643
0.092	 1	9.2	10.178	0.007	1547.043	1.8823	22.5755	2912.017	0.5033	0.6785
0.102	 1	10.2	10.172	0.0078	1552.266	1.8647	22.614	2894.502	0.5135	0.69
0.112	 1	11.2	10.172	0.01	1540.745	1.8165	22.614	2798.765	0.5415	0.7059
