Geotek MSCL 7.9 - TN336_JPC26-29_sec2.out created at 21:34:26 on 1/23/2016.


Processing Parameters

PWAmp	A=1	B=0
PWVel	PTO=26.15


SB DEPTH	SECT NUM	SECT DEPTH	PWAmp	PWVel
m		cm		m/s

-0.639	cal sect	0.0	0.006	1433.803
-0.579	cal sect	6.0	0.014	1438.056
-0.519	cal sect	12.0	0.0169	1465.592
-0.459	cal sect	18.0	0.0115	1463.064
-0.399	cal sect	24.0	0.0076	1432.794
-0.339	cal sect	30.0	0.0075	1421.192
-0.279	cal sect	36.0	0.0076	1447.874
-0.219	cal sect	42.0	0.0065	1482.668
-0.159	cal sect	48.0	0.041	1480.081
-0.099	cal sect	54.0	0.0092	1456.783
-0.039	cal sect	60.0	0.0033	1460.126
0.001	 1	0.1	0.0	104.641
0.011	 1	1.1	0.0	104.641
0.021	 1	2.1	0.0	104.641
0.031	 1	3.1	0.0001	1073.5
0.041	 1	4.1	0.0	104.641
0.051	 1	5.1	0.0003	1123.868
0.061	 1	6.1	0.0002	1241.615
0.071	 1	7.1	0.0003	1257.722
0.081	 1	8.1	0.0004	1256.945
0.091	 1	9.1	0.0003	1083.324
0.101	 1	10.1	0.001	1184.134
0.111	 1	11.1	0.0014	1366.443
0.121	 1	12.1	0.0031	1499.043
0.131	 1	13.1	0.0029	1490.265
0.141	 1	14.1	0.0021	1356.972
0.151	 1	15.1	0.0031	1495.08
0.161	 1	16.1	0.0029	1498.601
0.171	 1	17.1	0.0083	1499.705
0.181	 1	18.1	0.0067	1492.231
0.191	 1	19.1	0.0024	1386.354
0.201	 1	20.1	0.004	1370.49
0.211	 1	21.1	0.0045	1490.047
0.221	 1	22.1	0.0041	1486.782
0.231	 1	23.1	0.009	1487.869
0.241	 1	24.1	0.0149	1486.348
0.251	 1	25.1	0.0147	1484.398
0.261	 1	26.1	0.018	1485.264
0.271	 1	27.1	0.0102	1485.481
0.281	 1	28.1	0.0082	1489.393
0.291	 1	29.1	0.0089	1490.701
0.301	 1	30.1	0.0255	1487.217
0.311	 1	31.1	0.0148	1480.297
0.321	 1	32.1	0.0193	1482.668
0.331	 1	33.1	0.0173	1483.316
0.341	 1	34.1	0.0111	1486.782
0.351	 1	35.1	0.0151	1483.965
0.361	 1	36.1	0.0088	1485.047
0.371	 1	37.1	0.009	1481.374
0.381	 1	38.1	0.003	1454.701
0.391	 1	39.1	0.0018	1480.943
0.401	 1	40.1	0.0059	1477.933
0.411	 1	41.1	0.0053	1477.289
0.421	 1	42.1	0.0072	1480.512
0.431	 1	43.1	0.0071	1479.221
0.441	 1	44.1	0.0084	1473.654
0.451	 1	45.1	0.0089	1472.801
0.461	 1	46.1	0.0129	1473.227
0.471	 1	47.1	0.0133	1472.801
0.481	 1	48.1	0.01	1472.375
0.491	 1	49.1	0.008	1471.524
0.501	 1	50.1	0.0104	1475.148
0.511	 1	51.1	0.0116	1473.441
0.521	 1	52.1	0.0104	1470.673
0.531	 1	53.1	0.0092	1470.461
0.541	 1	54.1	0.009	1471.311
0.551	 1	55.1	0.0109	1469.824
0.561	 1	56.1	0.0092	1469.824
0.571	 1	57.1	0.0082	1469.612
0.581	 1	58.1	0.0067	1469.824
0.591	 1	59.1	0.006	1472.162
0.601	 1	60.1	0.0067	1472.162
0.611	 1	61.1	0.0074	1470.036
0.621	 1	62.1	0.0067	1471.524
0.631	 1	63.1	0.0052	1471.098
0.641	 1	64.1	0.0049	1472.588
0.651	 1	65.1	0.0061	1472.375
0.661	 1	66.1	0.0051	1473.441
0.671	 1	67.1	0.0062	1472.588
0.681	 1	68.1	0.0102	1473.014
0.691	 1	69.1	0.0126	1472.801
0.701	 1	70.1	0.0127	1473.654
0.711	 1	71.1	0.0152	1474.081
0.721	 1	72.1	0.0158	1474.081
0.731	 1	73.1	0.0193	1476.432
0.741	 1	74.1	0.017	1477.933
0.751	 1	75.1	0.0213	1479.651
0.761	 1	76.1	0.0232	1478.147
0.771	 1	77.1	0.016	1476.218
0.781	 1	78.1	0.0187	1478.577
0.791	 1	79.1	0.0263	1477.504
0.801	 1	80.1	0.0234	1475.79
0.811	 1	81.1	0.0234	1477.289
0.821	 1	82.1	0.0221	1477.933
0.831	 1	83.1	0.0183	1479.436
0.841	 1	84.1	0.0205	1481.158
0.851	 1	85.1	0.0293	1480.943
0.861	 1	86.1	0.0292	1481.374
0.871	 1	87.1	0.0203	1482.021
0.881	 1	88.1	0.0167	1482.236
0.891	 1	89.1	0.028	1480.943
0.901	 1	90.1	0.0251	1479.436
