<PWAVE-TN336_JPC32-36_sec5sec6-655>
<PWAVE SAMPLE POINT>
Depth In Core=65.50
Depth In Section=0.00
SBD=0.00
Core ID=TN336_JPC32-36_sec5sec6
Section Number=cal
Section Length=63.90
Comments=Core TN336_JPC32-36_sec5sec6 logged at 19:40:02 on 01-24-2016
TOT=96.69
TX Level (Volts)=190
P-Wave Amp Gain=75.00
Delay=80.00
Gate=52.00
Date=1/24/2016
Time=19:41:51
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,0.038
0.08,0.038
0.16,0.037
0.24,0.039
0.32,0.041
0.40,0.052
0.48,0.025
0.56,0.155
0.64,0.061
0.72,-0.061
0.80,-0.035
0.88,0.051
0.96,0.046
1.04,0.022
1.12,0.008
1.20,-0.031
1.28,-0.174
1.36,-0.352
1.44,-0.624
1.52,-0.959
1.60,-1.340
1.68,-1.673
1.76,-1.921
1.84,-2.106
1.92,-2.184
2.00,-2.122
2.08,-2.036
2.16,-1.888
2.24,-1.644
2.32,-1.382
2.40,-1.091
2.48,-0.804
2.56,-0.582
2.64,-0.367
2.72,-0.214
2.80,-0.085
2.88,0.047
2.96,0.077
3.04,0.082
3.12,0.076
3.20,0.058
3.28,0.058
3.36,0.080
3.44,0.130
3.52,0.201
3.60,0.295
3.68,0.416
3.76,0.542
3.84,0.656
3.92,0.760
4.00,0.854
4.08,0.936
4.16,1.000
4.24,1.044
4.32,1.071
4.40,1.092
4.48,1.097
4.56,1.088
4.64,1.071
4.72,1.045
4.80,1.017
4.88,0.986
4.96,0.950
5.04,0.909
5.12,0.868
5.20,0.825
5.28,0.778
5.36,0.743
5.44,0.707
5.52,0.675
5.60,0.639
5.68,0.602
5.76,0.570
5.84,0.537
5.92,0.509
6.00,0.480
6.08,0.455
6.16,0.427
6.24,0.404
6.32,0.376
6.40,0.352
6.48,0.327
6.56,0.314
6.64,0.299
6.72,0.280
6.80,0.264
6.88,0.249
6.96,0.232
7.04,0.218
7.12,0.203
7.20,0.190
7.28,0.178
7.36,0.167
7.44,0.160
7.52,0.149
7.60,0.143
7.68,0.132
7.76,0.127
7.84,0.116
7.92,0.111
8.00,0.101
8.08,0.097
8.16,0.090
8.24,0.084
8.32,0.078
8.40,0.073
8.48,0.069
8.56,0.061
8.64,0.059
8.72,0.058
8.80,0.054
8.88,0.050
8.96,0.049
9.04,0.049
9.12,0.044
9.20,0.041
9.28,0.039
9.36,0.035
9.44,0.033
9.52,0.032
9.60,0.030
9.68,0.026
9.76,0.024
9.84,0.024
9.92,0.023
10.00,0.022
10.08,0.018
10.16,0.018
10.24,0.020
10.32,0.017
10.40,0.013
10.48,0.013
10.56,0.012
10.64,0.013
10.72,0.012
10.80,0.007
10.88,0.008
10.96,0.007
11.04,0.003
11.12,0.004
11.20,0.006
11.28,0.005
11.36,0.008
11.44,0.005
11.52,0.004
11.60,0.002
11.68,0.003
11.76,0.003
11.84,0.001
11.92,0.003
12.00,0.004
12.08,0.006
12.16,0.003
12.24,0.004
12.32,0.002
12.40,0.006
12.48,0.005
12.56,0.001
12.64,0.001
12.72,0.002
12.80,-0.001
12.88,0.005
12.96,0.007
13.04,0.004
13.12,0.006
13.20,0.000
13.28,0.003
13.36,0.004
13.44,0.001
13.52,0.008
13.60,0.002
13.68,0.001
13.76,0.006
13.84,0.000
13.92,0.005
14.00,0.007
14.08,0.005
14.16,0.003
14.24,0.006
14.32,0.005
14.40,0.001
14.48,0.001
14.56,0.002
14.64,0.006
14.72,0.002
14.80,0.004
14.88,0.003
14.96,0.002
15.04,0.004
15.12,0.006
15.20,0.010
15.28,0.006
15.36,0.009
15.44,0.012
15.52,0.010
15.60,0.007
15.68,0.009
15.76,0.011
15.84,0.008
15.92,0.006
16.00,0.011
16.08,0.009
16.16,0.009
16.24,0.011
16.32,0.010
16.40,0.008
16.48,0.007
16.56,0.011
16.64,0.009
16.72,0.010
16.80,0.014
16.88,0.012
16.96,0.013
17.04,0.012
17.12,0.013
17.20,0.013
17.28,0.013
17.36,0.014
17.44,0.015
17.52,0.012
17.60,0.015
17.68,0.012
17.76,0.015
17.84,0.015
17.92,0.015
18.00,0.011
18.08,0.016
18.16,0.017
18.24,0.017
18.32,0.015
18.40,0.016
18.48,0.016
18.56,0.014
18.64,0.018
18.72,0.015
18.80,0.016
18.88,0.019
18.96,0.015
19.04,0.017
19.12,0.015
19.20,0.020
19.28,0.016
19.36,0.017
19.44,0.016
19.52,0.018
19.60,0.017
19.68,0.017
19.76,0.015
19.84,0.016
19.92,0.014
20.00,0.020
20.08,0.018
20.16,0.018
20.24,0.021
20.32,0.019
20.40,0.022
20.48,0.022
20.56,0.022
20.64,0.025
20.72,0.021
20.80,0.021
20.88,0.022
20.96,0.023
21.04,0.022
21.12,0.023
21.20,0.021
21.28,0.021
21.36,0.020
21.44,0.024
21.52,0.025
21.60,0.025
21.68,0.025
21.76,0.023
21.84,0.023
21.92,0.023
22.00,0.024
22.08,0.025
22.16,0.026
22.24,0.023
22.32,0.023
22.40,0.022
22.48,0.024
22.56,0.021
22.64,0.026
22.72,0.023
22.80,0.024
22.88,0.022
22.96,0.028
23.04,0.023
23.12,0.022
23.20,0.025
23.28,0.022
23.36,0.022
23.44,0.024
23.52,0.025
23.60,0.026
23.68,0.021
23.76,0.027
23.84,0.026
23.92,0.025
24.00,0.025
24.08,0.027
24.16,0.026
24.24,0.027
24.32,0.028
24.40,0.027
24.48,0.029
24.56,0.026
24.64,0.026
24.72,0.026
24.80,0.027
24.88,0.023
24.96,0.027
25.04,0.024
25.12,0.027
25.20,0.025
25.28,0.028
25.36,0.024
25.44,0.026
25.52,0.029
25.60,0.030
25.68,0.028
25.76,0.032
25.84,0.031
25.92,0.031
26.00,0.029
26.08,0.030
26.16,0.028
26.24,0.029
26.32,0.032
26.40,0.027
26.48,0.029
26.56,0.034
26.64,0.032
26.72,0.031
26.80,0.030
26.88,0.031
26.96,0.031
27.04,0.032
27.12,0.034
27.20,0.031
27.28,0.032
27.36,0.032
27.44,0.032
27.52,0.034
27.60,0.031
27.68,0.032
27.76,0.032
27.84,0.031
27.92,0.029
28.00,0.028
28.08,0.032
28.16,0.031
28.24,0.030
28.32,0.030
28.40,0.032
28.48,0.029
28.56,0.029
28.64,0.034
28.72,0.036
28.80,0.032
28.88,0.035
28.96,0.035
29.04,0.033
29.12,0.032
29.20,0.035
29.28,0.034
29.36,0.032
29.44,0.033
29.52,0.030
29.60,0.031
29.68,0.034
29.76,0.033
29.84,0.032
29.92,0.031
30.00,0.036
30.08,0.031
30.16,0.035
30.24,0.031
30.32,0.034
30.40,0.033
30.48,0.032
30.56,0.033
30.64,0.032
30.72,0.035
30.80,0.038
30.88,0.034
30.96,0.031
31.04,0.034
31.12,0.033
31.20,0.035
31.28,0.028
31.36,0.033
31.44,0.032
31.52,0.035
31.60,0.033
31.68,0.034
31.76,0.033
31.84,0.033
31.92,0.035
32.00,0.033
32.08,0.036
32.16,0.035
32.24,0.033
32.32,0.035
32.40,0.036
32.48,0.034
32.56,0.033
32.64,0.033
32.72,0.030
32.80,0.031
32.88,0.035
32.96,0.033
33.04,0.037
33.12,0.033
33.20,0.033
33.28,0.034
33.36,0.034
33.44,0.032
33.52,0.035
33.60,0.035
33.68,0.035
33.76,0.035
33.84,0.035
33.92,0.035
34.00,0.036
34.08,0.036
34.16,0.033
34.24,0.036
34.32,0.034
34.40,0.035
34.48,0.035
34.56,0.038
34.64,0.035
34.72,0.036
34.80,0.036
34.88,0.040
34.96,0.039
35.04,0.037
35.12,0.035
35.20,0.037
35.28,0.039
35.36,0.036
35.44,0.038
35.52,0.040
35.60,0.040
35.68,0.035
35.76,0.038
35.84,0.040
35.92,0.040
36.00,0.038
36.08,0.039
36.16,0.036
36.24,0.037
36.32,0.037
36.40,0.037
36.48,0.038
36.56,0.036
36.64,0.035
36.72,0.036
36.80,0.037
