<PWAVE-TN336_JPC32-37_sec6--638>
<PWAVE SAMPLE POINT>
Depth In Core=-63.80
Depth In Section=0.00
SBD=0.00
Core ID=TN336_JPC32-37_sec6
Section Number=cal
Section Length=63.80
Comments=Core TN336_JPC32-37_sec6 logged at 22:53:02 on 01-24-2016
TOT=106.14
TX Level (Volts)=255
P-Wave Amp Gain=1443.00
Delay=80.00
Gate=52.00
Date=1/24/2016
Time=22:55:58
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,-0.005
0.08,-0.005
0.16,-0.005
0.24,-0.005
0.32,-0.005
0.40,-0.004
0.48,-0.006
0.56,0.038
0.64,0.002
0.72,-0.022
0.80,-0.029
0.88,-0.005
0.96,-0.002
1.04,-0.016
1.12,-0.040
1.20,-0.106
1.28,-0.283
1.36,-0.346
1.44,-0.346
1.52,-0.346
1.60,-0.346
1.68,-0.346
1.76,-0.346
1.84,-0.346
1.92,-0.346
2.00,-0.346
2.08,-0.346
2.16,-0.346
2.24,-0.346
2.32,-0.346
2.40,-0.346
2.48,-0.346
2.56,-0.346
2.64,-0.346
2.72,-0.346
2.80,-0.337
2.88,-0.270
2.96,-0.221
3.04,-0.197
3.12,-0.183
3.20,-0.167
3.28,-0.138
3.36,-0.081
3.44,-0.006
3.52,0.108
3.60,0.219
3.68,0.316
3.76,0.339
3.84,0.344
3.92,0.344
4.00,0.344
4.08,0.344
4.16,0.344
4.24,0.344
4.32,0.344
4.40,0.344
4.48,0.344
4.56,0.344
4.64,0.344
4.72,0.344
4.80,0.344
4.88,0.344
4.96,0.344
5.04,0.344
5.12,0.344
5.20,0.344
5.28,0.344
5.36,0.344
5.44,0.344
5.52,0.344
5.60,0.344
5.68,0.344
5.76,0.344
5.84,0.344
5.92,0.344
6.00,0.344
6.08,0.344
6.16,0.344
6.24,0.344
6.32,0.344
6.40,0.344
6.48,0.344
6.56,0.344
6.64,0.344
6.72,0.343
6.80,0.335
6.88,0.318
6.96,0.297
7.04,0.278
7.12,0.260
7.20,0.243
7.28,0.227
7.36,0.211
7.44,0.197
7.52,0.184
7.60,0.171
7.68,0.159
7.76,0.148
7.84,0.137
7.92,0.128
8.00,0.119
8.08,0.110
8.16,0.101
8.24,0.092
8.32,0.084
8.40,0.075
8.48,0.067
8.56,0.058
8.64,0.051
8.72,0.044
8.80,0.037
8.88,0.031
8.96,0.024
9.04,0.018
9.12,0.013
9.20,0.007
9.28,0.002
9.36,-0.003
9.44,-0.008
9.52,-0.012
9.60,-0.016
9.68,-0.020
9.76,-0.024
9.84,-0.027
9.92,-0.030
10.00,-0.034
10.08,-0.037
10.16,-0.039
10.24,-0.042
10.32,-0.043
10.40,-0.045
10.48,-0.047
10.56,-0.049
10.64,-0.050
10.72,-0.052
10.80,-0.053
10.88,-0.054
10.96,-0.055
11.04,-0.056
11.12,-0.057
11.20,-0.058
11.28,-0.058
11.36,-0.059
11.44,-0.060
11.52,-0.061
11.60,-0.061
11.68,-0.062
11.76,-0.062
11.84,-0.063
11.92,-0.063
12.00,-0.063
12.08,-0.063
12.16,-0.064
12.24,-0.064
12.32,-0.064
12.40,-0.064
12.48,-0.064
12.56,-0.064
12.64,-0.064
12.72,-0.064
12.80,-0.064
12.88,-0.064
12.96,-0.064
13.04,-0.064
13.12,-0.064
13.20,-0.064
13.28,-0.064
13.36,-0.065
13.44,-0.065
13.52,-0.065
13.60,-0.065
13.68,-0.065
13.76,-0.065
13.84,-0.065
13.92,-0.065
14.00,-0.065
14.08,-0.065
14.16,-0.064
14.24,-0.064
14.32,-0.063
14.40,-0.063
14.48,-0.062
14.56,-0.062
14.64,-0.061
14.72,-0.061
14.80,-0.060
14.88,-0.060
14.96,-0.060
15.04,-0.060
15.12,-0.059
15.20,-0.059
15.28,-0.058
15.36,-0.058
15.44,-0.058
15.52,-0.057
15.60,-0.057
15.68,-0.057
15.76,-0.057
15.84,-0.056
15.92,-0.056
16.00,-0.055
16.08,-0.055
16.16,-0.055
16.24,-0.054
16.32,-0.054
16.40,-0.053
16.48,-0.053
16.56,-0.052
16.64,-0.052
16.72,-0.051
16.80,-0.050
16.88,-0.050
16.96,-0.049
17.04,-0.049
17.12,-0.049
17.20,-0.048
17.28,-0.048
17.36,-0.048
17.44,-0.048
17.52,-0.048
17.60,-0.048
17.68,-0.047
17.76,-0.047
17.84,-0.047
17.92,-0.047
18.00,-0.046
18.08,-0.046
18.16,-0.046
18.24,-0.045
18.32,-0.045
18.40,-0.044
18.48,-0.044
18.56,-0.044
18.64,-0.043
18.72,-0.043
18.80,-0.043
18.88,-0.043
18.96,-0.042
19.04,-0.042
19.12,-0.041
19.20,-0.041
19.28,-0.041
19.36,-0.040
19.44,-0.040
19.52,-0.039
19.60,-0.039
19.68,-0.038
19.76,-0.038
19.84,-0.038
19.92,-0.037
20.00,-0.037
20.08,-0.037
20.16,-0.037
20.24,-0.036
20.32,-0.036
20.40,-0.036
20.48,-0.035
20.56,-0.035
20.64,-0.034
20.72,-0.034
20.80,-0.034
20.88,-0.034
20.96,-0.033
21.04,-0.033
21.12,-0.032
21.20,-0.032
21.28,-0.032
21.36,-0.032
21.44,-0.032
21.52,-0.032
21.60,-0.032
21.68,-0.031
21.76,-0.031
21.84,-0.031
21.92,-0.031
22.00,-0.030
22.08,-0.030
22.16,-0.030
22.24,-0.030
22.32,-0.030
22.40,-0.029
22.48,-0.029
22.56,-0.030
22.64,-0.029
22.72,-0.029
22.80,-0.029
22.88,-0.029
22.96,-0.029
23.04,-0.029
23.12,-0.029
23.20,-0.029
23.28,-0.029
23.36,-0.029
23.44,-0.029
23.52,-0.029
23.60,-0.028
23.68,-0.028
23.76,-0.028
23.84,-0.028
23.92,-0.027
24.00,-0.027
24.08,-0.027
24.16,-0.026
24.24,-0.025
24.32,-0.025
24.40,-0.025
24.48,-0.025
24.56,-0.025
24.64,-0.024
24.72,-0.024
24.80,-0.024
24.88,-0.024
24.96,-0.023
25.04,-0.024
25.12,-0.023
25.20,-0.023
25.28,-0.023
25.36,-0.023
25.44,-0.022
25.52,-0.022
25.60,-0.022
25.68,-0.021
25.76,-0.021
25.84,-0.021
25.92,-0.020
26.00,-0.020
26.08,-0.020
26.16,-0.021
26.24,-0.020
26.32,-0.020
26.40,-0.020
26.48,-0.020
26.56,-0.020
26.64,-0.020
26.72,-0.019
26.80,-0.019
26.88,-0.019
26.96,-0.019
27.04,-0.019
27.12,-0.019
27.20,-0.019
27.28,-0.020
27.36,-0.020
27.44,-0.019
27.52,-0.020
27.60,-0.020
27.68,-0.019
27.76,-0.020
27.84,-0.020
27.92,-0.020
28.00,-0.020
28.08,-0.019
28.16,-0.019
28.24,-0.018
28.32,-0.018
28.40,-0.018
28.48,-0.018
28.56,-0.018
28.64,-0.017
28.72,-0.017
28.80,-0.017
28.88,-0.017
28.96,-0.016
29.04,-0.016
29.12,-0.016
29.20,-0.016
29.28,-0.016
29.36,-0.016
29.44,-0.016
29.52,-0.015
29.60,-0.015
29.68,-0.015
29.76,-0.015
29.84,-0.015
29.92,-0.015
30.00,-0.015
30.08,-0.015
30.16,-0.015
30.24,-0.015
30.32,-0.015
30.40,-0.015
30.48,-0.014
30.56,-0.014
30.64,-0.014
30.72,-0.013
30.80,-0.013
30.88,-0.013
30.96,-0.013
31.04,-0.013
31.12,-0.013
31.20,-0.013
31.28,-0.013
31.36,-0.013
31.44,-0.014
31.52,-0.014
31.60,-0.014
31.68,-0.014
31.76,-0.013
31.84,-0.013
31.92,-0.013
32.00,-0.013
32.08,-0.013
32.16,-0.013
32.24,-0.012
32.32,-0.013
32.40,-0.013
32.48,-0.012
32.56,-0.013
32.64,-0.013
32.72,-0.013
32.80,-0.013
32.88,-0.013
32.96,-0.013
33.04,-0.013
33.12,-0.013
33.20,-0.013
33.28,-0.013
33.36,-0.013
33.44,-0.013
33.52,-0.013
33.60,-0.012
33.68,-0.012
33.76,-0.012
33.84,-0.012
33.92,-0.011
34.00,-0.012
34.08,-0.011
34.16,-0.011
34.24,-0.011
34.32,-0.011
34.40,-0.011
34.48,-0.011
34.56,-0.010
34.64,-0.010
34.72,-0.010
34.80,-0.010
34.88,-0.010
34.96,-0.011
35.04,-0.011
35.12,-0.011
35.20,-0.011
35.28,-0.011
35.36,-0.011
35.44,-0.011
35.52,-0.011
35.60,-0.011
35.68,-0.011
35.76,-0.011
35.84,-0.011
35.92,-0.011
36.00,-0.011
36.08,-0.011
36.16,-0.011
36.24,-0.011
36.32,-0.011
36.40,-0.011
36.48,-0.011
36.56,-0.011
36.64,-0.011
36.72,-0.010
36.80,-0.010
36.88,-0.010
36.96,-0.009
37.04,-0.009
37.12,-0.009
37.20,-0.009
37.28,-0.008
37.36,-0.008
37.44,-0.008
37.52,-0.008
37.60,-0.007
37.68,-0.007
37.76,-0.008
37.84,-0.008
37.92,-0.007
38.00,-0.008
38.08,-0.008
38.16,-0.008
38.24,-0.008
38.32,-0.008
38.40,-0.008
38.48,-0.008
38.56,-0.008
38.64,-0.008
38.72,-0.008
38.80,-0.008
38.88,-0.008
38.96,-0.008
39.04,-0.008
39.12,-0.008
39.20,-0.008
39.28,-0.008
39.36,-0.008
39.44,-0.008
39.52,-0.008
39.60,-0.008
39.68,-0.008
39.76,-0.008
39.84,-0.008
39.92,-0.008
40.00,-0.008
40.08,-0.008
40.16,-0.008
40.24,-0.007
40.32,-0.007
40.40,-0.007
40.48,-0.007
40.56,-0.007
40.64,-0.007
40.72,-0.007
40.80,-0.007
40.88,-0.007
40.96,-0.007
41.04,-0.007
41.12,-0.007
41.20,-0.008
41.28,-0.008
41.36,-0.008
41.44,-0.008
41.52,-0.008
41.60,-0.008
41.68,-0.008
41.76,-0.007
41.84,-0.007
41.92,-0.007
42.00,-0.007
42.08,-0.007
42.16,-0.006
42.24,-0.006
42.32,-0.006
42.40,-0.006
42.48,-0.006
42.56,-0.006
42.64,-0.006
42.72,-0.006
42.80,-0.006
42.88,-0.006
42.96,-0.006
43.04,-0.006
43.12,-0.006
43.20,-0.005
43.28,-0.005
43.36,-0.005
43.44,-0.005
43.52,-0.005
43.60,-0.005
43.68,-0.005
43.76,-0.005
43.84,-0.005
43.92,-0.005
44.00,-0.005
44.08,-0.006
44.16,-0.006
