Geotek MSCL 7.9 - TN336_JPC4-04.out created at 1:41:56 on 1/20/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.74
Den1	A=8.3722E-04	B=-.10475	C=9.9854
MS1	A=1	B=0	Den=0	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=858.6318	B=-1.165855	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m

-0.639	cal sect	0.0	10.747	0.0						101.5633
-0.579	cal sect	6.0	10.44	0.0142	1503.456		-1.8245			18.6836
-0.519	cal sect	12.0	10.225	0.0152	1485.544		-2.9057			17.6822
-0.459	cal sect	18.0	10.247	0.0247	1486.581		-2.8878			16.5711
-0.399	cal sect	24.0	10.528	0.0011	1498.221		-2.6715			12.9746
-0.339	cal sect	30.0	10.613	0.0094	1497.319		-1.7404			4.0337
-0.279	cal sect	36.0	10.496	0.024	1520.498		-2.6949			0.4838
-0.219	cal sect	42.0	10.22	0.0064	1513.626		-2.9098			0.3534
-0.159	cal sect	48.0	10.2	0.0548	1506.647		-1.9509			0.3554
-0.099	cal sect	54.0	10.411	0.0084	1510.592		-0.9196			0.3606
-0.039	cal sect	60.0	10.431	0.0053	1519.889		1.829			0.524
0.001	 1	0.1	10.825	0.0	111.3385		10.6897			1.4674
0.011	 1	1.1	10.914	0.0	112.2539		12.8526			1.263
0.021	 1	2.1	10.923	0.0002	1549.362		13.6238			0.9778
0.031	 1	3.1	10.903	0.0015	1552.692		14.5008			0.8001
0.041	 1	4.1	10.844	0.0012	1528.185		14.7272			0.7118
0.051	 1	5.1	10.399	0.0002	1522.548		15.6845			0.6614
0.061	 1	6.1	10.288	0.0023	1530.042		15.2252			0.6334
0.071	 1	7.1	10.246	0.0058	1532.685		14.443			0.6203
0.081	 1	8.1	10.233	0.0065	1539.26		12.5632			0.6208
0.091	 1	9.1	10.22	0.0203	1527.425		12.6093			0.627
0.101	 1	10.1	10.225	0.0438	1515.039		10.6544			0.635
0.111	 1	11.1	10.215	0.0337	1507.972		10.6845			0.6387
0.121	 1	12.1	10.215	0.0202	1517.154		10.6845			0.6381
0.131	 1	13.1	10.225	0.0227	1526.575		10.6544			0.6414
0.141	 1	14.1	10.214	0.0214	1526.072		10.6875			0.6471
0.151	 1	15.1	10.199	0.0221	1532.993		10.7329			0.6538
0.161	 1	16.1	10.231	0.0174	1545.702		10.6364			0.6592
0.171	 1	17.1	10.224	0.0207	1548.856		10.6574			0.6679
0.181	 1	18.1	10.218	0.0316	1547.947		10.6755			0.6809
0.191	 1	19.1	10.224	0.0242	1542.081		10.6574			0.6941
0.201	 1	20.1	10.234	0.0212	1538.947		11.5935			0.7015
