Geotek MSCL 7.9 - TN336_JPC40-49_massMS.out created at 16:38:46 on 1/26/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=27.19
Den1	A=9.889801E-04	B=-.1104	C=10.002
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=567.302	B=-1.103549	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.639	before cal		10.747	0.0						74.4222
-0.579	cal sect	6.0	10.423	0.0049	1504.692	1.2476			0.8714	15.4012
-0.519	cal sect	12.0	10.151	0.0239	1488.198	1.2721	-0.7775	1893.153	0.8572	14.851
-0.459	cal sect	18.0	10.2	0.0166	1488.399	1.2546	-1.555	1867.377	0.8674	14.2306
-0.399	cal sect	24.0	10.51	0.001	1503.146	1.2312	-1.4537	1850.63	0.881	11.429
-0.339	cal sect	30.0	10.639	0.0114	1509.506	1.1973	-0.7217	1807.293	0.9007	4.2865
-0.279	cal sect	36.0	10.526	0.0027	1519.342	1.2566	-0.709	1909.265	0.8662	0.5211
-0.219	cal sect	42.0	10.259	0.0033	1517.828	1.2556	-0.7641	1905.789	0.8668	0.3706
-0.159	cal sect	48.0	10.183	0.0253	1502.804	1.2767	-0.7677	1918.573	0.8546	0.3681
-0.099	cal sect	54.0	10.267	0.0074	1506.309	1.2461	-0.7682	1876.969	0.8723	0.3677
-0.039	cal sect	60.0	10.433	0.0283	1520.624	1.255	4.3695	1908.453	0.8671	0.5193
0.001	 1	0.1	10.713	0.0	110.2376	0.7452	35.2403	82.1473	1.1629	1.5283
0.011	 1	1.1	10.629	0.0	109.3732	1.6188	19.804	177.0497	0.6562	1.2552
0.021	 1	2.1	10.534	0.0011	1524.457	1.675	22.2923	2553.479	0.6235	0.9516
0.031	 1	3.1	10.621	0.0001	1364.29	1.634	24.4441	2229.278	0.6473	0.766
0.041	 1	4.1	10.672	0.0	109.8157	1.6313	25.2011	179.1415	0.6489	0.666
0.051	 1	5.1	10.463	0.0	107.6651	1.6616	26.1868	178.8931	0.6313	0.6136
0.061	 1	6.1	10.461	0.0	107.6445	1.6697	26.0736	179.7338	0.6266	0.5867
0.071	 1	7.1	10.41	0.0001	1355.469	1.6622	26.5612	2253.124	0.6309	0.5725
0.081	 1	8.1	10.342	0.0	106.42	1.656	27.1691	176.2311	0.6346	0.5599
0.091	 1	9.1	10.276	0.0047	1519.444	1.6773	26.1856	2548.499	0.6222	0.546
0.101	 1	10.1	10.246	0.0056	1512.771	1.6784	26.3891	2539.052	0.6216	0.5362
0.111	 1	11.1	10.195	0.014	1505.241	1.6625	26.4408	2502.425	0.6308	0.5323
0.121	 1	12.1	10.183	0.0281	1497.72	1.667	25.8711	2496.675	0.6282	0.5332
0.131	 1	13.1	10.178	0.0352	1496.105	1.7048	24.7567	2550.628	0.6062	0.5332
0.141	 1	14.1	10.179	0.0441	1496.692	1.6848	25.0438	2521.661	0.6179	0.5305
0.151	 1	15.1	10.176	0.0246	1497.131	1.6773	24.5926	2511.078	0.6222	0.5257
0.161	 1	16.1	10.169	0.0326	1499.853	1.6619	24.869	2492.634	0.6311	0.5223
0.171	 1	17.1	10.161	0.038	1492.947	1.6855	23.9917	2516.355	0.6175	0.5189
0.181	 1	18.1	10.162	0.0364	1492.217	1.6853	22.8172	2514.877	0.6176	0.5159
0.191	 1	19.1	10.164	0.0319	1492.949	1.6707	23.0043	2494.224	0.6261	0.5107
0.201	 1	20.1	10.161	0.0222	1493.606	1.6675	22.4766	2490.543	0.6279	0.5076
0.211	 1	21.1	10.161	0.0203	1497.127	1.67	21.2611	2500.239	0.6264	0.5017
0.221	 1	22.1	10.16	0.0229	1498.304	1.6685	21.2867	2499.898	0.6273	0.4976
0.231	 1	23.1	10.155	0.0224	1496.243	1.6741	20.0647	2504.926	0.624	0.4928
0.241	 1	24.1	10.16	0.0175	1495.217	1.6834	19.9266	2516.978	0.6187	0.4885
0.251	 1	25.1	10.164	0.0206	1493.169	1.6767	19.3956	2503.537	0.6226	0.4831
0.261	 1	26.1	10.166	0.0205	1490.616	1.6729	18.8394	2493.656	0.6248	0.4784
0.271	 1	27.1	10.167	0.0113	1490.544	1.648	19.119	2456.372	0.6392	0.4759
0.281	 1	28.1	10.171	0.0101	1493.539	1.6664	17.7058	2488.829	0.6285	0.4765
0.291	 1	29.1	10.17	0.0108	1491.64	1.6539	18.4395	2467.014	0.6358	0.4773
0.301	 1	30.1	10.17	0.0193	1494.05	1.6581	17.7994	2477.281	0.6334	0.4777
0.311	 1	31.1	10.173	0.0223	1492.299	1.6624	17.1471	2480.789	0.6309	0.4813
0.321	 1	32.1	10.175	0.0237	1491.936	1.6556	17.801	2470.049	0.6348	0.4838
0.331	 1	33.1	10.175	0.0233	1491.28	1.6508	17.8523	2461.876	0.6376	0.4854
0.341	 1	34.1	10.18	0.036	1492.012	1.6545	17.7875	2468.545	0.6354	0.4891
0.351	 1	35.1	10.18	0.0295	1490.265	1.6134	18.2407	2404.399	0.6593	0.495
0.361	 1	36.1	10.18	0.0155	1494.202	1.6604	17.1335	2480.981	0.632	0.5017
0.371	 1	37.1	10.184	0.0116	1495.009	1.6685	17.0309	2494.458	0.6273	0.5066
0.381	 1	38.1	10.186	0.0229	1490.925	1.6363	16.7575	2439.657	0.646	0.5096
0.391	 1	39.1	10.185	0.0186	1487.513	1.6548	15.9831	2461.558	0.6353	0.511
0.401	 1	40.1	10.185	0.0159	1486.861	1.6404	16.124	2438.98	0.6436	0.5134
0.411	 1	41.1	10.18	0.015	1486.131	1.6551	16.0034	2459.647	0.6351	0.5117
0.421	 1	42.1	10.175	0.012	1486.704	1.6511	15.4693	2454.737	0.6374	0.5106
0.431	 1	43.1	10.175	0.012	1484.535	1.6436	14.9423	2440.019	0.6417	0.5094
0.441	 1	44.1	10.17	0.0124	1482.724	1.6359	15.6356	2425.571	0.6462	0.5085
0.451	 1	45.1	10.176	0.0098	1485.547	1.6219	15.1386	2409.336	0.6544	0.5091
0.461	 1	46.1	10.172	0.0079	1476.343	1.6228	15.1473	2395.748	0.6539	0.5082
0.471	 1	47.1	10.171	0.0075	1486.336	1.6385	15.0062	2435.326	0.6447	0.5088
0.481	 1	48.1	10.171	0.0141	1486.554	1.6374	15.0163	2434.047	0.6454	0.5093
0.491	 1	49.1	10.176	0.0112	1485.764	1.6316	15.0478	2424.231	0.6487	0.5078
0.501	 1	50.1	10.181	0.0125	1487.146	1.6295	15.0464	2423.264	0.65	0.5051
0.511	 1	51.1	10.191	0.0102	1486.652	1.6471	14.8429	2448.729	0.6397	0.5013
0.521	 1	52.1	10.2	0.0111	1487.965	1.6322	14.9409	2428.616	0.6484	0.499
0.531	 1	53.1	10.202	0.0132	1488.474	1.6321	15.5302	2429.377	0.6484	0.4972
0.541	 1	54.1	10.225	0.0122	1490.959	1.6227	15.5189	2419.429	0.6539	0.4942
0.551	 1	55.1	10.23	0.0081	1489.95	1.5949	15.1611	2376.325	0.67	0.4905
0.561	 1	56.1	10.236	0.0098	1489.956	1.6134	14.9617	2403.926	0.6593	0.4864
0.571	 1	57.1	10.24	0.0093	1487.507	1.6061	15.0131	2389.064	0.6635	0.4855
0.581	 1	58.1	10.24	0.0121	1490.105	1.5902	15.1632	2369.544	0.6727	0.4854
0.591	 1	59.1	10.235	0.012	1492.2	1.6114	14.9845	2404.57	0.6604	0.4866
0.601	 1	60.1	10.234	0.0138	1493.579	1.6167	14.9398	2414.672	0.6574	0.4867
0.611	 1	61.1	10.23	0.0124	1494.085	1.6217	14.9108	2422.909	0.6545	0.4845
0.621	 1	62.1	10.228	0.0121	1492.267	1.6209	14.9263	2418.815	0.6549	0.4801
