Geotek MSCL 7.9 - TN336_JPC42-51_MSmass.out created at 22:58:49 on 1/26/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=27.19
Den1	A=9.889801E-04	B=-.1104	C=10.002
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=567.302	B=-1.103549	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.638	cal sect	0.0	10.627	0.0						74.8153
-0.578	cal sect	6.0	10.437	0.0176	1516.565	1.1734			0.9145	14.1146
-0.518	cal sect	12.0	10.178	0.024	1486.273	1.1832	-1.6592	1758.489	0.9088	14.8209
-0.458	cal sect	18.0	10.194	0.0218	1485.573	1.1838	-1.6508	1758.652	0.9085	13.3161
-0.398	cal sect	24.0	10.468	0.0011	1502.512	1.1866	-0.7629	1782.933	0.9068	10.6638
-0.338	cal sect	30.0	10.531	0.0158	1501.426	1.1721	-1.5182	1759.83	0.9153	4.0524
-0.278	cal sect	36.0	10.511	0.0094	1514.771	1.1862	-1.5084	1796.836	0.9071	0.4756
-0.218	cal sect	42.0	10.252	0.0058	1509.423	1.2044	-1.5963	1817.873	0.8965	0.3559
-0.158	cal sect	48.0	10.231	0.0177	1502.791	1.1931	-1.6209	1792.945	0.9031	0.3608
-0.098	cal sect	54.0	10.422	0.004	1504.765	1.1776	-0.7785	1772.004	0.9121	0.3671
-0.038	cal sect	60.0	10.448	0.0037	1519.046	1.1857	1.5354	1801.08	0.9074	0.5227
0.002	 1	0.2	10.774	0.0	110.8653	1.0243	8.9505	113.5601	1.001	1.0701
0.012	 1	1.2	10.762	0.0	110.7418	1.371	8.5382	151.8253	0.7999	0.8498
0.022	 1	2.2	10.789	0.0	111.0196	1.3839	9.5981	153.6354	0.7924	0.6384
0.032	 1	3.2	10.764	0.0005	1551.903	1.3858	10.8548	2150.582	0.7913	0.5157
0.042	 1	4.2	10.709	0.0	110.1964	1.3754	11.7145	151.566	0.7973	0.4494
0.052	 1	5.2	10.266	0.0001	1329.276	1.4471	13.8945	1923.602	0.7557	0.4122
0.062	 1	6.2	10.197	0.0013	1542.196	1.4633	14.0108	2256.67	0.7464	0.3947
0.072	 1	7.2	10.127	0.0017	1532.073	1.4787	14.8166	2265.497	0.7374	0.3851
0.082	 1	8.2	10.13	0.0069	1518.741	1.476	14.8315	2241.603	0.739	0.3805
0.092	 1	9.2	10.128	0.0078	1520.492	1.4795	14.8045	2249.562	0.737	0.3777
0.102	 1	10.2	10.134	0.0142	1521.622	1.4898	14.6769	2266.935	0.731	0.3748
0.112	 1	11.2	10.135	0.0103	1514.721	1.4869	15.3701	2252.174	0.7327	0.373
0.122	 1	12.2	10.142	0.0051	1518.946	1.48	14.7405	2248.047	0.7367	0.3728
0.132	 1	13.2	10.149	0.0108	1519.084	1.4813	15.3663	2250.232	0.7359	0.3746
0.142	 1	14.2	10.154	0.0058	1512.588	1.469	15.4728	2222.022	0.743	0.3766
0.152	 1	15.2	10.16	0.0086	1511.905	1.4848	15.282	2244.926	0.7339	0.3812
0.162	 1	16.2	10.17	0.0103	1503.548	1.4725	15.3666	2213.917	0.741	0.3855
0.172	 1	17.2	10.175	0.0063	1502.51	1.4754	14.6481	2216.859	0.7393	0.3875
0.182	 1	18.2	10.182	0.0097	1497.353	1.5026	15.0071	2249.947	0.7235	0.3893
0.192	 1	19.2	10.179	0.0087	1496.472	1.4964	14.4265	2239.323	0.7271	0.3889
0.202	 1	20.2	10.19	0.0066	1504.281	1.4922	15.0778	2244.669	0.7296	0.3876
0.212	 1	21.2	10.19	0.0053	1504.059	1.501	14.9896	2257.532	0.7245	0.3868
0.222	 1	22.2	10.195	0.0087	1499.485	1.4689	15.2956	2202.521	0.7431	0.3852
0.232	 1	23.2	10.2	0.0067	1501.104	1.4813	15.1452	2223.647	0.7359	0.3853
0.242	 1	24.2	10.205	0.0052	1506.051	1.4978	14.9576	2255.767	0.7263	0.3845
0.252	 1	25.2	10.21	0.0063	1500.367	1.5102	15.4577	2265.892	0.7191	0.3828
0.262	 1	26.2	10.215	0.0049	1492.984	1.5049	15.4903	2246.825	0.7222	0.3843
0.272	 1	27.2	10.219	0.0062	1500.808	1.4917	15.6097	2238.793	0.7299	0.3868
0.282	 1	28.2	10.22	0.0072	1497.875	1.5001	15.5179	2246.998	0.725	0.3926
0.292	 1	29.2	10.224	0.003	1493.645	1.5096	16.0449	2254.808	0.7195	0.4004
0.302	 1	30.2	10.225	0.0018	1505.891	1.5013	16.1291	2260.792	0.7243	0.4082
0.312	 1	31.2	10.225	0.0012	1491.612	1.5206	15.9243	2268.146	0.7131	0.4173
0.322	 1	32.2	10.225	0.0017	1504.34	1.5228	17.1734	2290.804	0.7118	0.4175
0.332	 1	33.2	10.221	0.0056	1496.048	1.5325	17.0842	2292.666	0.7062	0.4189
0.342	 1	34.2	10.215	0.0054	1492.548	1.5359	16.4431	2292.337	0.7043	0.4243
0.352	 1	35.2	10.213	0.0067	1492.474	1.5023	17.4663	2242.211	0.7237	0.4343
0.362	 1	36.2	10.218	0.0051	1496.266	1.498	17.4918	2241.459	0.7262	0.4454
0.372	 1	37.2	10.215	0.0034	1497.801	1.5059	17.4155	2255.509	0.7216	0.4591
0.382	 1	38.2	10.215	0.0035	1493.858	1.5226	17.8624	2274.514	0.712	0.4697
0.392	 1	39.2	10.211	0.005	1498.972	1.5038	18.1055	2254.208	0.7228	0.4784
0.402	 1	40.2	10.211	0.0068	1497.214	1.5281	18.4547	2287.85	0.7088	0.4836
0.412	 1	41.2	10.206	0.0052	1500.22	1.5335	19.0504	2300.586	0.7056	0.4841
0.422	 1	42.2	10.205	0.0049	1502.724	1.5356	19.0294	2307.623	0.7044	0.4797
0.432	 1	43.2	10.201	0.0066	1495.967	1.5429	19.5927	2308.18	0.7002	0.4745
0.442	 1	44.2	10.2	0.0067	1490.357	1.5443	20.2121	2301.608	0.6993	0.4717
0.452	 1	45.2	10.2	0.0052	1489.051	1.5346	20.3397	2285.169	0.705	0.47
0.462	 1	46.2	10.195	0.0059	1486.802	1.5509	20.1557	2305.811	0.6956	0.4689
0.472	 1	47.2	10.195	0.0059	1487.236	1.5526	20.1328	2309.102	0.6945	0.4683
0.482	 1	48.2	10.195	0.0054	1490.061	1.5671	20.5704	2335.037	0.6862	0.4666
0.492	 1	49.2	10.211	0.0055	1491.092	1.553	20.6637	2315.592	0.6943	0.4673
0.502	 1	50.2	10.216	0.0043	1490.516	1.5487	20.0646	2308.316	0.6968	0.4688
0.512	 1	51.2	10.219	0.0048	1489.65	1.537	20.2	2289.574	0.7036	0.4743
0.522	 1	52.2	10.216	0.0046	1488.562	1.5384	20.8293	2290.051	0.7028	0.4799
0.532	 1	53.2	10.231	0.0042	1492.052	1.5158	21.0507	2261.68	0.7159	0.4859
0.542	 1	54.2	10.233	0.0028	1497.366	1.4502	21.991	2171.461	0.754	0.49
0.552	 1	55.2	10.243	0.001	1497.734	1.4673	22.9877	2197.555	0.7441	0.4903
0.562	 1	56.2	10.247	0.002	1497.443	1.5485	22.3787	2318.789	0.6969	0.4836
0.572	 1	57.2	10.247	0.0039	1491.123	1.5363	23.1836	2290.748	0.704	0.4842
0.582	 1	58.2	10.252	0.0028	1494.025	1.5573	24.072	2326.713	0.6918	0.4859
0.592	 1	59.2	10.252	0.0023	1497.736	1.5498	24.8101	2321.127	0.6962	0.4892
0.602	 1	60.2	10.246	0.003	1495.33	1.5512	25.4502	2319.51	0.6954	0.4932
0.612	 1	61.2	10.247	0.0017	1493.514	1.5599	26.535	2329.711	0.6903	0.497
0.622	 1	62.2	10.247	0.0029	1497.443	1.5579	27.8055	2332.792	0.6915	0.4991
