<PWAVE-TN336_JPC4-04_sec1_t2-0>
<PWAVE SAMPLE POINT>
Depth In Core=0.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_JPC4-04_sec1_t2
Section Number=1
Section Length=81.00
Comments=Core TN336_JPC4-04_sec1_t2 logged at 07:06:36 on 01-20-2016
TOT=104.59
TX Level (Volts)=255
P-Wave Amp Gain=1443.00
Delay=80.00
Gate=52.00
Date=1/20/2016
Time=7:12:01
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,-0.004
0.08,-0.004
0.16,-0.004
0.24,-0.004
0.32,-0.004
0.40,-0.004
0.48,-0.007
0.56,0.037
0.64,0.004
0.72,-0.024
0.80,-0.032
0.88,-0.005
0.96,-0.002
1.04,-0.016
1.12,-0.039
1.20,-0.107
1.28,-0.286
1.36,-0.346
1.44,-0.346
1.52,-0.346
1.60,-0.346
1.68,-0.346
1.76,-0.346
1.84,-0.346
1.92,-0.346
2.00,-0.346
2.08,-0.346
2.16,-0.346
2.24,-0.346
2.32,-0.346
2.40,-0.346
2.48,-0.346
2.56,-0.346
2.64,-0.343
2.72,-0.330
2.80,-0.246
2.88,-0.209
2.96,-0.210
3.04,-0.229
3.12,-0.250
3.20,-0.256
3.28,-0.239
3.36,-0.195
3.44,-0.132
3.52,-0.055
3.60,0.075
3.68,0.211
3.76,0.319
3.84,0.335
3.92,0.343
4.00,0.344
4.08,0.344
4.16,0.344
4.24,0.344
4.32,0.344
4.40,0.344
4.48,0.344
4.56,0.344
4.64,0.344
4.72,0.344
4.80,0.344
4.88,0.344
4.96,0.344
5.04,0.344
5.12,0.344
5.20,0.344
5.28,0.344
5.36,0.344
5.44,0.344
5.52,0.344
5.60,0.344
5.68,0.344
5.76,0.344
5.84,0.344
5.92,0.344
6.00,0.344
6.08,0.344
6.16,0.344
6.24,0.344
6.32,0.344
6.40,0.344
6.48,0.343
6.56,0.342
6.64,0.337
6.72,0.318
6.80,0.298
6.88,0.279
6.96,0.261
7.04,0.245
7.12,0.229
7.20,0.214
7.28,0.200
7.36,0.186
7.44,0.174
7.52,0.162
7.60,0.151
7.68,0.141
7.76,0.132
7.84,0.123
7.92,0.114
8.00,0.106
8.08,0.098
8.16,0.089
8.24,0.081
8.32,0.073
8.40,0.065
8.48,0.057
8.56,0.050
8.64,0.043
8.72,0.037
8.80,0.031
8.88,0.025
