Geotek MSCL 7.9 - TN336_JPC4-04_sec1_t2.out created at 12:46:46 on 1/20/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.74
Den1	A=8.3722E-04	B=-.10475	C=9.9854
MS1	A=1	B=0	Den=0	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=858.6318	B=-1.165855	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m

0.010	 1	1.0	10.93	0.0						1.6656
0.020	 1	2.0	10.905	0.0	112.1614	3.2356	6.4414		-0.2816	1.0721
0.030	 1	3.0	10.852	0.0	111.6162	3.0027	7.3481	335.1472	-0.1466	0.767
0.040	 1	4.0	10.802	0.0	111.102	3.0776	7.4457	341.9298	-0.19	0.6133
0.050	 1	5.0	10.359	0.0001	1018.584	3.2741	9.3291	3334.963	-0.304	0.5385
0.060	 1	6.0	10.248	0.0001	1417.82	3.4181	9.6232	4846.235	-0.3875	0.4979
0.070	 1	7.0	10.247	0.0012	1533.523	3.4602	9.6259	5306.349	-0.412	0.4732
0.080	 1	8.0	10.233	0.0017	1510.406	3.4981	10.6304	5283.546	-0.4339	0.46
0.090	 1	9.0	10.235	0.0015	1520.802	3.5166	10.6244	5347.98	-0.4446	0.4535
0.100	 1	10.0	10.237	0.0057	1516.593	3.475	9.6531	5270.203	-0.4206	0.451
0.110	 1	11.0	10.231	0.0034	1510.333	3.4529	10.6364	5215.071	-0.4077	0.4505
0.120	 1	12.0	10.231	0.0017	1517.953	3.3378	9.6694	5066.647	-0.341	0.449
0.130	 1	13.0	10.231	0.0006	1397.296	3.512	9.6694	4907.307	-0.442	0.4458
0.140	 1	14.0	10.225	0.0004	1423.698	3.4863	9.6858	4963.447	-0.4271	0.445
0.150	 1	15.0	10.226	0.0008	1522.406	3.4603	9.6831	5267.911	-0.412	0.4454
0.160	 1	16.0	10.237	0.0015	1519.068	3.5398	8.6878	5377.266	-0.4581	0.4453
0.170	 1	17.0	10.231	0.002	1507.885	3.4814	9.6694	5249.518	-0.4242	0.4474
0.180	 1	18.0	10.228	0.0013	1518.183	3.433	8.7099	5211.975	-0.3962	0.451
0.190	 1	19.0	10.231	0.0005	1517.277	3.398	8.7025	5155.698	-0.3759	0.4555
0.200	 1	20.0	10.231	0.0003	1372.368	3.439	8.7025	4719.508	-0.3996	0.457
0.210	 1	21.0	10.226	0.0003	1429.61	3.4448	8.7148	4924.737	-0.403	0.4569
0.220	 1	22.0	10.231	0.0004	1524.512	3.4713	7.7355	5292.103	-0.4184	0.4564
0.230	 1	23.0	10.229	0.001	1516.081	3.4494	7.7399	5229.559	-0.4057	0.4511
