Geotek MSCL 7.9 - TN336_TC10_10.raw created at 19:59:10 on 1/20/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC10_10.out created at 20:20:31 on 1/20/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.001,1,0.1,8.59,999,0,10752,11,19.98,275.7,,0.001,1,0.1,11.039,0,113.5384,0.565,8.554,15.1403,64.1472,1.2674,1.1656
0.011,1,1.1,8.81,999,0,5449,14,19.98,335.5,,0.011,1,1.1,11.061,0,113.7647,1.3141,10.8254,8.2377,149.5015,0.8329,0.9327
0.021,1,2.1,8.64,999,0,5244,17,19.98,439.5,,0.021,1,2.1,11.044,0,113.5898,1.362,13.2028,9.6935,154.712,0.8051,0.6864
0.031,1,3.1,7.95,98.69,0.0004,5184,18,19.97,546.3,,0.031,1,3.1,10.975,0.0004,1525.153,1.3845,14.2312,10.2787,2111.61,0.792,0.5363
0.041,1,4.1,7.22,98.51,0.0003,5220,19,19.98,623.8,,0.041,1,4.1,10.902,0.0003,1518.807,1.3854,15.3104,11.0516,2104.082,0.7916,0.4613
0.051,1,5.1,2.15,95.37,0.0006,5123,20,19.98,675.5,,0.051,1,5.1,10.395,0.0006,1514.423,1.477,18.4728,12.5074,2236.734,0.7384,0.4214
0.061,1,6.1,1.02,94.91,0.0035,5271,21,19.97,708,,0.061,1,6.1,10.282,0.0035,1508.067,1.4563,20.0167,13.7446,2196.254,0.7504,0.3995
0.071,1,7.1,0.68,94.66,0.0039,5278,20,19.97,722.6,,0.071,1,7.1,10.248,0.0039,1508.612,1.4595,19.2465,13.1875,2201.747,0.7486,0.3904
0.081,1,8.1,0.29,95.16,0.0087,5243,21,19.97,729.1,,0.081,1,8.1,10.209,0.0087,1491.889,1.4737,20.4323,13.8649,2198.555,0.7403,0.3864
0.091,1,9.1,0.3,95.29,0.0068,5339,21,19.97,735.2,,0.091,1,9.1,10.21,0.0068,1489.207,1.45,20.4265,14.0873,2159.335,0.7541,0.3828
0.101,1,10.1,0.34,95.28,0.0064,5250,21,19.96,739.6,,0.101,1,10.1,10.214,0.0064,1490.007,1.4712,20.4035,13.8684,2192.124,0.7418,0.3802
