Geotek MSCL 7.9 - TN336_TC14-15MSmass.out created at 16:22:06 on 1/21/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.51
Den1	A=7.0444E-04	B=-.096532	C=9.8575
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=833.1719	B=-1.166733	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.639	before cal		10.503	0.0						67.309
-0.579	cal sect	6.0	10.148	0.0182	1459.094	1.207			0.895	17.1723
-0.519	cal sect	12.0	9.963	0.0261	1440.573	1.2016	-1.7377	1730.99	0.8981	15.6664
-0.459	cal sect	18.0	9.984	0.0144	1440.901	1.2038	-1.724	1734.565	0.8969	14.535
-0.399	cal sect	24.0	10.25	0.0006	1452.664	1.1819	-0.8138	1716.839	0.9096	11.8098
-0.339	cal sect	30.0	10.351	0.0075	1453.792	1.1818	-1.5822	1718.162	0.9096	3.8815
-0.279	cal sect	36.0	10.36	0.0053	1471.382	1.1821	-1.5779	1739.365	0.9094	0.4597
-0.219	cal sect	42.0	9.982	0.007	1463.636	1.1916	-0.8713	1744.056	0.9039	0.3502
-0.159	cal sect	48.0	9.932	0.0536	1462.524	1.1776	-1.7892	1722.283	0.9121	0.3546
-0.099	cal sect	54.0	10.108	0.008	1467.693	1.1832	-0.8462	1736.636	0.9088	0.3615
-0.039	cal sect	60.0	10.205	0.0064	1472.795	1.2024	2.4304	1770.84	0.8977	0.5217
0.001	 1	0.1	10.574	0.0	108.7312	1.1935	10.316	129.7679	0.9029	1.0963
0.011	 1	1.1	10.601	0.0002	1512.916	1.4574	10.1834	2204.91	0.7498	0.9047
0.021	 1	2.1	10.652	0.002	1488.541	1.4681	11.1441	2185.323	0.7436	0.6928
0.031	 1	3.1	10.673	0.0008	1480.1	1.4806	12.1442	2191.471	0.7363	0.5526
0.041	 1	4.1	10.637	0.0	109.379	1.5019	12.0889	164.2722	0.724	0.473
0.051	 1	5.1	10.123	0.0017	1472.008	1.5589	14.0703	2294.747	0.6909	0.431
0.061	 1	6.1	10.042	0.0047	1469.633	1.5701	15.5977	2307.54	0.6844	0.409
0.071	 1	7.1	9.962	0.0024	1461.347	1.5912	15.7515	2325.323	0.6721	0.3982
0.081	 1	8.1	9.916	0.0017	1469.69	1.5896	15.9807	2336.15	0.6731	0.3947
0.091	 1	9.1	9.907	0.0054	1455.2	1.5793	16.1267	2298.208	0.6791	0.3942
0.101	 1	10.1	9.903	0.0065	1452.692	1.5641	16.3025	2272.161	0.6879	0.3934
0.111	 1	11.1	9.899	0.0063	1449.341	1.5817	16.8129	2292.375	0.6777	0.3935
0.121	 1	12.1	9.899	0.0067	1448.493	1.5738	16.2207	2279.697	0.6822	0.3967
0.131	 1	13.1	9.9	0.0063	1447.792	1.6031	16.5831	2320.98	0.6652	0.3966
0.141	 1	14.1	9.896	0.0057	1448.266	1.6082	15.8881	2329.096	0.6623	0.3976
0.151	 1	15.1	9.896	0.0052	1447.63	1.598	15.9897	2313.279	0.6682	0.3976
0.161	 1	16.1	9.901	0.0053	1446.457	1.5911	16.0349	2301.517	0.6722	0.3977
0.171	 1	17.1	9.906	0.0048	1447.822	1.5666	16.9403	2268.108	0.6864	0.3988
0.181	 1	18.1	9.901	0.0037	1449.846	1.589	16.0569	2303.743	0.6735	0.3992
0.191	 1	19.1	9.911	0.0058	1448.341	1.5983	15.9164	2314.893	0.668	0.3992
0.201	 1	20.1	9.911	0.0071	1446.65	1.5819	16.0813	2288.483	0.6775	0.397
0.211	 1	21.1	9.911	0.006	1446.65	1.6013	15.8863	2316.576	0.6663	0.3943
0.221	 1	22.1	9.916	0.0058	1447.802	1.5806	16.0714	2288.366	0.6783	0.3923
0.231	 1	23.1	9.922	0.0054	1444.461	1.6012	15.8365	2312.897	0.6663	0.3882
0.241	 1	24.1	9.921	0.0058	1447.054	1.5931	15.9216	2305.341	0.671	0.3888
0.251	 1	25.1	9.932	0.005	1447.813	1.6068	15.7355	2326.348	0.6631	0.3875
0.261	 1	26.1	9.932	0.0043	1448.025	1.5974	15.8281	2313.077	0.6686	0.3874
0.271	 1	27.1	9.931	0.0049	1445.14	1.6238	15.5758	2346.551	0.6533	0.3888
0.281	 1	28.1	9.936	0.0062	1451.358	1.6059	15.7262	2330.703	0.6636	0.3926
0.291	 1	29.1	9.953	0.0059	1452.993	1.6238	16.1204	2359.412	0.6532	0.3978
0.301	 1	30.1	9.953	0.0058	1453.417	1.6255	16.1036	2362.566	0.6522	0.4102
0.311	 1	31.1	9.958	0.0028	1450.335	1.6007	15.6767	2321.506	0.6667	0.4236
0.321	 1	32.1	9.948	0.0024	1450.569	1.6017	16.3666	2323.412	0.6661	0.4319
0.331	 1	33.1	9.953	0.0038	1447.499	1.6062	16.2975	2324.951	0.6635	0.44
0.341	 1	34.1	9.947	0.0061	1445.575	1.5561	16.8512	2249.494	0.6925	0.4445
0.351	 1	35.1	9.948	0.0056	1442.157	1.5701	16.6962	2264.345	0.6844	0.4483
0.361	 1	36.1	9.955	0.0062	1445.477	1.5995	16.3561	2312.031	0.6673	0.4499
0.371	 1	37.1	9.957	0.0072	1444.719	1.6147	15.5446	2332.848	0.6585	0.4521
0.381	 1	38.1	9.958	0.0067	1441.1	1.585	16.491	2284.18	0.6757	0.453
0.391	 1	39.1	9.958	0.0063	1442.561	1.6194	15.4958	2336.013	0.6558	0.4541
0.401	 1	40.1	9.959	0.0044	1441.662	1.6127	16.2029	2325.025	0.6597	0.4558
0.411	 1	41.1	9.957	0.006	1446.397	1.6274	16.0661	2353.895	0.6511	0.4568
0.421	 1	42.1	9.958	0.0061	1444.445	1.6295	15.3991	2353.758	0.6499	0.4602
0.431	 1	43.1	9.962	0.0057	1444.396	1.6159	16.1572	2333.99	0.6578	0.4639
0.441	 1	44.1	9.961	0.0067	1442.369	1.606	16.2614	2316.453	0.6636	0.4653
0.451	 1	45.1	9.962	0.0064	1441.262	1.61	15.5675	2320.46	0.6612	0.4689
0.461	 1	46.1	9.956	0.0054	1440.393	1.6393	15.3165	2361.186	0.6443	0.4728
0.471	 1	47.1	9.958	0.0062	1443.398	1.6487	15.854	2379.754	0.6388	0.4775
0.481	 1	48.1	9.972	0.0054	1442.291	1.6101	16.1686	2322.202	0.6612	0.4833
0.491	 1	49.1	9.982	0.0056	1441.028	1.6259	15.9649	2342.953	0.652	0.4857
0.501	 1	50.1	9.987	0.0065	1444.46	1.6419	15.7862	2371.68	0.6427	0.4873
0.511	 1	51.1	9.997	0.0082	1446.534	1.6385	15.7729	2370.218	0.6447	0.4887
0.521	 1	52.1	10.0	0.0079	1446.341	1.645	15.6978	2379.176	0.641	0.4924
0.531	 1	53.1	10.004	0.0048	1446.501	1.6383	15.7438	2369.749	0.6449	0.4992
0.541	 1	54.1	10.006	0.0059	1448.046	1.6521	14.3548	2392.293	0.6368	0.5051
0.551	 1	55.1	10.009	0.0059	1447.852	1.6595	14.2786	2402.654	0.6326	0.5079
0.561	 1	56.1	10.007	0.0047	1444.846	1.6531	14.342	2388.447	0.6363	0.5038
0.571	 1	57.1	10.014	0.0043	1444.396	1.6441	14.3911	2374.739	0.6415	0.5004
0.581	 1	58.1	10.007	0.004	1439.442	1.6196	14.6387	2331.276	0.6557	0.5009
0.591	 1	59.1	10.01	0.0025	1439.666	1.623	13.9602	2336.634	0.6537	0.5083
0.601	 1	60.1	10.014	0.0024	1440.449	1.617	13.9959	2329.248	0.6572	0.522
0.611	 1	61.1	10.016	0.0048	1447.608	1.6472	14.3554	2384.565	0.6396	0.5431
0.621	 1	62.1	10.014	0.0042	1446.901	1.6415	13.7872	2375.103	0.643	0.5488
