<PWAVE-TN336_TC15-16-0>
<PWAVE SAMPLE POINT>
Depth In Core=0.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_TC15-16
Section Number=cal
Section Length=63.80
Comments=Core TN336_TC15-16 logged at 19:27:58 on 01-21-2016
TOT=97.23
TX Level (Volts)=114
P-Wave Amp Gain=270.22
Delay=80.00
Gate=52.00
Date=1/21/2016
Time=19:31:31
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,0.011
0.08,0.011
0.16,0.011
0.24,0.011
0.32,0.011
0.40,0.015
0.48,0.008
0.56,0.042
0.64,0.016
0.72,-0.014
0.80,-0.016
0.88,0.010
0.96,0.011
1.04,0.004
1.12,-0.006
1.20,-0.032
1.28,-0.082
1.36,-0.157
1.44,-0.245
1.52,-0.341
1.60,-0.434
1.68,-0.497
1.76,-0.542
1.84,-0.561
1.92,-0.555
2.00,-0.519
2.08,-0.491
2.16,-0.444
2.24,-0.376
2.32,-0.301
2.40,-0.229
2.48,-0.172
2.56,-0.121
2.64,-0.086
2.72,-0.068
2.80,-0.070
2.88,-0.095
2.96,-0.134
3.04,-0.178
3.12,-0.212
3.20,-0.230
3.28,-0.232
3.36,-0.218
3.44,-0.191
3.52,-0.152
3.60,-0.108
3.68,-0.062
3.76,-0.005
3.84,0.058
3.92,0.130
4.00,0.194
4.08,0.247
4.16,0.291
4.24,0.325
4.32,0.354
4.40,0.373
4.48,0.387
4.56,0.394
4.64,0.397
4.72,0.395
4.80,0.390
4.88,0.383
4.96,0.373
5.04,0.360
5.12,0.346
5.20,0.331
5.28,0.315
5.36,0.301
5.44,0.285
5.52,0.272
5.60,0.258
5.68,0.243
5.76,0.229
5.84,0.217
5.92,0.206
6.00,0.194
6.08,0.185
6.16,0.175
6.24,0.165
6.32,0.155
6.40,0.146
6.48,0.137
6.56,0.130
6.64,0.122
6.72,0.114
6.80,0.106
6.88,0.100
6.96,0.094
7.04,0.088
7.12,0.082
7.20,0.078
7.28,0.074
7.36,0.069
7.44,0.064
7.52,0.060
7.60,0.056
7.68,0.053
7.76,0.049
7.84,0.046
7.92,0.043
8.00,0.040
8.08,0.038
8.16,0.035
8.24,0.033
8.32,0.031
8.40,0.029
8.48,0.027
8.56,0.026
8.64,0.024
8.72,0.022
8.80,0.020
8.88,0.019
8.96,0.018
9.04,0.016
9.12,0.016
9.20,0.015
9.28,0.014
9.36,0.013
9.44,0.012
9.52,0.012
9.60,0.011
9.68,0.011
9.76,0.010
9.84,0.009
9.92,0.008
10.00,0.007
10.08,0.005
10.16,0.005
10.24,0.005
10.32,0.004
10.40,0.003
10.48,0.003
10.56,0.002
10.64,0.001
10.72,0.001
10.80,0.000
10.88,-0.001
10.96,0.000
11.04,0.000
11.12,-0.001
11.20,-0.001
11.28,-0.002
11.36,-0.002
11.44,-0.002
11.52,-0.001
11.60,-0.001
11.68,-0.002
11.76,-0.001
11.84,-0.002
11.92,-0.002
12.00,-0.003
12.08,-0.002
12.16,-0.002
12.24,-0.001
12.32,-0.001
12.40,-0.002
12.48,-0.001
12.56,-0.001
12.64,-0.002
12.72,-0.002
12.80,-0.002
12.88,-0.002
12.96,-0.001
13.04,-0.002
13.12,-0.002
13.20,-0.001
13.28,-0.002
13.36,-0.002
13.44,-0.003
13.52,-0.002
13.60,-0.001
13.68,-0.001
13.76,-0.001
13.84,-0.001
13.92,0.000
14.00,-0.001
14.08,-0.001
14.16,0.000
14.24,0.000
14.32,0.002
14.40,0.001
14.48,0.000
14.56,0.000
14.64,0.001
14.72,0.001
14.80,0.000
14.88,0.001
14.96,0.000
15.04,0.000
15.12,0.000
15.20,0.000
15.28,-0.001
15.36,-0.001
15.44,-0.001
15.52,-0.001
15.60,-0.001
15.68,0.000
15.76,0.000
15.84,-0.001
15.92,0.000
16.00,0.000
16.08,0.000
16.16,0.001
16.24,0.000
16.32,0.000
16.40,-0.001
16.48,0.000
16.56,0.000
16.64,0.000
16.72,0.000
16.80,0.001
16.88,-0.001
16.96,0.000
17.04,-0.001
17.12,0.000
17.20,0.001
17.28,0.000
17.36,0.001
17.44,0.001
17.52,0.002
17.60,0.001
17.68,0.001
17.76,0.004
17.84,0.002
17.92,0.004
18.00,0.004
18.08,0.003
18.16,0.004
18.24,0.003
18.32,0.003
18.40,0.002
18.48,0.003
18.56,0.002
18.64,0.003
18.72,0.004
18.80,0.003
18.88,0.003
18.96,0.003
19.04,0.003
19.12,0.004
19.20,0.004
19.28,0.004
19.36,0.004
19.44,0.005
19.52,0.004
19.60,0.005
19.68,0.005
19.76,0.004
19.84,0.005
19.92,0.005
20.00,0.004
20.08,0.003
20.16,0.003
20.24,0.002
20.32,0.003
20.40,0.003
20.48,0.003
20.56,0.004
20.64,0.004
20.72,0.004
20.80,0.004
20.88,0.005
20.96,0.004
21.04,0.005
21.12,0.006
21.20,0.006
21.28,0.005
21.36,0.005
21.44,0.006
21.52,0.005
21.60,0.005
21.68,0.006
21.76,0.006
21.84,0.005
21.92,0.005
22.00,0.005
22.08,0.005
22.16,0.006
22.24,0.005
22.32,0.005
22.40,0.006
22.48,0.007
22.56,0.006
22.64,0.006
22.72,0.005
22.80,0.005
22.88,0.005
22.96,0.005
23.04,0.005
23.12,0.005
23.20,0.004
23.28,0.005
23.36,0.007
23.44,0.006
23.52,0.007
23.60,0.006
23.68,0.006
23.76,0.007
23.84,0.007
23.92,0.006
24.00,0.006
24.08,0.006
24.16,0.005
24.24,0.007
24.32,0.006
24.40,0.006
24.48,0.007
24.56,0.007
24.64,0.007
24.72,0.007
24.80,0.006
24.88,0.006
24.96,0.007
25.04,0.007
25.12,0.007
25.20,0.006
25.28,0.006
25.36,0.007
25.44,0.006
25.52,0.007
25.60,0.005
25.68,0.006
25.76,0.005
25.84,0.005
25.92,0.006
26.00,0.007
26.08,0.007
26.16,0.008
26.24,0.008
26.32,0.007
26.40,0.008
26.48,0.008
26.56,0.008
26.64,0.008
26.72,0.010
26.80,0.008
26.88,0.010
26.96,0.009
27.04,0.009
27.12,0.009
27.20,0.009
27.28,0.009
27.36,0.009
27.44,0.008
27.52,0.009
27.60,0.008
27.68,0.009
27.76,0.009
27.84,0.008
27.92,0.009
28.00,0.007
28.08,0.008
28.16,0.009
28.24,0.008
28.32,0.008
28.40,0.009
28.48,0.010
28.56,0.008
28.64,0.008
28.72,0.009
28.80,0.008
28.88,0.008
28.96,0.007
29.04,0.007
29.12,0.008
29.20,0.008
29.28,0.008
29.36,0.008
29.44,0.007
29.52,0.009
29.60,0.009
29.68,0.009
29.76,0.009
29.84,0.008
29.92,0.008
30.00,0.009
30.08,0.009
30.16,0.009
30.24,0.009
30.32,0.009
30.40,0.010
30.48,0.010
30.56,0.009
30.64,0.010
30.72,0.009
30.80,0.009
30.88,0.009
30.96,0.009
31.04,0.010
31.12,0.009
31.20,0.009
31.28,0.010
31.36,0.009
31.44,0.010
31.52,0.010
31.60,0.010
31.68,0.010
31.76,0.010
31.84,0.010
31.92,0.009
32.00,0.010
32.08,0.010
32.16,0.010
32.24,0.010
32.32,0.010
32.40,0.009
32.48,0.009
32.56,0.009
32.64,0.008
32.72,0.009
32.80,0.010
32.88,0.009
32.96,0.008
33.04,0.008
33.12,0.008
33.20,0.008
33.28,0.009
33.36,0.009
33.44,0.008
33.52,0.009
33.60,0.009
33.68,0.009
33.76,0.009
33.84,0.010
33.92,0.010
34.00,0.009
34.08,0.010
34.16,0.010
34.24,0.010
34.32,0.010
34.40,0.009
34.48,0.010
34.56,0.010
34.64,0.010
34.72,0.010
34.80,0.010
34.88,0.010
34.96,0.010
35.04,0.010
35.12,0.010
35.20,0.010
35.28,0.010
35.36,0.010
35.44,0.010
35.52,0.010
35.60,0.011
35.68,0.011
35.76,0.010
35.84,0.011
35.92,0.010
36.00,0.010
36.08,0.010
36.16,0.009
36.24,0.009
36.32,0.010
36.40,0.009
36.48,0.008
36.56,0.009
36.64,0.009
36.72,0.008
36.80,0.009
36.88,0.009
36.96,0.008
37.04,0.009
37.12,0.008
37.20,0.008
37.28,0.008
37.36,0.009
37.44,0.009
37.52,0.008
37.60,0.009
37.68,0.009
37.76,0.009
37.84,0.009
37.92,0.008
38.00,0.008
38.08,0.008
38.16,0.009
38.24,0.009
38.32,0.008
38.40,0.009
38.48,0.009
38.56,0.009
38.64,0.009
38.72,0.008
38.80,0.009
38.88,0.009
38.96,0.009
39.04,0.010
39.12,0.009
39.20,0.009
39.28,0.010
39.36,0.010
39.44,0.010
39.52,0.010
39.60,0.009
39.68,0.011
39.76,0.010
39.84,0.011
39.92,0.010
40.00,0.010
40.08,0.010
40.16,0.011
40.24,0.010
40.32,0.010
40.40,0.010
40.48,0.010
40.56,0.010
40.64,0.010
40.72,0.010
40.80,0.010
40.88,0.010
40.96,0.010
41.04,0.010
41.12,0.009
41.20,0.009
41.28,0.009
41.36,0.010
41.44,0.009
41.52,0.009
41.60,0.009
41.68,0.009
41.76,0.009
41.84,0.009
41.92,0.009
42.00,0.009
42.08,0.010
42.16,0.010
42.24,0.009
42.32,0.009
42.40,0.010
42.48,0.009
42.56,0.010
42.64,0.010
42.72,0.011
42.80,0.010
42.88,0.010
42.96,0.010
43.04,0.010
43.12,0.010
43.20,0.010
43.28,0.010
43.36,0.010
43.44,0.011
43.52,0.010
43.60,0.011
43.68,0.011
43.76,0.011
43.84,0.011
43.92,0.011
44.00,0.010
44.08,0.011
44.16,0.011
44.24,0.011
44.32,0.011
44.40,0.011
44.48,0.011
44.56,0.011
44.64,0.012
44.72,0.012
44.80,0.011
44.88,0.012
44.96,0.011
45.04,0.011
45.12,0.012
45.20,0.011
45.28,0.011
45.36,0.010
45.44,0.010
45.52,0.010
45.60,0.010
45.68,0.011
45.76,0.011
45.84,0.011
45.92,0.011
46.00,0.011
46.08,0.011
46.16,0.011
46.24,0.011
46.32,0.011
46.40,0.012
46.48,0.011
46.56,0.011
46.64,0.010
46.72,0.011
46.80,0.011
46.88,0.010
46.96,0.010
47.04,0.011
47.12,0.010
47.20,0.010
47.28,0.010
47.36,0.010
47.44,0.010
47.52,0.010
47.60,0.010
47.68,0.009
47.76,0.010
47.84,0.010
47.92,0.010
48.00,0.010
48.08,0.010
48.16,0.010
48.24,0.010
48.32,0.009
48.40,0.010
48.48,0.010
48.56,0.011
48.64,0.011
48.72,0.010
48.80,0.011
48.88,0.011
48.96,0.011
49.04,0.011
49.12,0.012
49.20,0.010
49.28,0.011
49.36,0.011
49.44,0.010
49.52,0.011
49.60,0.011
49.68,0.011
49.76,0.010
49.84,0.010
49.92,0.011
50.00,0.010
50.08,0.011
50.16,0.011
50.24,0.011
50.32,0.010
50.40,0.009
50.48,0.011
50.56,0.010
50.64,0.010
50.72,0.010
50.80,0.010
50.88,0.009
50.96,0.009
51.04,0.010
51.12,0.009
51.20,0.010
51.28,0.010
51.36,0.010
51.44,0.010
51.52,0.011
51.60,0.011
51.68,0.011
51.76,0.010
51.84,0.010
51.92,0.011
52.00,0.010
52.08,0.012
52.16,0.011
52.24,0.010
52.32,0.010
52.40,0.010
52.48,0.011
52.56,0.010
52.64,0.010
52.72,0.011
52.80,0.011
52.88,0.011
52.96,0.011
53.04,0.012
53.12,0.011
53.20,0.011
53.28,0.011
53.36,0.012
53.44,0.011
53.52,0.011
53.60,0.012
53.68,0.011
53.76,0.011
53.84,0.011
53.92,0.011
54.00,0.010
54.08,0.011
54.16,0.010
54.24,0.010
54.32,0.010
54.40,0.010
54.48,0.010
54.56,0.009
54.64,0.010
54.72,0.010
54.80,0.010
54.88,0.010
54.96,0.010
55.04,0.010
55.12,0.010
55.20,0.011
55.28,0.011
55.36,0.010
55.44,0.009
55.52,0.010
55.60,0.010
55.68,0.009
55.76,0.009
55.84,0.010
55.92,0.010
56.00,0.010
56.08,0.009
56.16,0.011
56.24,0.010
56.32,0.010
56.40,0.010
56.48,0.010
56.56,0.011
56.64,0.011
56.72,0.010
56.80,0.010
56.88,0.011
56.96,0.011
57.04,0.011
57.12,0.010
57.20,0.011
57.28,0.011
57.36,0.011
57.44,0.011
57.52,0.010
57.60,0.010
57.68,0.011
57.76,0.011
57.84,0.011
57.92,0.010
58.00,0.011
58.08,0.012
58.16,0.011
58.24,0.010
58.32,0.011
58.40,0.011
58.48,0.011
58.56,0.011
58.64,0.012
58.72,0.011
58.80,0.011
58.88,0.011
58.96,0.011
59.04,0.011
59.12,0.010
59.20,0.011
59.28,0.010
59.36,0.010
59.44,0.010
59.52,0.010
59.60,0.010
59.68,0.009
59.76,0.010
59.84,0.011
59.92,0.010
60.00,0.010
60.08,0.011
60.16,0.011
60.24,0.010
60.32,0.010
60.40,0.011
60.48,0.010
60.56,0.012
60.64,0.011
60.72,0.011
60.80,0.010
60.88,0.010
60.96,0.010
61.04,0.010
61.12,0.011
61.20,0.011
61.28,0.011
61.36,0.010
61.44,0.010
61.52,0.012
61.60,0.011
61.68,0.011
61.76,0.011
61.84,0.010
61.92,0.011
62.00,0.010
62.08,0.011
62.16,0.011
62.24,0.010
62.32,0.010
62.40,0.010
62.48,0.010
62.56,0.010
62.64,0.011
62.72,0.010
62.80,0.010
62.88,0.011
62.96,0.011
63.04,0.010
63.12,0.011
63.20,0.011
63.28,0.011
63.36,0.011
63.44,0.011
63.52,0.011
63.60,0.011
63.68,0.011
63.76,0.011
63.84,0.011
63.92,0.010
64.00,0.011
64.08,0.011
64.16,0.010
64.24,0.011
64.32,0.011
64.40,0.010
64.48,0.010
64.56,0.011
64.64,0.010
64.72,0.011
64.80,0.010
64.88,0.010
64.96,0.010
65.04,0.011
65.12,0.010
65.20,0.010
65.28,0.011
65.36,0.011
65.44,0.011
65.52,0.011
65.60,0.011
65.68,0.011
65.76,0.011
65.84,0.011
65.92,0.011
66.00,0.011
66.08,0.011
66.16,0.011
66.24,0.010
66.32,0.010
66.40,0.010
66.48,0.010
66.56,0.010
66.64,0.010
66.72,0.010
66.80,0.010
66.88,0.011
66.96,0.011
67.04,0.011
67.12,0.011
67.20,0.011
67.28,0.011
67.36,0.011
67.44,0.011
67.52,0.012
67.60,0.011
67.68,0.011
67.76,0.010
67.84,0.010
67.92,0.010
68.00,0.011
68.08,0.011
68.16,0.010
68.24,0.011
68.32,0.010
68.40,0.011
68.48,0.011
68.56,0.011
68.64,0.011
68.72,0.011
68.80,0.010
68.88,0.011
68.96,0.011
69.04,0.011
69.12,0.011
69.20,0.011
69.28,0.011
69.36,0.012
69.44,0.011
69.52,0.010
69.60,0.011
69.68,0.010
69.76,0.012
69.84,0.011
69.92,0.011
70.00,0.010
70.08,0.010
70.16,0.010
70.24,0.010
70.32,0.010
70.40,0.010
70.48,0.010
70.56,0.010
70.64,0.011
70.72,0.011
70.80,0.010
70.88,0.011
70.96,0.010
71.04,0.010
71.12,0.011
71.20,0.011
71.28,0.011
71.36,0.010
71.44,0.011
71.52,0.011
71.60,0.010
71.68,0.010
71.76,0.011
71.84,0.011
71.92,0.010
72.00,0.011
72.08,0.011
72.16,0.011
72.24,0.010
72.32,0.011
72.40,0.011
72.48,0.011
72.56,0.011
72.64,0.011
72.72,0.011
72.80,0.010
72.88,0.011
72.96,0.011
73.04,0.011
73.12,0.010
73.20,0.011
73.28,0.010
73.36,0.010
73.44,0.010
73.52,0.010
73.60,0.010
73.68,0.010
73.76,0.010
73.84,0.010
73.92,0.010
74.00,0.010
74.08,0.009
74.16,0.010
74.24,0.009
74.32,0.010
74.40,0.009
74.48,0.010
74.56,0.010
74.64,0.010
74.72,0.010
74.80,0.011
74.88,0.011
74.96,0.010
75.04,0.010
75.12,0.011
75.20,0.010
75.28,0.011
75.36,0.011
75.44,0.011
75.52,0.011
75.60,0.010
75.68,0.010
75.76,0.010
75.84,0.010
75.92,0.010
76.00,0.010
76.08,0.011
76.16,0.010
76.24,0.010
76.32,0.010
76.40,0.011
76.48,0.011
76.56,0.010
76.64,0.011
76.72,0.011
76.80,0.011
76.88,0.010
76.96,0.011
77.04,0.011
77.12,0.011
77.20,0.011
77.28,0.011
77.36,0.011
77.44,0.011
77.52,0.011
77.60,0.010
77.68,0.010
77.76,0.011
77.84,0.010
77.92,0.011
78.00,0.011
78.08,0.011
78.16,0.010
78.24,0.011
78.32,0.011
78.40,0.011
78.48,0.011
78.56,0.012
78.64,0.011
78.72,0.011
78.80,0.012
78.88,0.011
78.96,0.011
79.04,0.011
79.12,0.011
79.20,0.011
79.28,0.011
79.36,0.011
79.44,0.010
79.52,0.010
79.60,0.011
79.68,0.011
79.76,0.011
79.84,0.010
79.92,0.011
80.00,0.010
80.08,0.011
80.16,0.011
80.24,0.011
80.32,0.011
80.40,0.009
80.48,0.010
80.56,0.010
80.64,0.010
80.72,0.010
80.80,0.010
80.88,0.010
80.96,0.009
81.04,0.010
81.12,0.011
81.20,0.010
81.28,0.009
81.36,0.011
81.44,0.010
81.52,0.009
81.60,0.011
81.68,0.010
81.76,0.011
81.84,0.012
81.92,0.010
82.00,0.011
82.08,0.011
82.16,0.011
82.24,0.011
82.32,0.011
82.40,0.012
82.48,0.011
82.56,0.011
82.64,0.011
82.72,0.011
82.80,0.011
82.88,0.011
82.96,0.011
83.04,0.011
83.12,0.011
83.20,0.011
83.28,0.011
83.36,0.010
83.44,0.010
83.52,0.010
83.60,0.011
83.68,0.011
83.76,0.010
83.84,0.010
83.92,0.009
84.00,0.010
84.08,0.010
84.16,0.011
84.24,0.010
84.32,0.011
84.40,0.010
84.48,0.010
84.56,0.011
84.64,0.010
84.72,0.011
84.80,0.010
84.88,0.010
84.96,0.011
85.04,0.011
85.12,0.010
85.20,0.011
85.28,0.011
85.36,0.012
85.44,0.012
85.52,0.011
85.60,0.011
85.68,0.011
85.76,0.011
85.84,0.011
85.92,0.011
86.00,0.011
86.08,0.011
86.16,0.011
86.24,0.011
86.32,0.012
86.40,0.010
86.48,0.011
86.56,0.011
86.64,0.012
86.72,0.011
86.80,0.011
86.88,0.011
86.96,0.011
87.04,0.010
87.12,0.010
87.20,0.011
87.28,0.011
87.36,0.010
87.44,0.011
87.52,0.010
87.60,0.010
87.68,0.010
87.76,0.010
87.84,0.010
87.92,0.010
88.00,0.010
88.08,0.010
88.16,0.010
88.24,0.011
88.32,0.011
88.40,0.011
88.48,0.011
88.56,0.011
88.64,0.011
88.72,0.011
88.80,0.010
88.88,0.011
88.96,0.010
89.04,0.010
89.12,0.010
89.20,0.010
89.28,0.011
89.36,0.011
89.44,0.011
89.52,0.011
89.60,0.010
89.68,0.011
89.76,0.011
89.84,0.011
89.92,0.011
90.00,0.012
90.08,0.013
90.16,0.013
90.24,0.013
90.32,0.013
90.40,0.013
90.48,0.013
90.56,0.014
90.64,0.014
90.72,0.014
90.80,0.014
90.88,0.015
90.96,0.015
91.04,0.015
91.12,0.016
91.20,0.016
91.28,0.016
91.36,0.016
91.44,0.016
91.52,0.015
91.60,0.016
91.68,0.015
91.76,0.014
91.84,0.015
91.92,0.014
92.00,0.014
92.08,0.013
92.16,0.011
92.24,0.011
92.32,0.011
92.40,0.010
92.48,0.010
92.56,0.010
92.64,0.010
92.72,0.011
92.80,0.010
92.88,0.012
92.96,0.014
93.04,0.015
93.12,0.017
93.20,0.019
93.28,0.023
93.36,0.026
93.44,0.031
93.52,0.035
93.60,0.039
93.68,0.044
93.76,0.049
93.84,0.053
93.92,0.057
94.00,0.062
94.08,0.064
94.16,0.066
94.24,0.065
94.32,0.065
94.40,0.062
94.48,0.058
94.56,0.052
94.64,0.044
94.72,0.035
94.80,0.024
94.88,0.011
94.96,-0.007
95.04,-0.033
95.12,-0.056
95.20,-0.081
95.28,-0.107
95.36,-0.134
95.44,-0.165
95.52,-0.196
95.60,-0.226
95.68,-0.257
95.76,-0.289
95.84,-0.317
95.92,-0.343
96.00,-0.365
96.08,-0.384
96.16,-0.398
96.24,-0.407
96.32,-0.411
96.40,-0.408
96.48,-0.398
96.56,-0.383
96.64,-0.360
96.72,-0.329
96.80,-0.292
96.88,-0.247
96.96,-0.199
97.04,-0.148
97.12,-0.093
97.20,-0.036
97.28,0.046
97.36,0.151
97.44,0.255
97.52,0.360
97.60,0.444
97.68,0.512
97.76,0.577
97.84,0.648
97.92,0.718
98.00,0.783
98.08,0.846
98.16,0.902
98.24,0.947
98.32,0.981
98.40,1.007
98.48,1.018
98.56,1.016
98.64,1.001
98.72,0.974
98.80,0.935
98.88,0.878
98.96,0.813
99.04,0.737
99.12,0.656
99.20,0.566
99.28,0.443
99.36,0.286
99.44,0.163
99.52,0.059
99.60,-0.172
99.68,-0.394
99.76,-0.596
99.84,-0.792
99.92,-0.967
100.00,-1.130
100.08,-1.278
100.16,-1.406
100.24,-1.517
100.32,-1.615
100.40,-1.692
100.48,-1.746
100.56,-1.775
100.64,-1.781
100.72,-1.763
100.80,-1.719
100.88,-1.651
100.96,-1.560
101.04,-1.444
101.12,-1.321
101.20,-1.163
101.28,-0.996
101.36,-0.813
101.44,-0.624
101.52,-0.438
101.60,-0.252
101.68,-0.110
101.76,0.033
101.84,0.379
101.92,0.547
102.00,0.711
102.08,0.892
102.16,1.058
102.24,1.199
102.32,1.321
102.40,1.414
102.48,1.487
102.56,1.537
102.64,1.564
102.72,1.564
102.80,1.540
102.88,1.490
102.96,1.420
103.04,1.338
103.12,1.229
103.20,1.103
103.28,0.969
103.36,0.828
103.44,0.684
103.52,0.539
103.60,0.307
103.68,0.151
103.76,0.019
103.84,-0.315
103.92,-0.560
104.00,-0.783
104.08,-0.973
104.16,-1.128
104.24,-1.258
104.32,-1.359
104.40,-1.429
104.48,-1.475
104.56,-1.493
104.64,-1.484
104.72,-1.447
104.80,-1.386
104.88,-1.302
104.96,-1.186
105.04,-1.054
105.12,-0.900
105.20,-0.734
105.28,-0.557
105.36,-0.391
105.44,-0.224
105.52,-0.093
105.60,0.069
105.68,0.369
105.76,0.527
105.84,0.668
105.92,0.815
106.00,0.952
106.08,1.064
106.16,1.155
106.24,1.221
106.32,1.264
106.40,1.281
106.48,1.273
106.56,1.242
106.64,1.188
106.72,1.115
