Geotek MSCL 7.9 - TN336_TC15-17.out created at 6:24:30 on 1/22/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.51
Den1	A=7.0444E-04	B=-.096532	C=9.8575
MS1	A=1	B=0	Den=0	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=833.1719	B=-1.166733	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m

-0.638	before cal		10.435	0.0						90.5578
-0.578	cal sect	6.0	10.201	0.0206	1462.299	1.181	-1.9503		0.9101	18.506
-0.518	cal sect	12.0	9.987	0.0469	1441.542	1.1861	-2.0736	1709.857	0.9071	17.3979
-0.458	cal sect	18.0	10.006	0.0322	1438.884	1.1947	-2.0622	1719.091	0.9021	16.3807
-0.398	cal sect	24.0	10.236	0.0029	1453.358	1.1812	-1.9312	1716.752	0.91	12.5703
-0.338	cal sect	30.0	10.499	0.0044	1466.136	1.1817	-1.7952	1732.582	0.9097	3.9154
-0.278	cal sect	36.0	10.351	0.0016	1474.922	1.1877	-1.87	1751.708	0.9062	0.4973
-0.218	cal sect	42.0	10.008	0.0038	1464.871	1.1881	-2.061	1740.444	0.906	0.3496
-0.158	cal sect	48.0	9.924	0.013	1455.772	1.2271	-2.1119	1786.32	0.8834	0.3486
-0.098	cal sect	54.0	9.988	0.0089	1460.021	1.1913	-1.0365	1739.25	0.9041	0.3488
-0.038	cal sect	60.0	10.171	0.0115	1467.677	1.1901	0.9835	1746.675	0.9048	0.4795
0.002	 1	0.2	10.623	0.0	109.2351	0.8284	8.6784	90.4935	1.1146	1.216
0.012	 1	1.2	10.707	0.0	110.0988	1.4089	11.0301	155.1203	0.7779	0.9284
0.022	 1	2.2	10.784	0.0	110.8906	1.4126	13.3001	156.6467	0.7757	0.6772
0.032	 1	3.2	10.775	0.0002	1505.309	1.4351	14.9983	2160.235	0.7627	0.5335
0.042	 1	4.2	10.718	0.0	110.2119	1.4422	17.7656	158.9496	0.7586	0.4571
0.052	 1	5.2	10.23	0.0038	1483.469	1.4959	20.3115	2219.191	0.7274	0.4173
0.062	 1	6.2	10.134	0.0013	1464.451	1.4989	20.8719	2195.088	0.7257	0.3978
0.072	 1	7.2	9.963	0.0034	1461.708	1.5139	22.9687	2212.846	0.717	0.3884
0.082	 1	8.2	9.951	0.0106	1453.762	1.5218	23.0489	2212.405	0.7124	0.3861
0.092	 1	9.2	9.944	0.0154	1447.242	1.5066	23.096	2180.411	0.7212	0.386
0.102	 1	10.2	9.941	0.0132	1446.805	1.5157	23.1161	2192.916	0.716	0.3866
0.112	 1	11.2	9.939	0.0155	1446.514	1.5175	23.1296	2195.133	0.7149	0.3864
