Geotek MSCL 7.9 - TN336_TC32-37.raw created at 0:16:59 on 1/25/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC32-37.out created at 0:19:46 on 1/25/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.002,1,0.2,6.67,999,0,8507,14,18.6,281.8,,0.002,1,0.2,10.847,0,111.5293,0.8105,11.4454,14.1219,90.3914,1.125,1.1769
0.012,1,1.2,7.06,999,0,5290,18,18.6,342.6,,0.012,1,1.2,10.886,0,111.9302,1.3578,14.5655,10.7276,151.974,0.8076,0.9532
0.022,1,2.2,6.86,97.99,0.0009,5256,20,18.6,443.4,,0.022,1,2.2,10.866,0.0009,1518.446,1.3682,16.2691,11.8911,2077.493,0.8015,0.722
0.032,1,3.2,6.6,98.44,0.0007,5164,22,18.61,549.5,,0.032,1,3.2,10.84,0.0007,1505.346,1.3932,18.0189,12.933,2097.322,0.787,0.573
0.042,1,4.2,6.04,999,0,5253,23,18.6,630.7,,0.042,1,4.2,10.784,0,110.8815,1.3793,19.1188,13.8615,152.9367,0.7951,0.4939
0.052,1,5.2,1.26,94.79,0.0015,5230,24,18.6,684.8,,0.052,1,5.2,10.306,0.0015,1507.607,1.4489,22.7231,15.6826,2184.433,0.7547,0.452
0.062,1,6.2,0.74,95.24,0.0048,5207,24,18.6,714,,0.062,1,6.2,10.254,0.0048,1490.19,1.462,23.0568,15.7703,2178.714,0.7471,0.4321
0.072,1,7.2,0.24,94.99,0.005,5154,25,18.61,727.8,,0.072,1,7.2,10.204,0.005,1488.331,1.4826,24.3586,16.4292,2206.653,0.7351,0.4233
0.082,1,8.2,0.17,94.85,0.0062,5167,25,18.61,734.8,,0.082,1,8.2,10.197,0.0062,1490.354,1.4803,24.4069,16.4873,2206.23,0.7365,0.419
0.092,1,9.2,0.08,95.22,0.0107,5148,25,18.61,735.1,,0.092,1,9.2,10.188,0.0107,1481.029,1.4865,24.4691,16.4609,2201.547,0.7329,0.4188
0.102,1,10.2,0.01,95.24,0.011,5149,25,18.61,733.1,,0.102,1,10.2,10.181,0.011,1479.581,1.4873,24.5177,16.4851,2200.529,0.7324,0.42
