Geotek MSCL 7.9 - TN336_TC38-47_massMS.out created at 4:57:14 on 1/26/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.56
Den1	A=7.1605E-04	B=-.096198	C=9.8396
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=409.6482	B=-1.051803	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.638	cal sect	0.0	10.661	0.0013						77.1603
-0.578	cal sect	6.0	10.398	0.0182	1495.9	1.1462			0.9303	15.3725
-0.518	cal sect	12.0	10.166	0.039	1471.84	1.1624	-1.6946	1710.864	0.9209	13.7823
-0.458	cal sect	18.0	10.194	0.0455	1472.483	1.1544	-1.6929	1699.806	0.9255	14.1671
-0.398	cal sect	24.0	10.447	0.0014	1483.317	1.1275	-1.615	1672.453	0.9411	10.2073
-0.338	cal sect	30.0	10.743	0.0001	1465.821	1.1053	-1.5206	1620.136	0.954	3.6981
-0.278	cal sect	36.0	10.525	0.0199	1504.646	1.1338	-1.5721	1705.969	0.9375	0.474
-0.218	cal sect	42.0	10.241	0.0035	1490.467	1.1729	-1.6441	1748.243	0.9148	0.3642
-0.158	cal sect	48.0	10.192	0.0181	1484.632	1.1916	-1.641	1769.034	0.904	0.369
-0.098	cal sect	54.0	10.305	0.0101	1491.965	1.1774	-0.8044	1756.578	0.9122	0.3781
-0.038	cal sect	60.0	10.323	0.014	1500.654	1.1844	6.3646	1777.432	0.9081	0.5352
0.002	 1	0.2	10.792	0.0	110.9786	0.9501	34.922	105.4418	1.044	1.1338
0.012	 1	1.2	10.781	0.0	110.8655	1.4681	27.7659	162.7642	0.7435	0.9722
0.022	 1	2.2	10.774	0.0012	1529.529	1.4675	32.3722	2244.633	0.7439	0.7797
0.032	 1	3.2	10.713	0.0018	1513.563	1.4811	35.4613	2241.706	0.736	0.6421
0.042	 1	4.2	10.631	0.0	109.3229	1.4972	39.3297	163.6819	0.7267	0.5592
0.052	 1	5.2	10.226	0.0009	1518.112	1.5703	44.3976	2383.91	0.6843	0.5199
0.062	 1	6.2	10.211	0.0015	1498.752	1.588	46.5385	2380.038	0.674	0.4992
0.072	 1	7.2	10.193	0.0007	1510.298	1.5883	49.2297	2398.773	0.6739	0.4931
0.082	 1	8.2	10.135	0.0039	1496.162	1.6255	51.9576	2432.019	0.6523	0.4914
0.092	 1	9.2	10.132	0.0047	1491.975	1.6362	54.7004	2441.201	0.646	0.4918
0.102	 1	10.2	10.131	0.0062	1498.004	1.6227	58.8515	2430.751	0.6539	0.4947
0.112	 1	11.2	10.132	0.01	1502.372	1.6451	61.6602	2471.511	0.6409	0.4973
0.122	 1	12.2	10.131	0.0148	1502.224	1.6458	65.2759	2472.402	0.6405	0.5006
0.132	 1	13.2	10.131	0.0141	1500.0	1.659	67.7577	2488.427	0.6329	0.5051
0.142	 1	14.2	10.131	0.0084	1504.902	1.7332	67.1516	2608.264	0.5898	0.5088
0.152	 1	15.2	10.131	0.0112	1510.737	1.7549	69.1532	2651.247	0.5772	0.5152
0.162	 1	16.2	10.131	0.0087	1509.836	1.7451	71.8214	2634.875	0.5829	0.5197
0.172	 1	17.2	10.133	0.0074	1510.359	1.6925	76.3646	2556.217	0.6134	0.5245
0.182	 1	18.2	10.132	0.0094	1504.827	1.6736	80.2184	2518.468	0.6244	0.5328
0.192	 1	19.2	10.131	0.0079	1501.334	1.7296	81.6666	2596.779	0.5919	0.5451
0.202	 1	20.2	10.125	0.0064	1512.323	1.7705	83.8578	2677.59	0.5681	0.5576
0.212	 1	21.2	10.131	0.0069	1516.844	1.709	91.3834	2592.311	0.6038	0.5645
0.222	 1	22.2	10.132	0.0084	1511.787	1.7366	94.4902	2625.294	0.5878	0.5664
0.232	 1	23.2	10.13	0.0075	1515.333	1.7447	98.6671	2643.744	0.5831	0.571
0.242	 1	24.2	10.128	0.0066	1522.092	1.8155	100.3558	2763.341	0.5421	0.5851
0.252	 1	25.2	10.131	0.0049	1537.796	1.8821	100.4192	2894.339	0.5034	0.6018
0.262	 1	26.2	10.132	0.0062	1547.579	1.8868	103.3075	2919.895	0.5007	0.6145
0.272	 1	27.2	10.136	0.0062	1543.71	1.8831	105.5026	2906.882	0.5029	0.6197
0.282	 1	28.2	10.138	0.0061	1544.956	1.8916	105.4925	2922.387	0.4979	0.6231
0.292	 1	29.2	10.141	0.0064	1544.001	1.87	106.0865	2887.311	0.5104	0.6284
0.302	 1	30.2	10.145	0.0053	1538.286	1.8285	108.3727	2812.736	0.5345	0.6393
0.312	 1	31.2	10.145	0.0056	1526.712	1.7677	112.6605	2698.751	0.5698	0.6753
0.322	 1	32.2	10.148	0.0065	1517.118	1.7805	112.3084	2701.277	0.5623	0.6926
0.332	 1	33.2	10.151	0.0059	1520.066	1.7952	111.8444	2728.878	0.5538	0.7129
0.342	 1	34.2	10.15	0.0058	1529.536	1.829	110.3525	2797.508	0.5342	0.7236
0.352	 1	35.2	10.15	0.0062	1526.775	1.8255	110.5647	2787.099	0.5363	0.7344
0.362	 1	36.2	10.145	0.006	1533.636	1.8854	107.201	2891.58	0.5015	0.7403
0.372	 1	37.2	10.141	0.0051	1550.375	1.8469	109.0245	2863.418	0.5238	0.7499
0.382	 1	38.2	10.146	0.0067	1544.057	1.815	109.1444	2802.526	0.5423	0.7596
0.392	 1	39.2	10.146	0.0059	1537.506	1.8435	106.9214	2834.414	0.5258	0.7741
0.402	 1	40.2	10.146	0.0051	1549.244	1.9149	101.9021	2966.612	0.4844	0.7863
0.412	 1	41.2	10.145	0.0036	1572.137	1.9296	100.1263	3033.602	0.4759	0.7934
0.422	 1	42.2	10.138	0.0051	1563.541	1.8867	102.079	2950.0	0.5007	0.7934
0.432	 1	43.2	10.141	0.0043	1554.414	1.8951	101.0184	2945.778	0.4959	0.7966
0.442	 1	44.2	10.141	0.0051	1564.728	1.9082	99.2832	2985.88	0.4883	0.794
0.452	 1	45.2	10.137	0.005	1562.905	1.9381	96.3287	3029.044	0.4709	0.7899
0.462	 1	46.2	10.147	0.0037	1566.379	1.9315	95.3552	3025.517	0.4747	0.7897
0.472	 1	47.2	10.156	0.0045	1561.741	1.9062	94.304	2976.957	0.4895	0.791
0.482	 1	48.2	10.158	0.0048	1548.948	1.835	96.295	2842.245	0.5308	0.7808
0.492	 1	49.2	10.15	0.0084	1536.017	1.8332	94.9866	2815.853	0.5318	0.7831
0.502	 1	50.2	10.161	0.0091	1527.74	1.8598	93.3363	2841.299	0.5164	0.7834
0.512	 1	51.2	10.166	0.0057	1542.172	1.9005	91.2061	2930.961	0.4927	0.8226
0.522	 1	52.2	10.186	0.0066	1554.403	1.8764	91.8579	2916.649	0.5067	0.8284
0.532	 1	53.2	10.196	0.0054	1543.913	1.8841	91.7392	2908.948	0.5022	0.8342
0.542	 1	54.2	10.205	0.0035	1539.216	1.8733	92.5577	2883.341	0.5086	0.8352
0.552	 1	55.2	10.212	0.003	1540.736	1.8661	92.7283	2875.183	0.5127	0.834
0.562	 1	56.2	10.221	0.0025	1540.699	1.8755	92.5484	2889.534	0.5073	0.8343
0.572	 1	57.2	10.221	0.0028	1542.094	1.9031	90.1861	2934.747	0.4912	0.834
0.582	 1	58.2	10.237	0.0024	1544.741	1.8941	89.1873	2925.886	0.4965	0.8357
0.592	 1	59.2	10.259	0.0016	1546.194	1.8737	88.0667	2897.067	0.5083	0.834
0.602	 1	60.2	10.267	0.0011	1545.071	1.8299	88.4012	2827.346	0.5337	0.8305
0.612	 1	61.2	10.267	0.0041	1541.823	1.8507	85.8577	2853.417	0.5216	0.8259
0.622	 1	62.2	10.445	0.0009	1541.697	1.8238	80.9198	2811.698	0.5373	0.8239
