Geotek MSCL 7.9 - TN336_TC4-04_Try2_massMS.out created at 12:39:54 on 1/20/2016.


Processing Parameters

Den1	A=5.8845E-04	B=-.089542	C=8.5401
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=858.6318	B=-1.165855	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	Den1	MS1	FP	RES
m		cm	g/cc	x 10^-8 (m^3/kg)		Ohm.m

0.010	 1	1.0	1.5811		0.678	2.0443
0.020	 1	2.0	1.5596	11.3223	0.6905	1.2756
0.030	 1	3.0	1.5234	12.2353	0.7115	0.8935
0.040	 1	4.0	1.5168	13.5815	0.7153	0.7143
0.050	 1	5.0	1.5771	13.6843	0.6803	0.6291
0.060	 1	6.0	1.5557	13.8727	0.6928	0.5876
0.070	 1	7.0	1.5206	14.1933	0.7131	0.5668
0.080	 1	8.0	1.502	15.0217	0.7239	0.5542
0.090	 1	9.0	1.5085	14.9574	0.7201	0.5455
0.100	 1	10.0	1.5075	14.9666	0.7207	0.539
0.110	 1	11.0	1.5528	14.5303	0.6944	0.5366
0.120	 1	12.0	1.5131	15.5599	0.7175	0.5381
0.130	 1	13.0	1.5178	15.5122	0.7148	0.5399
0.140	 1	14.0	1.5168	15.5218	0.7153	0.5432
0.150	 1	15.0	1.5243	15.4456	0.711	0.5486
0.160	 1	16.0	1.5318	15.3697	0.7066	0.5559
0.170	 1	17.0	1.5271	16.0595	0.7093	0.5646
0.180	 1	18.0	1.548	15.8428	0.6972	0.5726
0.190	 1	19.0	1.5811	15.5115	0.678	0.5778
0.200	 1	20.0	1.5596	15.0964	0.6905	0.5831
0.210	 1	21.0	1.5423	15.9017	0.7005	0.5911
0.220	 1	22.0	1.5394	15.9312	0.7022	0.604
0.230	 1	23.0	1.5596	15.7254	0.6905	0.6294
0.240	 1	24.0	1.589	15.4342	0.6734	0.6423
0.250	 1	25.0	1.5712	14.9842	0.6837	0.6555
0.260	 1	26.0	1.5281	16.0496	0.7088	0.6712
0.270	 1	27.0	1.5262	16.0694	0.7099	0.6857
0.280	 1	28.0	1.6502	14.8613	0.6379	0.6971
0.290	 1	29.0	1.61	15.2323	0.6612	0.7061
0.300	 1	30.0	1.715	13.7281	0.6003	0.7168
0.310	 1	31.0	1.7318	13.5951	0.5906	0.7344
0.320	 1	32.0	1.7511	13.4451	0.5794	0.748
0.330	 1	33.0	1.8003	13.0778	0.5509	0.7598
0.340	 1	34.0	1.7615	13.366	0.5734	0.7705
0.350	 1	35.0	1.7661	12.7754	0.5707	0.7795
0.360	 1	36.0	1.758	13.3923	0.5754	0.7872
0.370	 1	37.0	1.7592	12.8259	0.5747	0.7991
0.380	 1	38.0	1.7661	12.7754	0.5707	0.8173
0.390	 1	39.0	1.8123	12.4497	0.5439	0.8392
0.400	 1	40.0	1.8087	11.9323	0.546	0.8574
0.410	 1	41.0	1.602	13.4719	0.6659	0.8715
0.420	 1	42.0	1.7872	11.5268	0.5585	0.8796
