Geotek MSCL 7.9 - TN336_TC42-52_MSmass.out created at 14:09:10 on 1/27/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=27.19
Den1	A=9.889801E-04	B=-.1104	C=10.002
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=567.302	B=-1.103549	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.637	cal sect	0.0	10.551	0.0028						83.7615
-0.577	cal sect	6.0	10.448	0.0134	1497.277	1.1855			0.9075	15.6643
-0.517	cal sect	12.0	10.142	0.0314	1486.007	1.1835	-0.8379	1758.653	0.9087	13.495
-0.457	cal sect	18.0	10.18	0.0236	1484.181	1.1912	-1.647	1767.965	0.9042	13.2478
-0.397	cal sect	24.0	10.438	0.006	1488.803	1.1591	-1.5749	1725.695	0.9228	9.8618
-0.337	cal sect	30.0	10.68	0.004	1505.286	1.1761	-1.4534	1770.295	0.913	3.8678
-0.277	cal sect	36.0	10.631	0.0036	1517.414	1.1621	-1.4904	1763.357	0.9211	0.4789
-0.217	cal sect	42.0	10.234	0.0031	1509.217	1.188	-0.8133	1792.9	0.9061	0.3657
-0.157	cal sect	48.0	10.163	0.0142	1502.069	1.2133	-0.8124	1822.504	0.8913	0.3667
-0.097	cal sect	54.0	10.331	0.0035	1506.416	1.1695	-0.804	1761.683	0.9168	0.3717
-0.037	cal sect	60.0	10.37	0.0045	1519.414	1.2053	1.5433	1831.327	0.896	0.5249
0.003	 1	0.3	10.781	0.0	110.9373	1.1355	9.5247	125.9641	0.9365	1.0257
0.013	 1	1.3	10.858	0.001	1557.596	1.3494	9.6655	2101.834	0.8124	0.8079
0.023	 1	2.3	10.903	0.0032	1536.283	1.3748	9.9619	2112.023	0.7977	0.6082
0.033	 1	3.3	10.867	0.002	1531.426	1.351	12.039	2068.972	0.8115	0.4902
0.043	 1	4.3	10.8	0.0001	1516.641	1.3477	12.8982	2043.932	0.8134	0.4262
0.053	 1	5.3	10.294	0.0022	1514.046	1.4174	14.0746	2146.027	0.773	0.3917
0.063	 1	6.3	10.226	0.0063	1511.827	1.4207	14.9947	2147.832	0.7711	0.374
0.073	 1	7.3	10.136	0.0102	1505.198	1.4249	14.6392	2144.822	0.7686	0.3647
0.083	 1	8.3	10.136	0.0121	1500.518	1.4364	15.214	2155.342	0.762	0.3599
0.093	 1	9.3	10.136	0.0168	1496.309	1.4464	15.1085	2164.3	0.7561	0.3572
0.103	 1	10.3	10.141	0.0161	1495.943	1.4333	15.9177	2144.07	0.7638	0.3563
0.113	 1	11.3	10.141	0.0131	1493.08	1.433	15.9202	2139.636	0.7639	0.3546
0.123	 1	12.3	10.146	0.0147	1495.357	1.4203	16.0405	2123.803	0.7713	0.353
0.133	 1	13.3	10.142	0.0141	1494.328	1.4456	15.7776	2160.155	0.7566	0.3515
0.143	 1	14.3	10.15	0.012	1492.428	1.4509	15.6835	2165.424	0.7535	0.3502
0.153	 1	15.3	10.151	0.0095	1491.917	1.4472	15.7195	2159.103	0.7557	0.3494
0.163	 1	16.3	10.161	0.0086	1492.071	1.4415	15.7366	2150.859	0.759	0.3492
0.173	 1	17.3	10.159	0.0075	1491.558	1.4371	16.4803	2143.57	0.7615	0.3476
0.183	 1	18.3	10.161	0.0073	1489.883	1.465	15.4841	2182.721	0.7453	0.3442
0.193	 1	19.3	10.166	0.007	1489.96	1.43	16.5302	2130.572	0.7657	0.3429
0.203	 1	20.3	10.166	0.0067	1489.742	1.4417	16.3954	2147.777	0.7589	0.3434
0.213	 1	21.3	10.17	0.0066	1489.237	1.4367	15.7493	2139.573	0.7618	0.3448
0.223	 1	22.3	10.171	0.006	1486.336	1.4495	15.6054	2154.475	0.7543	0.347
0.233	 1	23.3	10.176	0.0058	1485.547	1.4416	16.3498	2141.614	0.7589	0.3482
0.243	 1	24.3	10.181	0.0045	1485.844	1.4672	15.3738	2180.014	0.7441	0.349
0.253	 1	25.3	10.181	0.0038	1483.246	1.4492	15.5644	2149.553	0.7545	0.3511
0.263	 1	26.3	10.181	0.003	1480.873	1.4485	15.5717	2145.113	0.7549	0.3549
0.273	 1	27.3	10.187	0.0027	1483.256	1.4513	14.8411	2152.648	0.7533	0.3599
0.283	 1	28.3	10.191	0.0029	1484.054	1.4525	15.485	2155.645	0.7526	0.365
0.293	 1	29.3	10.196	0.0028	1485.648	1.4478	15.514	2150.869	0.7554	0.3668
0.303	 1	30.3	10.196	0.0034	1483.702	1.4607	15.3768	2167.22	0.7479	0.3729
0.313	 1	31.3	10.196	0.0028	1480.471	1.4752	15.2258	2183.954	0.7395	0.3841
0.323	 1	32.3	10.196	0.0024	1480.471	1.4699	14.6164	2176.083	0.7425	0.3863
0.333	 1	33.3	10.196	0.0025	1480.255	1.4791	14.5249	2189.482	0.7372	0.39
0.343	 1	34.3	10.196	0.0028	1480.685	1.4882	15.092	2203.627	0.7319	0.3948
0.353	 1	35.3	10.196	0.0032	1481.331	1.4815	15.1612	2194.526	0.7358	0.3987
0.363	 1	36.3	10.196	0.0039	1480.901	1.4963	15.0111	2215.835	0.7272	0.4006
0.373	 1	37.3	10.196	0.0035	1481.116	1.4819	15.1564	2194.898	0.7355	0.4018
0.383	 1	38.3	10.196	0.004	1481.546	1.4733	15.2449	2182.795	0.7405	0.4022
0.393	 1	39.3	10.196	0.004	1482.192	1.4648	15.3336	2171.117	0.7455	0.4037
0.403	 1	40.3	10.191	0.0042	1482.112	1.5147	14.8492	2245.0	0.7165	0.4054
0.413	 1	41.3	10.191	0.004	1481.896	1.4984	15.0107	2220.523	0.726	0.4087
0.423	 1	42.3	10.191	0.004	1483.622	1.4918	15.0774	2213.275	0.7298	0.4105
0.433	 1	43.3	10.187	0.0034	1481.961	1.4978	15.0337	2219.732	0.7263	0.4124
0.443	 1	44.3	10.186	0.0039	1481.169	1.5006	14.3577	2222.637	0.7247	0.4146
0.453	 1	45.3	10.182	0.0039	1480.157	1.5017	14.3637	2222.696	0.7241	0.4156
0.463	 1	46.3	10.187	0.0038	1480.023	1.5119	14.2458	2237.715	0.7181	0.4171
0.473	 1	47.3	10.187	0.0039	1479.808	1.4943	14.4143	2211.249	0.7284	0.4163
0.483	 1	48.3	10.216	0.0033	1482.298	1.4872	14.3644	2204.494	0.7325	0.4151
0.493	 1	49.3	10.227	0.0033	1483.034	1.4889	14.3036	2208.1	0.7315	0.4155
0.503	 1	50.3	10.232	0.003	1482.684	1.4922	14.252	2212.45	0.7296	0.4184
0.513	 1	51.3	10.236	0.0028	1483.908	1.4799	14.3546	2195.977	0.7367	0.4187
0.523	 1	52.3	10.244	0.0026	1483.133	1.5067	14.0676	2234.567	0.7212	0.4173
0.533	 1	53.3	10.249	0.0022	1483.642	1.4678	15.0753	2177.657	0.7437	0.4159
0.543	 1	54.3	10.259	0.0021	1484.875	1.4845	14.8637	2204.294	0.734	0.4197
0.553	 1	55.3	10.265	0.0019	1485.098	1.4811	14.8732	2199.506	0.736	0.4215
0.563	 1	56.3	10.27	0.0019	1483.032	1.4964	14.7001	2219.189	0.7272	0.4455
0.573	 1	57.3	10.275	0.0019	1482.47	1.5055	14.5909	2231.814	0.7219	0.4509
0.583	 1	58.3	10.285	0.0017	1483.057	1.4914	14.6878	2211.763	0.7301	0.4552
0.593	 1	59.3	10.29	0.0018	1482.923	1.4843	14.7374	2201.032	0.7342	0.4579
0.603	 1	60.3	10.29	0.0016	1483.136	1.5028	14.5556	2228.85	0.7234	0.4594
0.613	 1	61.3	10.294	0.0015	1483.927	1.4955	14.61	2219.235	0.7277	0.4604
0.623	 1	62.3	10.299	0.0013	1484.006	1.4948	13.9621	2218.275	0.7281	0.4622
