<PWAVE-TN336_TC49-60--638>
<PWAVE SAMPLE POINT>
Depth In Core=-63.80
Depth In Section=0.00
SBD=0.00
Core ID=TN336_TC49-60
Section Number=cal
Section Length=63.80
Comments=Core TN336_TC49-60 logged at 03:57:27 on 01-29-2016
TOT=0.00
TX Level (Volts)=255
P-Wave Amp Gain=1443.00
Delay=80.00
Gate=52.00
Date=1/29/2016
Time=4:00:11
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
0.00,-0.005
0.08,-0.005
0.16,-0.004
0.24,-0.004
0.32,-0.004
0.40,-0.003
0.48,-0.006
0.56,0.038
0.64,0.002
0.72,-0.022
0.80,-0.029
0.88,-0.006
0.96,-0.002
1.04,-0.015
1.12,-0.040
1.20,-0.104
1.28,-0.276
1.36,-0.346
1.44,-0.346
1.52,-0.346
1.60,-0.346
1.68,-0.346
1.76,-0.346
1.84,-0.346
1.92,-0.346
2.00,-0.346
2.08,-0.346
2.16,-0.346
2.24,-0.346
2.32,-0.346
2.40,-0.346
2.48,-0.346
2.56,-0.346
2.64,-0.346
2.72,-0.343
2.80,-0.312
2.88,-0.241
2.96,-0.201
3.04,-0.182
3.12,-0.172
3.20,-0.159
3.28,-0.131
3.36,-0.068
3.44,0.006
3.52,0.103
3.60,0.214
3.68,0.292
3.76,0.336
3.84,0.344
3.92,0.344
4.00,0.344
4.08,0.344
4.16,0.344
4.24,0.344
4.32,0.344
4.40,0.344
4.48,0.344
4.56,0.344
4.64,0.344
4.72,0.344
4.80,0.344
4.88,0.344
4.96,0.344
5.04,0.344
5.12,0.344
5.20,0.344
5.28,0.344
5.36,0.344
5.44,0.344
5.52,0.344
5.60,0.344
5.68,0.344
5.76,0.344
5.84,0.344
5.92,0.344
6.00,0.344
6.08,0.344
6.16,0.344
6.24,0.344
6.32,0.344
6.40,0.344
6.48,0.344
6.56,0.344
6.64,0.340
6.72,0.328
6.80,0.309
6.88,0.289
6.96,0.270
7.04,0.253
7.12,0.237
7.20,0.221
7.28,0.206
7.36,0.193
7.44,0.180
7.52,0.167
7.60,0.156
7.68,0.145
7.76,0.135
7.84,0.126
7.92,0.117
8.00,0.109
8.08,0.100
8.16,0.092
8.24,0.083
8.32,0.075
8.40,0.067
8.48,0.059
8.56,0.051
8.64,0.044
8.72,0.038
8.80,0.031
8.88,0.025
8.96,0.020
9.04,0.015
9.12,0.010
9.20,0.005
9.28,0.001
9.36,-0.003
9.44,-0.007
9.52,-0.011
9.60,-0.014
9.68,-0.017
9.76,-0.020
9.84,-0.023
9.92,-0.026
10.00,-0.028
10.08,-0.031
10.16,-0.033
10.24,-0.036
10.32,-0.038
10.40,-0.040
10.48,-0.042
10.56,-0.043
10.64,-0.045
10.72,-0.046
10.80,-0.048
10.88,-0.049
10.96,-0.050
11.04,-0.051
11.12,-0.052
11.20,-0.053
11.28,-0.054
11.36,-0.055
11.44,-0.055
11.52,-0.056
11.60,-0.056
11.68,-0.057
11.76,-0.057
11.84,-0.057
11.92,-0.058
12.00,-0.058
12.08,-0.058
12.16,-0.059
12.24,-0.059
12.32,-0.059
12.40,-0.059
12.48,-0.059
12.56,-0.060
12.64,-0.060
12.72,-0.059
12.80,-0.059
12.88,-0.059
12.96,-0.059
13.04,-0.059
13.12,-0.059
13.20,-0.059
13.28,-0.059
13.36,-0.058
13.44,-0.058
13.52,-0.058
13.60,-0.058
13.68,-0.058
13.76,-0.058
13.84,-0.058
13.92,-0.057
14.00,-0.057
14.08,-0.057
14.16,-0.057
14.24,-0.056
14.32,-0.056
14.40,-0.056
14.48,-0.056
14.56,-0.056
14.64,-0.055
14.72,-0.055
14.80,-0.055
14.88,-0.055
14.96,-0.055
15.04,-0.055
15.12,-0.055
15.20,-0.054
15.28,-0.054
15.36,-0.053
15.44,-0.053
15.52,-0.053
15.60,-0.052
15.68,-0.052
15.76,-0.051
15.84,-0.051
15.92,-0.051
16.00,-0.051
16.08,-0.050
16.16,-0.050
16.24,-0.049
16.32,-0.048
16.40,-0.048
16.48,-0.047
16.56,-0.047
16.64,-0.047
16.72,-0.046
16.80,-0.046
16.88,-0.046
16.96,-0.045
17.04,-0.045
17.12,-0.045
17.20,-0.045
17.28,-0.044
17.36,-0.044
17.44,-0.044
17.52,-0.044
17.60,-0.044
17.68,-0.044
17.76,-0.043
17.84,-0.043
17.92,-0.043
18.00,-0.042
18.08,-0.041
18.16,-0.041
18.24,-0.040
18.32,-0.040
18.40,-0.040
18.48,-0.039
18.56,-0.039
18.64,-0.039
18.72,-0.039
18.80,-0.039
18.88,-0.039
18.96,-0.038
19.04,-0.038
19.12,-0.038
19.20,-0.037
19.28,-0.037
19.36,-0.037
19.44,-0.037
19.52,-0.036
19.60,-0.036
19.68,-0.035
19.76,-0.035
19.84,-0.034
19.92,-0.034
20.00,-0.033
20.08,-0.033
20.16,-0.033
20.24,-0.033
20.32,-0.033
20.40,-0.032
20.48,-0.033
20.56,-0.033
20.64,-0.033
20.72,-0.033
20.80,-0.033
20.88,-0.032
20.96,-0.032
21.04,-0.032
21.12,-0.032
21.20,-0.032
21.28,-0.031
21.36,-0.031
21.44,-0.031
21.52,-0.030
21.60,-0.030
21.68,-0.029
21.76,-0.029
21.84,-0.029
21.92,-0.028
22.00,-0.028
22.08,-0.028
22.16,-0.028
22.24,-0.028
22.32,-0.028
22.40,-0.028
22.48,-0.028
22.56,-0.028
22.64,-0.028
22.72,-0.027
22.80,-0.027
22.88,-0.027
22.96,-0.027
23.04,-0.026
23.12,-0.026
23.20,-0.026
23.28,-0.025
23.36,-0.025
23.44,-0.025
23.52,-0.025
23.60,-0.025
23.68,-0.025
23.76,-0.024
23.84,-0.024
23.92,-0.024
24.00,-0.025
24.08,-0.025
24.16,-0.025
24.24,-0.025
24.32,-0.025
24.40,-0.024
24.48,-0.024
24.56,-0.024
24.64,-0.024
24.72,-0.023
24.80,-0.023
24.88,-0.023
24.96,-0.022
25.04,-0.022
25.12,-0.022
25.20,-0.021
25.28,-0.021
25.36,-0.021
25.44,-0.021
25.52,-0.021
25.60,-0.021
25.68,-0.020
25.76,-0.020
25.84,-0.021
25.92,-0.021
26.00,-0.020
26.08,-0.020
26.16,-0.020
26.24,-0.020
26.32,-0.019
26.40,-0.019
26.48,-0.019
26.56,-0.019
26.64,-0.019
26.72,-0.018
26.80,-0.018
26.88,-0.018
26.96,-0.018
27.04,-0.018
27.12,-0.017
27.20,-0.017
27.28,-0.017
27.36,-0.017
27.44,-0.017
27.52,-0.017
27.60,-0.018
27.68,-0.018
27.76,-0.017
27.84,-0.017
27.92,-0.018
28.00,-0.018
28.08,-0.017
28.16,-0.017
28.24,-0.017
28.32,-0.017
28.40,-0.017
28.48,-0.016
28.56,-0.016
28.64,-0.016
28.72,-0.016
28.80,-0.016
28.88,-0.016
28.96,-0.016
29.04,-0.016
29.12,-0.016
29.20,-0.016
29.28,-0.016
29.36,-0.016
29.44,-0.016
29.52,-0.015
29.60,-0.015
29.68,-0.015
29.76,-0.015
29.84,-0.015
29.92,-0.014
30.00,-0.014
30.08,-0.014
30.16,-0.014
30.24,-0.014
30.32,-0.014
30.40,-0.014
30.48,-0.014
30.56,-0.014
30.64,-0.014
30.72,-0.014
30.80,-0.014
30.88,-0.013
30.96,-0.013
31.04,-0.013
31.12,-0.013
31.20,-0.013
31.28,-0.012
31.36,-0.012
31.44,-0.012
31.52,-0.012
31.60,-0.012
31.68,-0.012
31.76,-0.011
31.84,-0.011
31.92,-0.011
32.00,-0.011
32.08,-0.011
32.16,-0.011
32.24,-0.011
32.32,-0.012
32.40,-0.012
32.48,-0.012
32.56,-0.012
32.64,-0.012
32.72,-0.012
32.80,-0.012
32.88,-0.011
32.96,-0.011
33.04,-0.012
33.12,-0.012
33.20,-0.011
33.28,-0.011
33.36,-0.011
33.44,-0.011
33.52,-0.011
33.60,-0.011
33.68,-0.011
33.76,-0.011
33.84,-0.011
33.92,-0.011
34.00,-0.010
34.08,-0.010
34.16,-0.010
34.24,-0.010
34.32,-0.010
34.40,-0.010
34.48,-0.010
34.56,-0.010
34.64,-0.010
34.72,-0.010
34.80,-0.010
34.88,-0.010
34.96,-0.010
35.04,-0.011
35.12,-0.011
35.20,-0.011
35.28,-0.011
35.36,-0.011
35.44,-0.011
35.52,-0.011
35.60,-0.011
35.68,-0.011
35.76,-0.010
35.84,-0.010
35.92,-0.010
36.00,-0.010
36.08,-0.010
36.16,-0.009
36.24,-0.009
36.32,-0.009
36.40,-0.009
36.48,-0.008
36.56,-0.008
36.64,-0.008
36.72,-0.008
36.80,-0.008
36.88,-0.008
36.96,-0.008
37.04,-0.009
37.12,-0.009
37.20,-0.008
37.28,-0.008
37.36,-0.009
37.44,-0.008
37.52,-0.008
37.60,-0.008
37.68,-0.008
37.76,-0.008
37.84,-0.008
37.92,-0.008
38.00,-0.008
38.08,-0.008
38.16,-0.007
38.24,-0.008
38.32,-0.008
38.40,-0.008
38.48,-0.007
38.56,-0.008
38.64,-0.008
38.72,-0.008
38.80,-0.008
38.88,-0.008
38.96,-0.008
39.04,-0.008
39.12,-0.008
39.20,-0.008
39.28,-0.008
39.36,-0.008
39.44,-0.008
39.52,-0.007
39.60,-0.007
39.68,-0.007
39.76,-0.007
39.84,-0.007
39.92,-0.007
40.00,-0.007
40.08,-0.007
40.16,-0.007
40.24,-0.007
40.32,-0.007
40.40,-0.007
40.48,-0.007
40.56,-0.007
40.64,-0.007
40.72,-0.007
40.80,-0.007
40.88,-0.007
40.96,-0.007
41.04,-0.007
41.12,-0.007
41.20,-0.006
41.28,-0.006
41.36,-0.006
41.44,-0.006
41.52,-0.006
41.60,-0.006
41.68,-0.006
41.76,-0.006
41.84,-0.007
41.92,-0.006
42.00,-0.006
42.08,-0.007
42.16,-0.007
42.24,-0.007
42.32,-0.007
42.40,-0.007
42.48,-0.007
42.56,-0.007
42.64,-0.006
42.72,-0.006
42.80,-0.006
42.88,-0.006
42.96,-0.006
43.04,-0.006
43.12,-0.005
43.20,-0.005
43.28,-0.005
43.36,-0.005
43.44,-0.005
43.52,-0.006
43.60,-0.006
43.68,-0.006
43.76,-0.006
43.84,-0.006
43.92,-0.006
44.00,-0.007
44.08,-0.007
44.16,-0.007
44.24,-0.006
