Geotek MSCL 7.9 - TN336_BB25-28.raw created at 18:40:05 on 1/23/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_BB25-28.out created at 18:40:45 on 1/23/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,µsec,,cps,SI x 10^-5,¡C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.001,1,0.1,7.33,999,0,8293,14,19.77,264.3,,0.001,1,0.1,10.913,0,112.1756,0.8281,11.2489,13.5833,92.8978,1.1148,1.2093
0.011,1,1.1,7.34,999,0,4946,17,19.77,311.8,,0.011,1,1.1,10.914,0,112.1858,1.4425,13.6559,9.4668,161.8284,0.7584,1.0095
0.021,1,2.1,6.98,96.82,0.003,4944,19,19.77,399.9,,0.021,1,2.1,10.878,0.003,1539.267,1.4478,15.407,10.6418,2228.528,0.7553,0.769
0.031,1,3.1,6.87,97.23,0.0043,4940,22,19.77,492.5,,0.031,1,3.1,10.867,0.0043,1528.841,1.4503,17.8913,12.3365,2217.231,0.7539,0.6125
0.041,1,4.1,6.42,97.55,0.0013,5013,22,19.78,561.7,,0.041,1,4.1,10.822,0.0013,1515.686,1.4378,18.1046,12.5921,2179.226,0.7611,0.5305
0.051,1,5.1,2.15,94.63,0.0009,4960,23,19.77,612.7,,0.051,1,5.1,10.395,0.0009,1517.961,1.5108,21.2438,14.0612,2293.344,0.7188,0.4824
0.061,1,6.1,1.42,94.61,0.0048,4987,23,19.77,645.4,,0.061,1,6.1,10.322,0.0048,1507.742,1.5143,21.6792,14.3163,2283.178,0.7168,0.4558
0.071,1,7.1,1.26,94.47,0.0103,5012,24,19.78,662.7,,0.071,1,7.1,10.306,0.0103,1508.489,1.51,22.7231,15.0481,2277.868,0.7192,0.4429
0.081,1,8.1,0.93,94.6,0.0091,5020,23,19.78,669,,0.081,1,8.1,10.273,0.0091,1500.803,1.5128,21.9785,14.5287,2270.364,0.7177,0.4383
0.091,1,9.1,0.9,94.71,0.0067,5010,23,19.78,668.2,,0.091,1,9.1,10.27,0.0067,1497.958,1.5159,21.997,14.5113,2270.688,0.7159,0.4388
0.101,1,10.1,0.68,94.82,0.0081,4985,23,19.78,666.7,,0.101,1,10.1,10.248,0.0081,1492.355,1.5258,22.1335,14.5064,2276.994,0.7101,0.4399
0.111,1,11.1,0.63,94.63,0.0082,4931,24,19.79,664.4,,0.111,1,11.1,10.243,0.0082,1495.765,1.5411,23.1283,15.0081,2305.058,0.7012,0.4416
0.121,1,12.1,0.63,94.75,0.012,4908,24,19.79,662.8,,0.121,1,12.1,10.243,0.012,1493.149,1.5473,23.1283,14.9475,2310.361,0.6976,0.4428
0.131,1,13.1,0.63,94.94,0.0114,4923,24,19.79,657.2,,0.131,1,13.1,10.243,0.0114,1489.025,1.5432,23.1283,14.987,2297.902,0.7,0.4469
0.141,1,14.1,0.63,94.84,0.01,4856,24,19.8,652.5,,0.141,1,14.1,10.243,0.01,1491.192,1.5616,23.1283,14.8109,2328.608,0.6893,0.4504
0.151,1,15.1,0.63,94.92,0.0103,4842,25,19.79,650.5,,0.151,1,15.1,10.243,0.0103,1489.458,1.5654,24.092,15.3898,2331.668,0.6871,0.4519
0.161,1,16.1,0.62,94.88,0.0063,4816,25,19.8,650.7,,0.161,1,16.1,10.242,0.0063,1490.179,1.5728,24.0988,15.3219,2343.8,0.6828,0.4518
0.171,1,17.1,0.58,94.6,0.0198,4872,24,19.79,651.3,,0.171,1,17.1,10.238,0.0198,1495.69,1.5579,23.1609,14.8665,2330.174,0.6915,0.4513
0.181,1,18.1,0.57,94.79,0.0194,4838,24,19.8,652.4,,0.181,1,18.1,10.237,0.0194,1491.404,1.5675,23.1674,14.7801,2337.739,0.6859,0.4504
0.191,1,19.1,0.34,94.39,0.0183,4943,24,19.8,653.1,,0.191,1,19.1,10.214,0.0183,1496.776,1.5422,23.3182,15.1204,2308.29,0.7006,0.45
0.201,1,20.1,0.34,94.45,0.0318,4956,24,19.79,651.4,,0.201,1,20.1,10.214,0.0318,1495.461,1.5387,23.3182,15.1549,2301.002,0.7026,0.4512
0.211,1,21.1,0.34,94.53,0.0224,4877,24,19.8,647.8,,0.211,1,21.1,10.214,0.0224,1493.712,1.5602,23.3182,14.9456,2330.501,0.6901,0.4539
0.221,1,22.1,0.29,94.37,0.0364,4921,24,19.8,646.1,,0.221,1,22.1,10.209,0.0364,1496.482,1.5489,23.3512,15.0759,2317.917,0.6967,0.4553
