Geotek MSCL 7.9 - TN336_BB6-06_massMS.out created at 12:53:08 on 1/20/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.74
Den1	A=5.8845E-04	B=-.089542	C=8.5401
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=858.6318	B=-1.165855	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.640	before cal		10.402	0.009						107.5682
-0.580	cal sect	6.0	10.255	0.0125	1463.745	1.1006			0.9567	18.6103
-0.520	cal sect	12.0	9.945	0.0346	1452.885	1.1778	-0.8911	1711.25	0.9119	17.5868
-0.460	cal sect	18.0	9.947	0.0248	1449.577	1.1407	-0.9196	1653.467	0.9335	15.6887
-0.400	cal sect	24.0	10.26	0.0019	1459.875	1.1753	-0.816	1715.789	0.9134	12.5404
-0.340	cal sect	30.0	10.337	0.0235	1464.994	1.0951	-0.8571	1604.286	0.9599	4.0134
-0.280	cal sect	36.0	10.338	0.0074	1483.427	1.1377	-1.6497	1687.64	0.9352	0.4966
-0.220	cal sect	42.0	10.039	0.0032	1479.805	1.197	-0.8532	1771.312	0.9008	0.3522
-0.160	cal sect	48.0	9.923	0.0197	1465.298	1.1635	0.0	1704.809	0.9203	0.3505
-0.100	cal sect	54.0	10.009	0.0073	1460.528	1.1929	0.8636	1742.306	0.9032	325.1508
-0.040	cal sect	60.0	10.223	0.0143	1483.96	1.1748	-6113.748	1743.301	0.9137	1.6029
0.010	 1	1.0	10.414	0.0						0.533
0.020	 1	2.0	10.416	0.0037	1557.649	1.8109			0.5447	0.6119
0.030	 1	3.0	10.368	0.0111	1536.911	1.7926	18.6887	2755.031	0.5553	0.6751
0.040	 1	4.0	10.313	0.0036	1518.18	1.7712	-968.8599	2688.963	0.5678	0.7212
0.050	 1	5.0	10.145	0.0003	1499.852	1.8308	-981.7232	2745.86	0.5332	0.7583
0.060	 1	6.0	10.019	0.0007	1533.833	1.8075	22.7323	2772.454	0.5467	0.781
0.070	 1	7.0	9.973	0.0017	1523.526	1.8231	23.4115	2777.516	0.5377	0.8037
0.080	 1	8.0	9.963	0.0034	1521.998	1.8642	22.9618	2837.304	0.5138	0.8103
0.090	 1	9.0	9.922	0.0056	1515.966	1.914	23.1849	2901.562	0.4849	0.8148
0.100	 1	10.0	9.921	0.0061	1519.528	1.8424	-1040.026	2799.548	0.5265	0.8211
0.110	 1	11.0	9.921	0.0062	1520.227	1.9181	22.5912	2915.943	0.4825	0.8101
0.120	 1	12.0	9.942	0.0052	1522.511	1.918	-992.9466	2920.106	0.4826	0.8002
0.130	 1	13.0	10.035	0.0043	1534.404	1.886	21.6857	2893.956	0.5011	0.7883
0.140	 1	14.0	10.188	0.0019	1546.448	1.9358	19.7193	2993.554	0.4723	0.7722
0.150	 1	15.0	10.283	0.0005	1564.906	1.902	-909.3266	2976.442	0.4919	0.7527
0.160	 1	16.0	10.409	0.0003	1556.602	1.8764	19.1235	2920.771	0.5067	0.7279
0.170	 1	17.0	10.436	0.0005	1560.407	1.8741	18.0299	2924.372	0.5081	0.698
0.180	 1	18.0	10.416	0.001	1556.951	1.879	17.105	2925.52	0.5052	0.6592
0.190	 1	19.0	10.493	0.0008	1542.408	1.8549	15.9944	2861.083	0.5192	0.6044
0.200	 1	20.0	10.414	0.0003	1546.251	1.8768	15.1765	2901.958	0.5065	0.5376
0.210	 1	21.0	10.306	0.0024	1565.072	1.8477	13.8353	2891.781	0.5234	0.472
0.220	 1	22.0	10.237	0.0056	1565.051	1.6173	13.131	2531.172	0.657	0.4247
0.230	 1	23.0	10.163	0.0007	1552.314	0.0771	217.3842	119.6627	1.5504	0.3988
0.240	 2	0.6	10.097	0.0	103.8508	0.0478	251.9865	4.9676	1.5674	0.3882
0.250	 2	1.6	9.965	0.0	102.4932	0.0462	158.2027	4.7319	1.5683	0.3818
0.260	 2	2.6	9.924	0.0	102.0715	0.0503	104.9928	5.1329	1.566	0.3753
0.270	 2	3.6	9.828	0.0	101.0841	0.0512	63.5829	5.1801	1.5654	0.3694
0.280	 2	4.6	9.84	0.0	101.2075	0.0538	40.2664	5.4405	1.5639	0.3647
0.290	 2	5.6	9.83	0.0	101.1046	0.0647	-62220.29	6.5368	1.5576	0.3616
0.300	 2	6.6	9.829	0.0	101.0944	0.0543	0.0	5.4879	1.5636	0.3585
0.310	 2	7.6	9.828	0.0	101.0841	0.0595	18.2647	6.011	1.5606	0.3574
0.320	 2	8.6	9.829	0.0	101.0944	0.0533	0.0	5.3931	1.5642	0.357
0.330	 2	9.6	9.829	0.0	101.0944	0.0595	0.0	6.011	1.5606	0.3571
0.340	 2	10.6	9.829	0.0	101.0944	0.0473	0.0	4.779	1.5677	0.357
0.350	 2	11.6	9.829	0.0	101.0944	0.0606	0.0	6.1303	1.56	0.3568
0.360	 2	12.6	9.827	0.0	101.0738	0.0355	0.0	3.5852	1.5746	0.3571
0.370	 2	13.6	9.824	0.0	101.0429	0.0553	-19.6807	5.5829	1.5631	0.3573
0.380	 2	14.6	9.829	0.0	101.0944	0.0392	0.0	3.9582	1.5724	0.3572
0.390	 2	15.6	9.829	0.0	101.0944	0.0533	-20.3533	5.3931	1.5642	0.3578
0.400	 2	16.6	9.827	0.0	101.0738	0.0412	0.0	4.1686	1.5712	0.357
0.410	 2	17.6	9.824	0.0	101.0429	0.0485	-22.4378	4.8968	1.567	0.3574
0.420	 2	18.6	9.825	0.0	101.0532	0.0527	0.0	5.3221	1.5646	0.3573
0.430	 2	19.6	9.829	0.0	101.0944	0.0538	-20.176	5.4405	1.5639	0.3573
0.440	 2	20.6	9.829	0.0	101.0944	0.0576	0.0	5.8205	1.5617	0.3568
0.450	 2	21.6	9.829	0.0	101.0944	0.0515	0.0	5.2038	1.5653	0.3569
0.460	 2	22.6	9.829	0.0	101.0944	0.0545	0.0	5.5117	1.5635	0.357
0.470	 2	23.6	9.829	0.0	101.0944	0.0541	0.0	5.4642	1.5638	0.3572
0.480	 2	24.6	9.829	0.0	101.0944	0.0519	0.0	5.2511	1.565	0.357
0.490	 2	25.6	9.824	0.0	101.0429	0.0482	-22.5463	4.8733	1.5672	0.3566
0.500	 2	26.6	9.823	0.0	101.0326	0.0364	-29.8764	3.6783	1.574	0.3565
0.510	 2	27.6	9.818	0.0	100.9812	0.0413	-26.3879	4.1686	1.5712	0.3564
0.520	 2	28.6	9.818	0.0	100.9812	0.0431	0.0	4.3561	1.5701	0.3564
0.530	 2	29.6	9.823	0.0	101.0326	0.0638	0.0	6.441	1.5581	0.3563
0.540	 2	30.6	9.823	0.0	101.0326	0.0473	0.0	4.779	1.5677	0.3562
