Geotek MSCL 7.9 - TN336_JPC1-01_massMS.out created at 11:10:15 on 1/19/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=27.54
Den1	A=8.3722E-04	B=-.10475	C=9.9854
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=605.2563	B=-1.110319	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.639	before cal		10.707	0.0003						57.3553
-0.579	cal sect	6.0	10.415	0.0184	1515.35	1.2108			0.8928	14.8025
-0.519	cal sect	12.0	10.253	0.0412	1500.732	1.2202	-0.7876	1831.138	0.8874	14.5565
-0.459	cal sect	18.0	10.231	0.0305	1500.807	1.219	-1.5865	1829.409	0.8881	13.3484
-0.399	cal sect	24.0	10.496	0.0008	1511.739	1.1865	-0.7571	1793.647	0.9069	9.8108
-0.339	cal sect	30.0	10.627	0.0304	1520.097	1.1787	-0.7354	1791.795	0.9114	3.8524
-0.279	cal sect	36.0	10.584	0.0339	1538.149	1.2142	-0.7223	1867.551	0.8909	0.4641
-0.219	cal sect	42.0	10.322	0.0037	1528.506	1.2051	-0.7822	1842.008	0.8961	0.3575
-0.159	cal sect	48.0	10.236	0.0326	1520.951	1.2045	-1.6032	1832.046	0.8964	0.3619
-0.099	cal sect	54.0	10.451	0.0026	1525.026	1.2022	-0.7565	1833.376	0.8978	0.3693
-0.039	cal sect	60.0	10.428	0.002	1529.705	1.2086	1.5145	1848.872	0.8941	0.5576
0.001	 1	0.1	10.827	0.0	111.4508	0.8966	11.9167	99.9231	1.0751	1.5513
0.011	 1	1.1	10.849	0.0	111.6773	1.635	7.4961	182.597	0.6467	1.3556
0.021	 1	2.1	10.806	0.0	111.2346	1.7527	8.0156	194.9637	0.5785	1.0914
0.031	 1	3.1	10.764	0.0	110.8023	1.8323	8.2096	203.02	0.5323	0.9073
0.041	 1	4.1	10.723	0.0	110.3802	1.8291	8.3142	201.8955	0.5342	0.8027
0.051	 1	5.1	10.379	0.0001	1571.147	1.838	9.0856	2887.784	0.529	0.7452
0.061	 1	6.1	10.318	0.0004	1683.472	1.8586	9.6465	3128.893	0.5171	0.7107
0.071	 1	7.1	10.316	0.0004	1719.907	1.933	9.2804	3324.572	0.4739	0.6891
0.081	 1	8.1	10.288	0.0011	1698.25	1.8227	10.4417	3095.32	0.5379	0.6742
0.091	 1	9.1	10.272	0.0014	1601.996	1.7269	11.6238	2766.463	0.5935	0.6672
0.101	 1	10.1	10.241	0.0044	1558.041	1.7327	12.2427	2699.622	0.5901	0.6559
0.111	 1	11.1	10.245	0.0047	1546.882	1.7214	12.3088	2662.88	0.5966	0.6465
0.121	 1	12.1	10.244	0.0062	1547.9	1.7597	10.9494	2723.911	0.5744	0.6369
0.131	 1	13.1	10.232	0.0041	1542.823	1.7452	11.0779	2692.58	0.5828	0.6281
0.141	 1	14.1	10.232	0.0045	1539.109	1.7354	10.0265	2670.988	0.5885	0.6237
0.151	 1	15.1	10.238	0.0045	1539.549	1.7276	9.4961	2659.741	0.593	0.6219
0.161	 1	16.1	10.237	0.0056	1530.194	1.6866	8.5851	2580.83	0.6168	0.6244
0.171	 1	17.1	10.228	0.0096	1516.383	1.6802	8.0637	2547.845	0.6205	0.6297
0.181	 1	18.1	10.229	0.008	1511.154	1.6879	7.4514	2550.71	0.6161	0.6333
0.191	 1	19.1	10.237	0.0091	1511.666	1.6911	7.4205	2556.418	0.6142	0.6346
0.201	 1	20.1	10.231	0.0102	1514.806	1.7021	7.3852	2578.34	0.6078	0.6352
0.211	 1	21.1	10.232	0.0086	1518.101	1.7082	6.7906	2593.289	0.6043	0.6362
0.221	 1	22.1	10.234	0.0107	1518.172	1.6984	6.8259	2578.538	0.6099	0.6368
0.231	 1	23.1	10.226	0.0109	1519.014	1.7341	7.2593	2634.064	0.5893	0.6379
0.241	 1	24.1	10.231	0.0138	1524.058	1.7215	6.7404	2623.615	0.5966	0.6404
0.251	 1	25.1	10.231	0.0108	1524.739	1.7662	7.1169	2693.067	0.5706	0.644
0.261	 1	26.1	10.226	0.0085	1529.007	1.7928	6.4814	2741.183	0.5552	0.645
0.271	 1	27.1	10.231	0.0074	1533.653	1.7742	6.54	2721.033	0.566	0.6484
0.281	 1	28.1	10.232	0.0084	1530.133	1.7567	6.6035	2687.918	0.5762	0.6586
0.291	 1	29.1	10.231	0.0075	1522.923	1.7421	6.6605	2653.11	0.5846	0.6691
0.301	 1	30.1	10.226	0.0076	1519.917	1.7376	6.6871	2641.03	0.5872	0.6863
0.311	 1	31.1	10.235	0.0047	1519.673	1.7717	6.542	2692.374	0.5675	0.7108
0.321	 1	32.1	10.233	0.0044	1520.731	1.7574	6.5989	2672.521	0.5758	0.7213
0.331	 1	33.1	10.234	0.0042	1524.278	1.7639	6.5727	2688.674	0.572	0.7465
0.341	 1	34.1	10.238	0.0054	1525.101	1.7424	6.0924	2657.359	0.5844	0.7655
0.351	 1	35.1	10.233	0.0054	1527.77	1.7699	6.0063	2703.966	0.5685	0.7885
0.361	 1	36.1	10.236	0.0064	1532.335	1.7957	5.9148	2751.677	0.5535	0.8095
0.371	 1	37.1	10.238	0.0054	1542.332	1.7998	6.4343	2775.89	0.5512	0.826
0.381	 1	38.1	10.229	0.0049	1544.933	1.826	5.8282	2821.073	0.536	0.8453
0.391	 1	39.1	10.233	0.0061	1548.577	1.8419	5.7713	2852.397	0.5267	0.8573
0.401	 1	40.1	10.233	0.004	1554.931	1.8499	5.7465	2876.426	0.5221	0.8732
0.411	 1	41.1	10.234	0.0038	1556.976	1.8641	5.7012	2902.283	0.5139	0.8844
0.421	 1	42.1	10.244	0.0031	1560.634	1.8406	5.7575	2872.543	0.5275	0.8971
0.431	 1	43.1	10.237	0.0045	1558.617	1.874	5.6662	2920.819	0.5081	0.9004
0.441	 1	44.1	10.244	0.003	1563.731	1.8812	5.1212	2941.723	0.5039	0.9001
0.451	 1	45.1	10.252	0.0032	1569.024	1.9047	5.5514	2988.485	0.4903	0.9036
0.461	 1	46.1	10.248	0.0032	1574.919	1.9047	5.5575	2999.781	0.4903	0.9065
0.471	 1	47.1	10.253	0.0025	1577.87	1.901	5.5606	2999.522	0.4925	0.9087
0.481	 1	48.1	10.216	0.0024	1582.159	1.9443	4.9944	3076.134	0.4674	0.9097
0.491	 1	49.1	10.221	0.0034	1585.143	1.9098	5.5852	3027.23	0.4874	0.9196
0.501	 1	50.1	10.221	0.0022	1584.651	1.9462	5.4806	3084.08	0.4662	0.9235
0.511	 1	51.1	10.215	0.0029	1586.673	1.8924	5.646	3002.641	0.4974	0.9298
0.521	 1	52.1	10.215	0.0035	1571.297	1.9063	5.6048	2995.386	0.4894	0.9304
0.531	 1	53.1	10.215	0.0025	1577.119	1.9265	5.042	3038.25	0.4777	0.9323
0.541	 1	54.1	10.216	0.0025	1579.712	1.9252	5.0439	3041.259	0.4784	0.9392
0.551	 1	55.1	10.216	0.0024	1576.786	1.9051	5.0971	3003.903	0.4901	0.9429
0.561	 1	56.1	10.218	0.0025	1578.313	1.9082	5.5945	3011.748	0.4883	0.9466
0.571	 1	57.1	10.216	0.0023	1581.179	1.9435	4.9963	3073.082	0.4678	0.9409
0.581	 1	58.1	10.216	0.002	1584.613	1.9461	4.9897	3083.785	0.4663	0.9354
0.591	 1	59.1	10.217	0.002	1589.452	1.935	5.0168	3075.649	0.4727	0.9222
0.601	 1	60.1	10.217	0.0018	1589.452	1.9386	5.0075	3081.379	0.4706	0.9168
0.611	 1	61.1	10.215	0.0015	1591.369	1.9318	5.028	3074.243	0.4746	0.9129
0.621	 1	62.1	10.215	0.0012	1589.141	1.9383	5.0112	3080.232	0.4708	0.9165
