Geotek MSCL 7.9 - TN336_JPC27-31.raw created at 4:07:41 on 1/24/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_JPC27-31.out created at 4:16:17 on 1/24/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.002,1,0.2,6.38,999,0,7637,11,18.9,210,,0.002,1,0.2,10.818,0,111.1991,0.9301,9.0619,9.7427,103.4286,1.0556,1.5543
0.012,1,1.2,6.58,999,0,5498,13,18.9,266.9,,0.012,1,1.2,10.838,0,111.4046,1.3206,10.6531,8.0669,147.1206,0.8291,1.1965
0.022,1,2.2,6.27,97.02,0.0022,5314,15,18.9,349.6,,0.022,1,2.2,10.807,0.0022,1524.905,1.3667,12.3931,9.0682,2084.012,0.8024,0.8906
0.032,1,3.2,5.92,96.83,0.0034,4984,16,18.88,423.7,,0.032,1,3.2,10.772,0.0034,1524.052,1.4518,13.3425,9.1903,2212.628,0.753,0.722
0.042,1,4.2,5.14,98.01,0.0005,5040,15,18.91,478.5,,0.042,1,4.2,10.694,0.0005,1488.171,1.4481,12.7714,8.8192,2155.086,0.7551,0.6321
0.052,1,5.2,0.98,94.81,0.0117,5022,15,18.9,516.4,,0.052,1,5.2,10.278,0.0117,1496.942,1.5115,14.3137,9.4699,2262.629,0.7184,0.5816
0.062,1,6.2,0.46,94.85,0.008,5120,15,18.9,542.7,,0.062,1,6.2,10.226,0.008,1488.501,1.4935,14.5246,9.7254,2223.039,0.7288,0.5509
0.072,1,7.2,0.35,94.88,0.0055,5206,14,18.9,565.2,,0.072,1,7.2,10.215,0.0055,1486.251,1.473,13.5985,9.2319,2189.224,0.7407,0.5269
0.082,1,8.2,0.19,94.57,0.0039,5136,14,18.9,583,,0.082,1,8.2,10.199,0.0039,1490.646,1.4933,13.6601,9.1477,2225.947,0.729,0.5093
0.092,1,9.2,0.15,94.92,0.0136,5182,13,18.91,594.6,,0.092,1,9.2,10.195,0.0136,1482.478,1.482,12.6988,8.5686,2197.044,0.7355,0.4985
0.102,1,10.2,0.22,95.23,0.011,5268,13,18.89,603.6,,0.102,1,10.2,10.202,0.011,1476.838,1.4592,12.6736,8.6854,2154.978,0.7487,0.4904
