Geotek MSCL 7.9 - TN336_TC10_10_massMS.out created at 20:20:55 on 1/20/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.73
Den1	A=7.0444E-04	B=-.096532	C=9.8575
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=687.8304	B=-1.135412	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.639	before cal		10.576	0.0						62.4791
-0.579	cal sect	6.0	10.536	0.0139	1496.378	1.1494			0.9284	18.0052
-0.519	cal sect	12.0	10.245	0.0713	1488.666	1.1445	-0.8415	1703.785	0.9313	15.5436
-0.459	cal sect	18.0	10.292	0.0292	1484.28	1.143	-0.8316	1696.598	0.9321	14.6485
-0.399	cal sect	24.0	10.491	0.0198	1494.657	1.1377	-1.5813	1700.49	0.9352	11.7165
-0.339	cal sect	30.0	10.739	0.0082	1504.905	1.1231	-0.7491	1690.105	0.9437	3.7421
-0.279	cal sect	36.0	10.567	0.017	1518.465	1.1484	-0.7672	1743.797	0.929	0.445
-0.219	cal sect	42.0	10.265	0.0068	1507.342	1.1668	-1.6416	1758.765	0.9183	0.3326
-0.159	cal sect	48.0	10.203	0.0222	1506.867	1.1772	-1.6558	1773.922	0.9123	0.3382
-0.099	cal sect	54.0	10.404	0.0085	1508.482	1.1545	0.0	1741.515	0.9255	0.3464
-0.039	cal sect	60.0	10.462	0.0073	1517.111	1.1691	2.3267	1773.692	0.917	0.4873
0.001	 1	0.1	11.039	0.0	113.5384	0.565	15.1403	64.1472	1.2674	1.1656
0.011	 1	1.1	11.061	0.0	113.7647	1.3141	8.2377	149.5015	0.8329	0.9327
0.021	 1	2.1	11.044	0.0	113.5898	1.362	9.6935	154.712	0.8051	0.6864
0.031	 1	3.1	10.975	0.0004	1525.153	1.3845	10.2787	2111.61	0.792	0.5363
0.041	 1	4.1	10.902	0.0003	1518.807	1.3854	11.0516	2104.082	0.7916	0.4613
0.051	 1	5.1	10.395	0.0006	1514.423	1.477	12.5074	2236.734	0.7384	0.4214
0.061	 1	6.1	10.282	0.0035	1508.067	1.4563	13.7446	2196.254	0.7504	0.3995
0.071	 1	7.1	10.248	0.0039	1508.612	1.4595	13.1875	2201.747	0.7486	0.3904
0.081	 1	8.1	10.209	0.0087	1491.889	1.4737	13.8649	2198.555	0.7403	0.3864
0.091	 1	9.1	10.21	0.0068	1489.207	1.45	14.0873	2159.335	0.7541	0.3828
0.101	 1	10.1	10.214	0.0064	1490.007	1.4712	13.8684	2192.124	0.7418	0.3802
0.111	 1	11.1	10.209	0.0069	1489.93	1.4752	13.8509	2197.886	0.7395	0.3777
0.121	 1	12.1	10.214	0.0073	1489.573	1.4683	13.8964	2187.067	0.7435	0.3768
0.131	 1	13.1	10.219	0.0072	1489.433	1.474	13.823	2195.373	0.7402	0.3767
0.141	 1	14.1	10.214	0.0067	1487.403	1.5103	13.5096	2246.419	0.7191	0.3766
0.151	 1	15.1	10.224	0.0061	1489.728	1.5027	13.5398	2238.579	0.7235	0.3753
0.161	 1	16.1	10.226	0.0066	1488.717	1.4655	13.2143	2181.779	0.745	0.3763
0.171	 1	17.1	10.223	0.0062	1483.745	1.4761	13.1307	2190.186	0.7389	0.3775
0.181	 1	18.1	10.226	0.0059	1484.395	1.4673	13.1988	2178.006	0.744	0.379
0.191	 1	19.1	10.229	0.0061	1486.341	1.46	13.2537	2169.993	0.7483	0.3795
0.201	 1	20.1	10.23	0.0068	1490.819	1.4704	13.8136	2192.099	0.7422	0.3798
0.211	 1	21.1	10.24	0.0076	1490.756	1.4809	13.6771	2207.654	0.7361	0.3814
0.221	 1	22.1	10.236	0.0118	1489.956	1.4855	13.6502	2213.307	0.7335	0.384
0.231	 1	23.1	10.238	0.0117	1488.081	1.5009	13.5026	2233.427	0.7245	0.3877
0.241	 1	24.1	10.244	0.0116	1486.792	1.5185	13.3234	2257.695	0.7143	0.3941
0.251	 1	25.1	10.255	0.0105	1487.525	1.5032	13.4171	2236.1	0.7232	0.402
0.261	 1	26.1	10.26	0.0105	1488.251	1.536	13.1125	2285.944	0.7042	0.4086
0.271	 1	27.1	10.259	0.0139	1489.834	1.5478	13.016	2305.993	0.6973	0.4103
0.281	 1	28.1	10.264	0.0118	1493.163	1.5325	13.1277	2288.269	0.7062	0.413
0.291	 1	29.1	10.27	0.0127	1495.994	1.5282	13.1425	2286.166	0.7087	0.4103
0.301	 1	30.1	10.266	0.0115	1496.283	1.5406	13.6723	2305.246	0.7015	0.4111
0.311	 1	31.1	10.276	0.0082	1489.923	1.5344	13.6896	2286.127	0.7051	0.4312
0.321	 1	32.1	10.282	0.0063	1490.145	1.5457	12.9501	2303.299	0.6986	0.4461
0.331	 1	33.1	10.29	0.0046	1491.521	1.5289	12.441	2280.368	0.7083	0.4521
0.341	 1	34.1	10.286	0.0066	1489.645	1.5269	13.095	2274.481	0.7095	0.455
0.351	 1	35.1	10.291	0.0043	1489.938	1.529	12.4366	2278.118	0.7082	0.4562
0.361	 1	36.1	10.292	0.0076	1488.574	1.5283	13.0605	2275.031	0.7086	0.4795
0.371	 1	37.1	10.296	0.0092	1484.643	1.5254	12.4487	2264.642	0.7103	0.4817
0.381	 1	38.1	10.295	0.009	1483.002	1.5515	12.2426	2300.856	0.6952	0.479
0.391	 1	39.1	10.3	0.0079	1485.434	1.5385	12.3289	2285.3	0.7027	0.4779
0.401	 1	40.1	10.295	0.0083	1484.927	1.5347	12.3763	2278.953	0.7049	0.4775
0.411	 1	41.1	10.29	0.01	1485.277	1.5252	12.4709	2265.376	0.7104	0.4744
0.421	 1	42.1	10.319	0.0076	1487.102	1.528	12.3477	2272.29	0.7088	0.4744
0.431	 1	43.1	10.394	0.0076	1496.401	1.537	12.0223	2299.929	0.7036	0.4921
0.441	 1	44.1	10.411	0.0115	1499.496	1.5457	11.8986	2317.722	0.6986	0.4984
0.451	 1	45.1	10.399	0.0172	1500.361	1.541	11.3754	2312.096	0.7013	0.5024
0.461	 1	46.1	10.393	0.0172	1501.661	1.5408	11.3956	2313.834	0.7014	0.4995
0.471	 1	47.1	10.43	0.0101	1497.488	1.5372	11.3061	2302.005	0.7035	0.4942
0.481	 1	48.1	10.552	0.0074	1507.213	1.5142	11.1009	2282.256	0.7168	0.4946
0.491	 1	49.1	10.553	0.006	1496.455	1.5225	10.4567	2278.338	0.712	0.4981
0.501	 1	50.1	10.572	0.0006	1523.123	1.4937	10.603	2275.152	0.7287	0.5141
0.511	 1	51.1	10.568	0.0034	1503.699	1.4386	11.6339	2163.183	0.7607	0.5463
0.521	 1	52.1	10.581	0.0017	1500.851	1.5082	10.4755	2263.652	0.7203	0.6133
0.531	 1	53.1	10.617	0.0068	1511.102	1.5186	10.3034	2294.72	0.7143	0.7465
0.541	 1	54.1	10.634	0.0127	1502.826	1.508	10.328	2266.287	0.7204	1.0109
0.551	 1	55.1	10.839	0.0001	1385.884	1.4706	9.4707	2038.034	0.7421	1.3852
0.561	 1	56.1	10.992	0.0	113.055	0.8277	16.1665	93.5782	1.115	1.5872
0.571	 2	0.6	11.012	0.0	113.2607	1.2166	11.5855	137.7977	0.8894	1.4293
0.581	 2	1.6	10.96	0.0	112.7259	1.4536	9.8287	163.8558	0.752	1.0957
0.591	 2	2.6	10.927	0.0	112.3865	1.457	10.44	163.7427	0.75	0.8578
0.601	 2	3.6	10.847	0.0	111.5637	1.4632	10.6161	163.2351	0.7464	0.7091
0.611	 2	4.6	10.6	0.0	109.0232	1.4967	11.0853	163.1789	0.727	0.6174
0.621	 2	5.6	10.363	0.0	106.5856	1.5357	11.5292	163.6862	0.7043	0.5716
