Geotek MSCL 7.9 - TN336_TC1-02_massMS.out created at 11:07:26 on 1/19/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=27.54
Den1	A=8.3722E-04	B=-.10475	C=9.9854
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=605.2563	B=-1.110319	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	x 10^-8 (m^3/kg)			Ohm.m

-0.640	before cal		10.589	0.0019						1433.464
-0.580	cal sect	6.0	10.417	0.0063	1500.576	1.2186			0.8883	58.9201
-0.520	cal sect	12.0	10.267	0.0238	1497.302	1.2036	-1.5905	1802.214	0.897	64.9045
-0.460	cal sect	18.0	10.234	0.0203	1492.925	1.2172	-1.5875	1817.191	0.8891	54.0399
-0.400	cal sect	24.0	10.404	0.0017	1489.904	1.208	-1.5254	1799.759	0.8944	28.7567
-0.340	cal sect	30.0	10.689	0.004	1511.667	1.1924	-0.715	1802.52	0.9035	4.687
-0.280	cal sect	36.0	10.474	0.0073	1519.954	1.2006	-1.5055	1824.832	0.8987	0.477
-0.220	cal sect	42.0	10.239	0.005	1520.719	1.2232	-1.5774	1860.188	0.8856	0.3551
-0.160	cal sect	48.0	10.192	0.0164	1513.963	1.2306	-1.5889	1863.127	0.8813	0.3661
-0.100	cal sect	54.0	10.352	0.0047	1520.118	1.2139	-0.77	1845.216	0.891	0.374
-0.040	cal sect	60.0	10.38	0.007	1525.125	1.2033	1.5415	1835.247	0.8971	0.5335
0.010	 1	1.0	10.831	0.0						1.1166
0.020	 1	2.0	10.798	0.0039	1549.211	1.5173			0.715	0.8511
0.030	 1	3.0	10.75	0.0069	1541.661	1.5577	13.4623	2401.412	0.6916	0.6879
0.040	 1	4.0	10.676	0.0016	1531.268	1.559	14.8169	2387.267	0.6908	0.6083
0.050	 1	5.0	10.342	0.0014	1538.301	1.6157	16.2441	2485.414	0.658	0.5702
0.060	 1	6.0	10.268	0.0061	1522.764	1.6508	16.8109	2513.739	0.6376	0.555
0.070	 1	7.0	10.272	0.0098	1524.714	1.6697	17.1744	2545.776	0.6266	0.5505
0.080	 1	8.0	10.272	0.0065	1531.534	1.6572	17.3032	2538.124	0.6338	0.5501
0.090	 1	9.0	10.267	0.0174	1517.664	1.66	17.8757	2519.284	0.6323	0.5533
0.100	 1	10.0	10.245	0.0061	1515.757	1.6757	17.8173	2540.027	0.6231	0.5586
0.110	 1	11.0	10.225	0.0091	1515.488	1.6863	17.8056	2555.607	0.617	0.5681
0.120	 1	12.0	10.198	0.0184	1515.305	1.6605	18.8092	2516.101	0.632	0.5754
0.130	 1	13.0	10.2	0.0233	1512.904	1.6673	18.7216	2522.44	0.628	0.5806
0.140	 1	14.0	10.194	0.0203	1506.206	1.654	18.3132	2491.274	0.6357	0.5834
0.150	 1	15.0	10.194	0.0216	1503.096	1.6349	18.5277	2457.355	0.6468	0.5838
0.160	 1	16.0	10.194	0.0188	1503.318	1.6822	18.5875	2528.836	0.6194	0.5828
0.170	 1	17.0	10.189	0.0138	1505.022	1.6827	17.4448	2532.523	0.6191	0.5805
0.180	 1	18.0	10.194	0.0133	1499.338	1.6578	17.6817	2485.641	0.6335	0.5787
0.190	 1	19.0	10.197	0.0192	1496.917	1.633	17.3369	2444.536	0.6479	0.576
0.200	 1	20.0	10.199	0.0237	1495.674	1.615	16.9163	2415.551	0.6583	0.5746
0.210	 1	21.0	10.198	0.0188	1493.994	1.6255	16.8125	2428.412	0.6523	0.5713
0.220	 1	22.0	10.205	0.0156	1494.144	1.6296	15.5407	2434.913	0.6499	0.5729
0.230	 1	23.0	10.209	0.016	1495.605	1.6486	14.7545	2465.64	0.6389	0.5756
0.240	 1	24.0	10.219	0.0156	1496.412	1.6711	13.9342	2500.647	0.6258	0.5772
0.250	 1	25.0	10.224	0.0133	1496.268	1.6424	14.1577	2457.456	0.6425	0.5741
0.260	 1	26.0	10.225	0.0133	1494.228	1.6539	12.884	2471.288	0.6358	0.5706
0.270	 1	27.0	10.234	0.0147	1498.828	1.6416	12.9476	2460.467	0.6429	0.5698
0.280	 1	28.0	10.233	0.0193	1496.49	1.6334	12.4244	2444.415	0.6477	0.5692
0.290	 1	29.0	10.234	0.0206	1495.543	1.6163	11.9547	2417.261	0.6576	0.5713
0.300	 1	30.0	10.237	0.018	1492.927	1.6299	10.0685	2433.259	0.6497	0.5767
0.310	 1	31.0	10.234	0.0119	1493.143	1.6451	9.3964	2456.375	0.6409	0.5917
0.320	 1	32.0	10.24	0.0107	1495.764	1.627	9.485	2433.588	0.6514	0.6058
0.330	 1	33.0	10.24	0.0158	1497.514	1.6315	9.4586	2443.215	0.6488	0.6164
0.340	 1	34.0	10.24	0.0144	1497.952	1.6425	8.8081	2460.415	0.6424	0.6312
0.350	 1	35.0	10.235	0.0125	1502.055	1.6771	8.6386	2519.105	0.6223	0.6483
0.360	 1	36.0	10.247	0.0109	1503.154	1.6729	8.631	2514.645	0.6248	0.6643
0.370	 1	37.0	10.237	0.0124	1500.586	1.655	8.166	2483.399	0.6352	0.6768
0.380	 1	38.0	10.24	0.0207	1503.229	1.655	7.576	2487.866	0.6351	0.6862
0.390	 1	39.0	10.241	0.0205	1500.293	1.6472	8.195	2471.326	0.6397	0.6992
0.400	 1	40.0	10.235	0.0154	1498.975	1.6624	7.553	2491.907	0.6309	0.7076
0.410	 1	41.0	10.23	0.0135	1501.321	1.6577	7.585	2488.78	0.6336	0.716
0.420	 1	42.0	10.238	0.0128	1506.474	1.6755	7.4876	2524.095	0.6233	0.727
0.430	 1	43.0	10.23	0.0146	1507.515	1.6818	7.4762	2535.41	0.6196	0.741
0.440	 1	44.0	10.225	0.0136	1507.223	1.6855	7.4706	2540.395	0.6175	0.7499
0.450	 1	45.0	10.226	0.0161	1501.615	1.689	7.453	2536.202	0.6154	0.7573
0.460	 1	46.0	10.225	0.0131	1505.448	1.6903	7.4494	2544.626	0.6147	0.7575
0.470	 1	47.0	10.219	0.0135	1504.786	1.6744	7.5326	2519.657	0.6239	0.7628
0.480	 1	48.0	10.22	0.0128	1504.49	1.6588	7.6015	2495.649	0.6329	0.7635
0.490	 1	49.0	10.245	0.0096	1503.964	1.6657	7.5166	2505.224	0.6289	0.765
0.500	 1	50.0	10.25	0.0065	1505.803	1.6797	7.4438	2529.276	0.6208	0.7602
0.510	 1	51.0	10.255	0.0098	1510.977	1.6669	7.4904	2518.63	0.6283	0.7552
0.520	 1	52.0	10.265	0.0109	1507.563	1.6865	7.3824	2542.527	0.6169	0.7585
0.530	 1	53.0	10.281	0.0101	1510.135	1.669	7.4263	2520.485	0.627	0.762
0.540	 1	54.0	10.289	0.0091	1509.536	1.6617	7.4426	2508.331	0.6313	0.7706
0.550	 1	55.0	10.299	0.0097	1511.004	1.6877	7.3071	2550.165	0.6162	0.7793
0.560	 1	56.0	10.299	0.008	1512.557	1.6977	7.823	2567.876	0.6104	0.7919
0.570	 1	57.0	10.294	0.0125	1516.276	1.694	7.2905	2568.504	0.6126	0.8061
0.580	 1	58.0	10.293	0.0131	1518.814	1.7033	7.2525	2586.983	0.6071	0.865
0.590	 1	59.0	10.288	0.0156	1520.319	1.7292	6.6036	2628.95	0.5921	0.8726
0.600	 1	60.0	10.284	0.0156	1523.781	1.7225	6.6366	2624.744	0.596	0.8785
0.610	 1	61.0	10.278	0.0149	1522.667	1.7259	6.082	2627.935	0.594	0.8797
0.620	 1	62.0	10.273	0.0139	1525.089	1.7377	6.0492	2650.1	0.5872	0.8797
0.630	 1	63.0	10.269	0.0124	1526.308	1.7652	5.9615	2694.241	0.5712	0.8797
0.640	 1	64.0	10.269	0.0141	1523.817	1.7488	5.4703	2664.883	0.5807	0.8787
