Geotek MSCL 7.9 - TN336_TC20-23.raw created at 4:43:50 on 1/23/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC20-23.out created at 4:45:39 on 1/23/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.002,1,0.2,6.58,999,0,8965,10,18.37,276,,0.002,1,0.2,10.838,0,111.4046,0.7458,8.1947,10.988,83.084,1.1625,1.1372
0.012,1,1.2,6.58,97.07,0.0003,5345,13,18.39,362.8,,0.012,1,1.2,10.838,0.0003,1528.201,1.3555,10.6531,7.8591,2071.504,0.8089,0.8453
0.022,1,2.2,7.08,106.35,0.0003,5327,14,18.38,480.1,,0.022,1,2.2,10.888,0.0003,1357.606,1.3535,11.3228,8.3658,1837.468,0.8101,0.6239
0.032,1,3.2,6.93,97.36,0.0002,5361,16,18.39,582.5,,0.032,1,3.2,10.873,0.0002,1526.892,1.3475,12.9914,9.6414,2057.424,0.8135,0.5059
0.042,1,4.2,6.1,97.66,0.0013,5302,17,18.39,655.1,,0.042,1,4.2,10.79,0.0013,1508.88,1.3716,14.1089,10.2862,2069.619,0.7995,0.4454
0.052,1,5.2,1.71,94.89,0.0008,5304,18,18.39,701.3,,0.052,1,5.2,10.351,0.0008,1505.819,1.4293,16.8298,11.7748,2152.279,0.7661,0.4137
0.062,1,6.2,1.01,95.33,0.0048,5300,18,18.39,725.5,,0.062,1,6.2,10.281,0.0048,1486.123,1.44,17.162,11.9178,2140.059,0.7598,0.3987
0.072,1,7.2,0.04,94.82,0.006,5298,19,18.4,733.1,,0.072,1,7.2,10.184,0.006,1483.035,1.4542,18.6176,12.8023,2156.694,0.7516,0.3942
0.082,1,8.2,-0.02,94.89,0.0144,5218,20,18.4,733.2,,0.082,1,8.2,10.178,0.0144,1480.652,1.4753,19.6309,13.3065,2184.375,0.7394,0.3941
0.092,1,9.2,-0.03,94.65,0.0135,5190,20,18.39,729.8,,0.092,1,9.2,10.177,0.0135,1485.693,1.4826,19.6364,13.2448,2202.655,0.7352,0.3962
0.102,1,10.2,-0.07,94.85,0.0141,5108,20,18.39,726.4,,0.102,1,10.2,10.173,0.0141,1480.786,1.5044,19.6587,13.0676,2227.677,0.7225,0.3981
