Geotek MSCL 7.9 - TN336_TC4-04.raw created at 22:27:54 on 1/19/2016.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.01,1,1,6.74,101.74,0.0001,1410,15,19.9,337.1,,0.01,1,1,10.854,0.0001,,1.5811,14.7148,11.3223,,0.678016241,69.6853
0.02,1,2,6.52,97.41,0.0011,1432,18,19.9,423.8,,0.02,1,2,10.832,0.0011,1532.758,1.5596,17.6578,12.2353,2390.489377,0.690487239,8.7306
0.03,1,3,6.45,97.95,0.0016,1470,19,19.9,514.5,,0.03,1,3,10.825,0.0016,1520.152,1.5234,18.6388,13.5815,2315.799557,0.711484919,8.282
0.04,1,4,5.88,98.15,0.0006,1477,21,19.9,587.4,,0.04,1,4,10.768,0.0006,1507.912,1.5168,20.6007,13.6843,2287.200922,0.715313225,7.8335
0.05,1,5,1.82,95.95,0.0014,1414,22,19.9,637.8,,0.05,1,5,10.362,0.0014,1497.182,1.5771,21.5817,13.8727,2361.205732,0.680336427,6.7652
0.06,1,6,0.82,95.84,0.0023,1436,22,19.9,666.9,,0.06,1,6,10.262,0.0023,1485.094,1.5557,21.5817,14.1933,2310.360736,0.69274942,3.3003
0.07,1,7,0.77,94.92,0.0057,1473,22,19.9,682.8,,0.07,1,7,10.257,0.0057,1504.4,1.5206,21.5817,15.0217,2287.59064,0.713109049,0.4612
0.08,1,8,0.38,95.03,0.0037,1493,23,19.9,686.3,,0.08,1,8,10.218,0.0037,1496.266,1.502,22.5627,14.9574,2247.391532,0.723897912,0.338
0.09,1,9,0.3,95.25,0.0066,1486,23,19.91,681.5,,0.09,1,9,10.21,0.0066,1490.293,1.5085,22.5627,14.9666,2248.106991,0.72012761,0.3482
0.1,1,10,0.32,95.33,0.0069,1487,23,19.9,678.1,,0.1,1,10,10.212,0.0069,1488.847,1.5075,22.5627,14.5303,2244.436853,0.720707657,0.3546
0.11,1,11,0.32,95.32,0.0071,1439,23,19.91,674.5,,0.11,1,11,10.212,0.0071,1489.064,1.5528,22.5627,15.5599,2312.218579,0.694431555,0.4949
0.12,1,12,0.26,95.23,0.0076,1481,24,19.91,670.6,,0.12,1,12,10.206,0.0076,1490.144,1.5131,23.5437,15.5122,2254.736886,0.717459397,0.5925
