Geotek MSCL 7.9 - TN336_TC44-55.raw created at 4:59:38 on 1/28/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC44-55_massMS.out created at 5:01:09 on 1/28/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,x 10^-8 (m^3/kg),x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.003,1,0.3,7.49,999,0,7113,9,18.73,315.2,,0.003,1,0.3,10.929,0,112.4892,1.0455,7.2013,6.888,117.6053,0.9887,0.9708
0.013,1,1.3,7.78,97.63,0.0003,5551,14,18.73,389.1,,0.013,1,1.3,10.958,0.0003,1561.191,1.3092,11.1177,8.492,2043.895,0.8357,0.7754
0.023,1,2.3,7.8,98.51,0.0036,5453,13,18.73,495.4,,0.023,1,2.3,10.96,0.0036,1542.141,1.3288,10.3182,7.765,2049.223,0.8244,0.5994
0.033,1,3.3,7.38,98.2,0.0016,5399,14,18.73,594,,0.033,1,3.3,10.918,0.0016,1542.962,1.3451,11.2342,8.3519,2075.463,0.8149,0.4939
0.043,1,4.3,5.78,999,0,5492,14,18.73,669.4,,0.043,1,4.3,10.758,0,110.7291,1.3457,11.7182,8.7081,149.0034,0.8146,0.4348
0.053,1,5.3,1.83,95,0.0026,5467,16,18.73,719.4,,0.053,1,5.3,10.363,0.0026,1533.896,1.4023,14.91,10.6323,2151.038,0.7817,0.4027
0.063,1,6.3,0.65,95.16,0.0064,5443,16,18.74,749.2,,0.063,1,6.3,10.245,0.0064,1512.847,1.4238,15.4102,10.8237,2153.917,0.7693,0.3856
0.073,1,7.3,0.43,94.87,0.011,5456,16,18.74,767.7,,0.073,1,7.3,10.223,0.011,1516.091,1.424,15.506,10.8894,2158.844,0.7692,0.3757
